ClassID	ClassName	Condition1	Condition2	Condition3	Condition4	Condition5	Condition6	Condition7	Condition8	Location1	Location2	Location3	Location4	Location5	Location6	Location7	Location8	Map1	Map2	Map3	Map4	Map5	Map6	Map7	Map8	Npc1	Npc2	Npc3	Npc4	Npc5	Npc6	Npc7	Npc8	QuestLv1	QuestLv2	QuestLv3	QuestLv4	QuestLv5	QuestLv6	QuestLv7	QuestLv8	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Scenario	StartMap	StartNpc	Title	TotalStage	Type	WarLocation1	WarLocation2	WarLocation3	WarLocation4	WarLocation5	WarLocation6	WarLocation7	WarLocation8
30001	Quest_30001	None	<$>111545</>	None	None	None	None	None	None	<$>27187</>	<$>3976</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	THI_EVENT_HUNTER	None	None	None	None	None	None	None	1	1	1	1	1	1	1	1	<$>27187</>	<$>27187</>	None	None	None	None	None	None	<$>111544</>	None	THI_EVENT_HUNTER	<$>111543</>	2	Event	None	None	None	None	None	None	None	None
500101	Quest_500101	<$>219020</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136512</>	1	Choice	None	None	None	None	None	None	None	None
500102	Quest_500102	<$>219021</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136514</>	1	Choice	None	None	None	None	None	None	None	None
500103	Quest_500103	<$>219022</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136515</>	1	Choice	None	None	None	None	None	None	None	None
500104	Quest_500104	<$>219023</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136517</>	1	Choice	None	None	None	None	None	None	None	None
500105	Quest_500105	<$>219024</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136518</>	1	Choice	None	None	None	None	None	None	None	None
500106	Quest_500106	<$>219025</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136519</>	1	Choice	None	None	None	None	None	None	None	None
500107	Quest_500107	<$>219026</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136520</>	1	Choice	None	None	None	None	None	None	None	None
500108	Quest_500108	<$>219027</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136521</>	1	Choice	None	None	None	None	None	None	None	None
500109	Quest_500109	<$>219028</>	None	None	None	None	None	None	None	<$>27187</>	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_2013_GRANMA2	None	None	None	None	None	None	None	1	0	1	1	1	1	1	1	<$>111226</>	None	None	None	None	None	None	None	<$>136513</>	reb_basic	EVENT_2013_GRANMA2	<$>136522</>	1	Choice	None	None	None	None	None	None	None	None
