ClassID	ClassName	ConsumeItem	Name
1	Sword	157039	<$>34664</>
2	Sabre	157040	<$>29639</>
3	THSword	157041	<$>29640</>
4	Rapier	157042	<$>29638</>
5	Polearm	157043	<$>29641</>
6	Javelin	157044	<$>29660</>
7	Dagger	157045	<$>29642</>
8	MainG	157046	<$>29658</>
9	Blunt	157047	<$>29659</>
10	Knuckle	157048	<$>29648</>
11	Leguard	157049	<$>29649</>
12	Tonfa	157050	<$>29679</>
13	Crescent	157051	<$>29678</>
14	Rifle	157052	<$>29644</>
15	Pistol	157054	<$>29643</>
16	Shotgun	157055	<$>29645</>
17	CrossBow	157056	<$>29651</>
18	Cannon	157057	<$>29646</>
19	Rod	157058	<$>29652</>
20	Staff	157059	<$>29653</>
21	Lute	157061	<$>29650</>
22	FireBrc	157062	<$>29655</>
23	IceBrc	157063	<$>29656</>
24	LghtBrc	157064	<$>29657</>
25	ElemBrc	157065	<$>44014</>
26	Tool	157071	<$>29662</>
27	Pendant	157066	<$>45397</>
28	Rosario	157067	<$>29665</>
29	Shield	157068	<$>29647</>
30	Controller	157069	<$>29663</>
31	Book	157070	<$>29680</>
32	Cube	157072	<$>86446</>
33	Encyclopedia	157076	<$>90180</>
34	BStick	157109	<$>43981</>
