AGI	AnimType	BodyType	BoneType	BuffMidOffset	BuffTopOffset	CHA	CON	Cache	Category	CharacterBuff	CharacterBuffLv	ClassID	ClassName	ClassType	ClothType	CommPoint	CostumeListFemale	CostumeListMale	Create	CreationCard	DEAD	DEX	DamageOffset	DefaultArmor	DefaultArmorName	DefaultInvenItem	DefaultInvenItemCount	DefaultLWeapon	DefaultRWeapon	DefaultStance	EdgeColor	EngName	EqpAchieveSet	EqpArmorSet	EqpArtifactSet	EqpAssistSet	EqpBackSet	EqpBeltSet	EqpBootsSet	EqpBreastSet	EqpCostumeSet	EqpEarSet	EqpFaceSet	EqpGloveSet	EqpHeadSet	EqpNeckSet	EqpRingSet	EqpShoulderSet	EqpWeaponSet	EquipTown	Gender	HairType	HeadType	HitDummy	HitOffset	Home	IDL	INT	IconClass	JobDesc	JobSkill	JobSklName	LODDist	Mass	Name	OriginalDEADAni	PICK	PINCH	PoseType	RUN	RootNode	STD	STR	STUN	ScaleF	ScaleM	SelfHitEffect	Size	TopDummy	UniqueHit	Value	WLK	WeightRatio	initLv
40	RACHEL	PC_SET_RACHEL_BODY	PC_SET_RACHEL	137	200	70	70	TRUE	Cityzen	ChaMonDam	2	110	Rachel	Rachel	Skirt	0	None	None	Hire	22596 22597	None	75	158	4106	SettlerRobe_Mystic	0	0	10000	1010	Bareknuckle,Popgun,Illusiongunner	FFCC00FF	Rachel Sheffield	None,Achieve	None,Robe	None,Artifact	None	None,Back	None,Belt	None,Boots	None,Breast	None	None,Ear	None	None,Glove	None	None,Necklace	None,Ring	None,Shoulder	10300,10301,10302	TRUE	Female	PC_SET_RACHEL_HAIR	PC_SET_RACHEL_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_RACHEL	85	warlock	<$>100144</>	1064	HighClass	1200	1	<$>100143</>	NO	PC_PICK_RACHEL	PC_PINCH_RACHEL	RACHEL	PC_RUN_RACHEL	Bip01	PC_STD_RACHEL	20	PC_STUN_RACHEL	0.65	0	HIT_Blood_Human	S	Dummy_State	YES	360	PC_WLK_RACHEL	1	100
80	FGT	PC_SET_FGT_BODY	PC_SET_FGT,PC_SET_FGT1	135	198	50	70	TRUE	Pioneer	ChaDEF	2	1	Fighter	FGT	Normal	0	42051,42020,42501,42502,42503,42504,42014,42025,42026,42027,42029,42030,42042	42051,42020,42501,42502,42503,42504,42014,42025,42026,42027,42029,42030,42042,42023	Default	0	None	60	155	4101	SettlerLeather_Lesser	0	1	10000	106	Bareknuckle,BackGuard,EpeeGarde,MiddleGuard,PlowGuard,BlandirCruz,Escrima,FreestyleShot	FF00FF00	Fighter	None,Achieve	None,Leather,LeatherFGT,Metal	None,Artifact	None,Pistol	None,Back,BackFGT	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosALL,CosFGT,CosLeather	None,Ear	None,FaceFGT	None,Glove,LGlove,MGlove	None,Hat,HatFGT,HatFC	None,Necklace	None,Ring	None,Shoulder	100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116	TRUE	Both	PC_SET_FGT_HAIR	PC_SET_FGT_HEAD,PC_SET_FGT1_HEAD	Bip01 Spine1	135	GranadoEspada	PC_IDL_FGT	40	fighter	<$>87015</>	1001	Provoke	1200	1	<$>9971</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT,FGT1	PC_RUN_FGT	Bip01	PC_STD_FGT	60	PC_STUN_FGT	0.956	1	HIT_Blood_Human	S	Dummy_State	NO	340	PC_WLK_FGT	1	1
50	WIZ	PC_SET_WIZ_BODY	PC_SET_WIZ,PC_SET_WIZ1	137	200	70	40	TRUE	Pioneer	ChaCast	1	2	Wizard	WIZ	Skirt	0	42051,42049,42501,42511,42512,42513,42032,42033,42034,42044,42015	42051,42049,42501,42511,42512,42513,42032,42033,42034,42044	Default	0	None	40	158	4301	SettlerCoat_Lesser	0	0	10000	2103	Psychokinesis	FF00FF00	Wizard	None,Achieve	None,Coat,CoatWIZ	None,Artifact	None,PsychicSphere	None,Back	None,Belt	None,Boots	None,Breast	None,CosALL,CosWIZ,CosCoat	None,Ear	None,FaceWIZ	None,Glove	None,Hat,HatWIZ	None,Necklace	None,Ring	None,Shoulder	200,202,204	TRUE	Both	PC_SET_WIZ_HAIR	PC_SET_WIZ_HEAD,PC_SET_WIZ1_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_WIZ	90	wizard	<$>87016</>	1002	Coruscation	1200	1	<$>9972</>	NO	PC_PICK_WIZ	PC_PINCH_WIZ	WIZ,WIZ1	PC_RUN_WIZ	Bip01	PC_STD_WIZ	30	PC_STUN_WIZ	0.967	1.011	HIT_Blood_Human	S	Dummy_State	NO	300	PC_WLK_WIZ	1	1
70	SCT	PC_SET_SCT_BODY	PC_SET_SCT,PC_SET_SCT1	134	195	50	70	TRUE	Pioneer	ChaMHP	1	3	Scout	SCT	Normal	0	42051,42048,42501,42505,42506,42507,42025,42026,42043	42051,42048,42501,42505,42506,42507,42025,42026,42043,42016	Default	0	None	70	154	4101	SettlerLeather_Lesser	0	1	10000	10000	FirstAid,Fortitudo,EscrimaSCT,DobaladaCorteSCT	FF00FF00	Scout	None,Achieve	None,Leather,LeatherSCT	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosALL,CosSCT,CosLeather	None,Ear,EarSCT	None,FaceSCT	None,Glove,LGlove	None,Hat,HatSCT,HatFC	None,Necklace	None,Ring	None,Shoulder	300,301,302,303	TRUE	Both	PC_SET_SCT_HAIR	PC_SET_SCT_HEAD,PC_SET_SCT1_HEAD	Bip01 Spine1	134	GranadoEspada	PC_IDL_SCT	50	scout	<$>87017</>	1003	HealingAuto	1200	1	<$>9973</>	NO	PC_PICK_SCT	PC_PINCH_SCT	SCT,SCT1	PC_RUN_SCT	Bip01	PC_STD_SCT	30	PC_STUN_SCT	0.922	0.989	HIT_Blood_Human	S	Dummy_State	NO	320	PC_WLK_SCT	1	1
80	MUS	PC_SET_MUS_BODY	PC_SET_MUS,PC_SET_MUS1	137	200	50	50	TRUE	Pioneer	ChaATK	2	4	Musketeer	MUS	Normal	0	42051,42047,42501,42508,42509,42510,42032,42033,42034,42044	42051,42047,42501,42508,42509,42510,42032,42033,42034,42044	Default	0	None	80	158	4301	SettlerCoat_Lesser	0	0	10000	1106	Bareknuckle,StandingShot	FF00FF00	Musketeer	None,Achieve	None,Coat,CoatMUS	None,Artifact	None,Pistol,Rifle,Steelbullet,LargeCaliberBullet	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosALL,CosMUS,CosCoat	None,Ear	None,FaceMUS	None,Glove,LGlove	None,Hat,HatMUS	None,Necklace	None,Ring	None,Shoulder	400,401,402,403	TRUE	Both	PC_SET_MUS_HAIR	PC_SET_MUS_HEAD,PC_SET_MUS1_HEAD	Bip01 Spine1	137	GranadoEspada	PC_IDL_MUS	30	musketeer	<$>87018</>	1004	Concentrate	1200	1	<$>9974</>	NO	PC_PICK_MUS	PC_PINCH_MUS	MUS,MUS1	PC_RUN_MUS	Bip01	PC_STD_MUS	50	PC_STUN_MUS	0.95	1.011	HIT_Blood_Human	S	Dummy_State	NO	320	PC_WLK_MUS	1	1
30	WAR	PC_SET_WAR_BODY	PC_SET_WAR,PC_SET_WAR1	132	193	70	40	TRUE	Pioneer	ChaIncINT	1	5	Warlock	WAR	Skirt	0	42051,42050,42501,42514,42515,42516,42517,42518,42519,42520,42521,42036,42037,42038,42039,42040,42041,42045,42017	42051,42050,42501,42514,42515,42516,42517,42518,42519,42520,42521,42036,42037,42038,42039,42040,42041,42045	Default	0	None	50	152	4401	SettlerRobe_Lesser	0	0	10000	2304	PossessionFire,PossessionIce,PossessionLightning	FF00FF00	Warlock	None,Achieve	None,Robe	None,Artifact	None,ElementalSphere	None,Back	None,Belt	None,Boots	None,Breast	None,CosALL,CosWAR	None,Ear	None,FaceWAR	None,Glove	None,Hat,HatWAR	None,Necklace	None,Ring	None,Shoulder	500,501,502,503,504,505,506,507,508,509,510,511,512,513,514	TRUE	Both	PC_SET_WAR_HAIR	PC_SET_WAR_HEAD,PC_SET_WAR1_HEAD	Bip01 Spine1	132	GranadoEspada	PC_IDL_WAR	100	warlock	<$>87019</>	1005	ManaActivation	1200	1	<$>9975</>	NO	PC_PICK_WAR	PC_PINCH_WAR	WAR,WAR1	PC_RUN_WAR	Bip01	PC_STD_WAR	30	PC_STUN_WAR	0.911	0.978	HIT_Blood_Human	S	Dummy_State	NO	300	PC_WLK_WAR	1	1
70	FGT	PC_SET_SMITH_BODY	PC_SET_SMITH	124	181	50	60	TRUE	Cityzen	ChaMSATK	1	7	Idge	SMITH	Normal	0	None	None	Hire	22501 22002	None	60	143	4201	SettlerMetal_Normal	0	0	10000	408	Bareknuckle,PlowGuard,BlandirCruz	FFFFFF00	Idge	None,Achieve	None,Leather,Metal,LeatherFGT	None,Artifact	None	None,Back	None,Belt,LBelt,MBelt	None,Boots,LBoots,MBoots	None,Breast	None,CosSmith,CosCraft	None,Ear	None,	None,Glove,LGlove,MGlove	None,HatSmith,HatCraft	None,Necklace	None,Ring	None,Shoulder	700,701,702	TRUE	Female	PC_SET_SMITH_HAIR	PC_SET_SMITH_HEAD	Bip01 Spine1	124	GranadoEspada	PC_IDL_FGT	30	fighter	<$>101069</>	2002	ArmorCraft	1200	1	<$>3365</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	PC_STD_FGT	60	PC_STUN_FGT	0.917	0	HIT_Blood_Human	S	Dummy_State	NO	310	PC_WLK_FGT	1	40
90	FGT	PC_SET_HOUSE_BODY	PC_SET_HOUSE	129	189	50	40	TRUE	TreasureHunter	ChaMSATK	1	9	Brunie	HOUSE	Normal	0	None	None	Hire	22503 22004	None	70	148	14000	NoArmor	0	0	10000	11005	Bareknuckle,AimingShot,FreestyleShot,DoublegunsShot	FFFFFF00	Brunie	None,Achieve	None,Coat,CoatMUS	None,Artifact	None,Pistol,LargeCaliberBullet	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosBru	None,Ear	None,	None,Glove,LGlove	None,HatBru	None,Necklace	None,Ring	None,Shoulder	900,901,902	TRUE	Female	PC_SET_HOUSE_HAIR	PC_SET_HOUSE_HEAD	Bip01 Spine1	129	GranadoEspada	PC_IDL_FGT	30	musketeer	<$>101070</>	1027	FatalBlues	1200	0.95	<$>81</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	PC_STD_FGT	40	PC_STUN_FGT	0.956	0	HIT_Blood_Human	S	Dummy_State	NO	300	PC_WLK_FGT	1	40
80	PIR	PC_SET_PIR_BODY	PC_SET_PIR	128	187	50	60	TRUE	Cityzen	ChaASPD	2	19	Adelina	PIR	Normal	0	None	None	Hire	22512 22014	None	60	147	4103	SettlerLeather_Normal	0	0	10000	308	Bareknuckle,MiddleGuard,FreestyleShot	FFFFFF00	Adelina	None,Achieve	None,Leather,LeatherFGT	None,Artifact	None,Pistol	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosPirate,CosAdel2,CosAven	None,Ear,EarAdel	None,	None,Glove,LGlove	None,HatPirate,HatAdel2,HatAven	None,Necklace	None,Ring	None,Shoulder	1900,1901,1902,1903,1904,1905	TRUE	Female	PC_SET_PIR_HAIR	PC_SET_PIR_HEAD	Bip01 Spine1	128	GranadoEspada	PC_IDL_PIR	30	fighter	<$>101071</>	2004	SwordCraft	1200	1	<$>11182</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_PIR	Bip01	PC_STD_PIR	60	PC_STUN_FGT	0.944	0	HIT_Blood_Human	S	Dummy_State	NO	330	PC_WLK_PIR	1	40
70	FGT	PC_SET_MI_BODY	PC_SET_MI	122	179	50	50	TRUE	Designer	ChaREle	1	29	Karjalainen	MI	Normal	0	None	None	Hire	22522 22024	None	50	140	4104	SettlerLeather_High	0	0	10000	206	Bareknuckle,EpeeGarde,SabreGarde,EpeeGlacier,SabreGlacier	FFFFFF00	Mi Karjalainen	None,Achieve	None,Leather,Robe,LeatherFGT	None,Artifact	None	None,Back	None,Belt,LBelt	None,Boots,LBoots	None,Breast	None,CosMi	None,Ear	None,	None,Glove,LGlove	None,HatMi	None,Necklace	None,Ring	None,Shoulder	2900,2901,2902,2903	TRUE	Female	PC_SET_MI_HAIR	PC_SET_MI_HEAD	Bip01 Spine1	122	GranadoEspada	PC_IDL_FGT	70	fighter	<$>47024</>	2010	MiscCraft	1200	1.1	<$>88</>	NO	PC_PICK_FGT	PC_PINCH_FGT	FGT	PC_RUN_FGT	Bip01	PC_STD_FGT	60	PC_STUN_FGT	0.906	0	HIT_Blood_Human	S	Dummy_State	NO	330	PC_WLK_FGT	1	60
