Caption1	Caption2	Caption3	ClassID	ClassName	Name1	Name2	Name3	Name4	UiFrame
<$>47828</>	<$>101132</>	None	216	mcmasungpot	mission_masung_pot	mission_masung_pot_H	None	None	mcwithnolv
<$>47829</>	<$>101133</>	None	217	mcmasungtor	mission_masung_tor	mission_masung_tor_H	None	None	mcwithnolv
<$>47831</>	<$>101134</>	None	218	mcmasungjaq	mission_masung_jaq	mission_masung_jaq_H	None	None	mcwithnolv
<$>47833</>	<$>101135</>	None	219	mcmasungust	mission_masung_ust	mission_masung_ust_H	None	None	mcwithnolv
<$>47835</>	<$>101136</>	None	220	mcmasungbah	mission_masung_bah	mission_masung_bah_H	None	None	mcwithnolv
<$>47837</>	<$>101137</>	None	221	mcmasungsed	mission_masung_sed	mission_masung_sed_H	None	None	mcwithnolv
<$>47839</>	<$>101138</>	None	222	mcmasungerc	mission_masung_erc	mission_masung_erc_H	None	None	mcwithnolv
<$>47842</>	<$>101139</>	None	223	mcmasungktv	mission_masung_ktv	mission_masung_ktv_H	None	None	mcwithnolv
<$>47844</>	<$>101140</>	None	225	mcmasungtbk	mission_masung_tbk	mission_masung_tbk_H	None	None	mcwithnolv
<$>47845</>	<$>101141</>	None	226	mcmasungsct	mission_masung_sct	mission_masung_sct_H	None	None	mcwithnolv
<$>91595</>	<$>101142</>	None	721	mcmasungcas01	mission_masung_cas01	mission_masung_cas01_H	None	None	mcwithnolv
<$>91597</>	<$>101143</>	None	722	mcmasungcas02	mission_masung_cas02	mission_masung_cas02_H	None	None	mcwithnolv
<$>91598</>	<$>101144</>	None	723	mcmasungcas03	mission_masung_cas03	mission_masung_cas03_H	None	None	mcwithnolv
<$>101082</>	None	None	100000	mcrebjpn	mission_eventreb	None	None	None	mcwithnolv
<$>101083</>	None	None	100001	mccoimjpn	mission_eventcoim	None	None	None	mcwithnolv
<$>101084</>	None	None	100002	mcauchjpn	mission_eventauch	None	None	None	mcwithnolv
<$>101085</>	None	None	100003	mccomic	mission_comical_event	None	None	None	mcwithnolv
<$>101086</>	<$>101087</>	<$>101088</>	100004	mccse	mission_comicalize2event_low	mission_comicalize2event_hi	mission_comicalize2event_mid	None	mcwithnolv
<$>101089</>	<$>101090</>	<$>101091</>	100005	mccothi	mission_comicalize3event_low	mission_comicalize3event_hi	mission_comicalize3event_mid	None	mcwithnolv
<$>101092</>	None	None	100006	mcasoka	mission_event_asoka	None	None	None	mcwithnolv
<$>101093</>	None	None	100007	mcrebjpn01	mission_eventreb01	None	None	None	mcwithnolv
<$>101094</>	None	None	100008	mccoimjpn01	mission_eventcoim01	None	None	None	mcwithnolv
<$>101095</>	None	None	100009	mcauchjpn01	mission_eventauch01	None	None	None	mcwithnolv
<$>47557</>	None	None	100010	mcmatch02_jpn	mission_liberty_party_pvp	None	None	None	mcwithnolv
<$>101097</>	None	None	100011	mcasoka_02	mission_event_asoka_02	None	None	None	mcwithnolv
<$>101098</>	None	None	100012	mclower201010	lower_event201010_JP	None	None	None	mcwithnolv
<$>101099</>	None	None	100013	mcmiddle201010	middle_event201010_JP	None	None	None	mcwithnolv
<$>101100</>	None	None	100014	mcupper201010	upper_event201010_JP	None	None	None	mcwithnolv
<$>101101</>	None	None	100015	mcrscrabbit01	mission_fld_reb_JPN01	None	None	None	mcwithnolv
<$>101102</>	None	None	100016	mcrscrabbit02	mission_fld_reb_JPN02	None	None	None	mcwithnolv
<$>101103</>	None	None	100017	mcrscrabbit03	mission_fld_reb_JPN03	None	None	None	mcwithnolv
<$>101104</>	None	None	100018	mcchocolate	mission_chocolate_JP	None	None	None	mcwithnolv
<$>101105</>	None	None	100019	mcboss1106reb	mission_event1106_01	None	None	None	mcwithnolv
<$>101106</>	None	None	100020	mcboss1106coim	mission_event1106_02	None	None	None	mcwithnolv
<$>101107</>	None	None	100021	mcboss1106auch	mission_event1106_03	None	None	None	mcwithnolv
<$>101129</>	None	None	100022	mc1108lower	Event1108_Lower_JP	None	None	None	mcwithnolv
<$>101130</>	None	None	100023	mc1108middle	Event1108_Middel_JP	None	None	None	mcwithnolv
<$>101131</>	None	None	100024	mc1108upper	Event1108_Upper_JP	None	None	None	mcwithnolv
