ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
4	NPC_MARKETMONEY_NEW	REB_SERM	213	FALSE	None	None	<$>64870</>	7958	8	417	NPC_MARKETMONEY_NEW	None
95	SHOP_PERIOD_COSTUME	Rico_letizia2	358	FALSE	None	None	<$>64456</>	-7999	-5515	-460	SHOP_PERIOD_COSTUME	None
703	NPC_ALCHEMY	npc_alchemytable	270	FALSE	None	None	<$>51650</>	1115	1461	14	NPC_ALCHEMY	<$>51650</>
704	CHANGE_ENCHANT_CHIP_TABLE	npc_brazier_set	252	FALSE	minimap_blacksmith.bmp	<$>64753</>	<$>64753</>	-812	1475	10	CHANGE_ENCHANT_CHIP_TABLE	None
705	AUCH_PVP_SHOP	com_youngman1	132	FALSE	minimap_npc.bmp	<$>64420</>	<$>64420</>	6455	-1845	256	NPC_AUCH_PVP_SHOP	<$>64420</>
706	NPC_ITEMSEALING	REB_SERM	165	FALSE	minimap_npc.bmp	<$>64421</>	<$>64421</>	-4919	3150	3	NPC_ITEMSEALING	<$>64421</>
707	REB_SOLM_TRUMP	REB_SOLM_TRUMP	11	FALSE	minimap_npc.bmp	<$>51789</>	<$>51789</>	-5909	5190	-223	CHANGE_TRUMP_DESCRIPTION	None
751	LUCKY_TICKET_JPN1	npc_etc_treasureshop2	126	FALSE	None	<$>101377</>	<$>101377</>	3456	-4454	16	LUCKY_TICKET_JPN1	None
752	LUCKY_TICKET_JPN2	npc_etc_treasureshop2	113	FALSE	None	<$>101378</>	<$>101378</>	3045	-4702	17	LUCKY_TICKET_JPN2	None
753	LUCKY_TICKET_JPN3	npc_etc_treasureshop2	111	FALSE	None	<$>101379</>	<$>101379</>	2625	-4926	17	LUCKY_TICKET_JPN3	None
801	ENCHANT_CHANGE_MERCHAN	paoloviaje1	162	FALSE	minimap_blacksmith.bmp	<$>74351</>	<$>74351</>	-5529	551	7	ENCHANT_CHANGE_MERCHAN	None
