AR	ASPD	ASPD_Opt	ATK	AddATK	AddATK_Opt	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BLK_Opt	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CASTINC	CRT	CRTATK	CRTDEF	CRT_Opt	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DblAttach	DeadDrop	DefEA	DefIP	DefIP_Opt	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EngName	EqpType	EquipSound	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireATK_Opt	FireIP	FireIP_Opt	GolemBane	GroupName	HPDrain	HPDrain_Opt	HR	HR_Opt	HumanBane	IMP	IMP_Opt	IceATK	IceATK_Opt	IceIP	IceIP_Opt	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LghtATK_Opt	LghtIP_Opt	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSP	MSPD	MSPD_Opt	MSP_Opt	MaterialSet	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyATK_Opt	PsyIP	PsyIP_Opt	RFIRE	RFIRE_Opt	RHP	RHP_Opt	RICE	RICE_Opt	RLGHT	RLGHT_Opt	RPSY	RPSY_Opt	RSP	RSTAT	RSTAT_Opt	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SOCKETWEIGHT	SaleEA	SaleID	Scale	ScpType	SellPrice	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Body	<$>34084</>	42684	VeaSummerCos	CosVeatrice	NO	0	0	FALSE	1	0	0	COSTUME	0	<$>76468</>	0	0	0	0	None	None	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	Veatrice Summer Costume	COSTUME	equip_coat.ogg	2147483656	1	FALSE	it_c_blackvikini	0	0	0	0	0	Costume	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>76467</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>76357</>	0	1	42684	1	None	1	0	Costume	None	_NO	None	TRUE	0	None	TRUE	Female	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	0	None	None	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Body	<$>34084</>	42682	GranSummerCos	CosGrandies	NO	0	0	FALSE	1	0	0	COSTUME	0	<$>90229</>	0	0	0	0	None	None	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	Grandies Summer Costume	COSTUME	equip_coat.ogg	2147483656	1	FALSE	it_c_grandiessummer	0	0	0	0	0	Costume	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>76462</>	None	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>90228</>	0	1	42682	1	None	1	0	Costume	None	_NO	None	TRUE	0	None	TRUE	Female	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_shotgun1.ogg	0	0	0	0	0	None	None	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60039	EvilshotgunCos	Shotgun	YES	0	0	FALSE	1	0	0	RCOS	0	<$>34588</>	0	-30	50	0	None	None	None	drop_rifle.ogg	N/A	Dummy_R_HAND_RIFLE	N/A	N/A	N/A	Dummy_BACK_RIFLE	TRUE	10	None	The Disaster of Aquichtus	SCOS	None	2147483647	0	FALSE	it_w_devilshotgun	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>34587</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_evilshotgun	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	5	disateraquichtus_weapon	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60039	1	None	1	0	RCOS	None	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_rod1.wav	0	0	0	0	0	None	hit_rod1.wav	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60088	BlackDragonRodCos	Rod	YES	0	0	FALSE	1	0	0	RCOS	0	<$>77756</>	0	-30	50	0	None	None	None	drop_staff.wav	N/A	Dummy_R_HAND	N/A	N/A	N/A	Dummy_R_HAND	TRUE	10	None	Black Dragonic Rod	SCOS	None	2147483647	0	FALSE	it_w_dragonrod	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>34670</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_blackdragonrod	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	7	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60088	1	None	1	0	RCOS	None	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_polearm1.wav	0	0	0	0	0	block_polearm.wav	hit_polearm1.wav	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60089	BlackDragonSpearCos	Polearm	YES	0	0	FALSE	1	0	0	RCOS	0	<$>77757</>	0	-5	5	0	None	None	None	drop_polearm.wav	N/A	Dummy_R_HAND	N/A	N/A	N/A	Dummy_BACK_POL	TRUE	0	None	Black Dragonic Spear	SCOS	None	2147483647	0	FALSE	it_w_dragonspear	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>34672</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_blackdragonspear	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	3	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60089	1.5	None	1	0	RCOS	None	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_sword1.wav	0	0	0	0	0	block_sword.wav	hit_sword1.wav	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60090	BlackDragonBladeCos	Sword	NO	0	0	FALSE	1	0	0	RCOS	0	<$>77951</>	0	160	90	0	None	None	None	drop_sword.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	Black Dragonic Blade	SCOS	None	2147483647	0	FALSE	it_w_dragonblade	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>77950</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_blackdragonblade	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	5	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60090	1.5	None	1	0	RCOS	None	_NO	None	TRUE	0	None	TRUE	Both	TRUE	FALSE	1	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_sword1.wav	0	0	0	0	0	block_sword.wav	hit_sword1.wav	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60091	BlackDragonHammerCos	Blunt	NO	0	0	FALSE	1	0	0	RCOS	0	<$>77759</>	0	170	120	0	None	None	None	drop_sword.wav	Dummy_L_HAND	Dummy_R_HAND	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	Black Dragonic Hammer	SCOS	None	2147483647	0	FALSE	it_w_dragonhammer	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>34676</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_blackdragonhammer	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	5	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60091	1.2	None	1	0	RCOS	None	_NO	None	TRUE	0	None	TRUE	Both	TRUE	FALSE	1	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_thsword1.wav	0	0	0	0	0	block_thsword.wav	hit_thsword1.wav	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60092	BlackDragonicSwordCos	THSword	YES	0	0	FALSE	1	0	0	RCOS	0	<$>77760</>	0	180	75	0	None	None	None	drop_thsword.wav	N/A	Dummy_R_HAND	N/A	N/A	N/A	Dummy_BACK_THS	TRUE	0	None	Black Dragonic Sword	SCOS	None	2147483647	0	FALSE	it_w_dragonicsword	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>34678</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_blackdragonicsword	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	7	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60092	1.5	None	1	0	RCOS	None	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_pistol1.wav	0	0	0	0	0	None	None	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60093	BlackDragonicRevolverCos	Pistol	NO	0	0	FALSE	1	0	0	RCOS	0	<$>77761</>	0	90	5	0	None	None	None	drop_pistol.wav	Dummy_L_HAND_PISTOL	Dummy_R_HAND_PISTOL	N/A	N/A	Dummy_R_PELVIS	Dummy_L_PELVIS	TRUE	0	None	Black Dragonic Revolver	SCOS	None	2147483647	0	FALSE	it_w_dragonicrevolver	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>34680</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_blackdragonpistol	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	7	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60093	1.5	None	1	0	RCOS	None	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	TRUE	30	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	atk_shield1.wav	0	0	0	0	0	block_shield.wav	hit_shield1.wav	0	None	None	0	None	0	0	0	0	0	Costume	<$>27297</>	Costume_Weapon	<$>34515</>	60094	BlackDragonicShieldCos	Shield	NO	0	0	FALSE	1	0	0	RCOS	0	<$>77762</>	0	5	5	0	None	None	None	drop_shield_l.wav	Dummy_L_FOREARM	N/A	N/A	N/A	N/A	N/A	TRUE	10	None	Black Dragonic Shield	SCOS	None	2147483647	0	FALSE	it_w_dragonicshield	0	0	0	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27297</>	SYS_item_column_red	0	<$>34682</>	None	0	1000	0	0	0	0	No	0	0	0	0	0	0	0	it_w_blackdragonshield	0	2	1	0	0	0	0	0	0	0	0	0	0	None	0	0	NO	1	None	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>34514</>	0	1	60094	1.5	None	1	0	RCOS	None	_NO	None	TRUE	0	None	TRUE	Both	TRUE	FALSE	1	TRUE	30	None	0	0	0
