CashItemGroup	ClassID	CoolDown	RicoExchange	SetPeriod	WorldMsg	ability	arg1	arg2	cost	hour	itemID	itemname	min	period
Package	11051	0	0	0	0	PACKAGE	0	0	297	0	23518	<$>97447</>	0	0
Package	11052	0	0	0	0	PACKAGE	0	0	792	0	23519	<$>97448</>	0	0
Period	12107	0	0	0	0	HOMEPREMIUM	0	0	891	0	88259	<$>30144</>	0	30
Etc	18148	0	0	0	0	none	0	0	69	0	189200	<$>78948</>	0	0
Etc	18006	0	0	0	0	REIN_PROTECT	0	0	693	0	88056	<$>30489</>	0	0
Etc	18007	0	0	0	0	REIN_PROTECT	0	0	891	0	88057	<$>30490</>	0	0
Etc	18011	0	0	0	0	REIN_PROTECT	0	0	792	0	88061	<$>30494</>	0	0
Etc	18012	0	0	0	0	REIN_PROTECT	0	0	990	0	88062	<$>30495</>	0	0
Etc	18016	0	0	0	0	REIN_PROTECT	0	0	891	0	88066	<$>30499</>	0	0
Etc	18017	0	0	0	0	REIN_PROTECT	0	0	1089	0	88067	<$>30500</>	0	0
Etc	18039	0	0	0	0	None	0	0	990	0	74429	<$>30521</>	0	0
Etc	18042	0	0	0	0	GAMBLE	0	0	20	0	88017	<$>30524</>	0	0
Etc	18043	0	0	0	0	REINFORCE	0	0	50	0	88018	<$>30525</>	0	0
