ClassID	ClassName	Condition1	Condition2	Condition3	Condition4	Condition5	Condition6	Condition7	Condition8	Location1	Location2	Location3	Location4	Location5	Location6	Location7	Location8	Map1	Map2	Map3	Map4	Map5	Map6	Map7	Map8	Npc1	Npc2	Npc3	Npc4	Npc5	Npc6	Npc7	Npc8	QuestLv1	QuestLv2	QuestLv3	QuestLv4	QuestLv5	QuestLv6	QuestLv7	QuestLv8	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Scenario	StartMap	StartNpc	Title	TotalStage	Type	WarLocation1	WarLocation2	WarLocation3	WarLocation4	WarLocation5	WarLocation6	WarLocation7	WarLocation8
400113	Quest_400113	None	None	None	None	None	None	None	None	Dr. Torsche's Mansion, Reception Hall	None	None	None	None	None	None	None	test_zone	None	None	None	None	None	None	None	DYLON_SPIRIT	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	Halloween Candy, Key to Haunted House	None	None	None	None	None	None	None	Haunted Candles 100 kill	test_zone	DYLON_SPIRIT	Halloween Event	1	Choice	dun_tor01 - -	None	None	None	None	None	None	None
400114	Quest_400114	None	None	None	None	None	None	None	None	Dr. Torsche's Mansion, Reception Hall	None	None	None	None	None	None	None	test_zone	None	None	None	None	None	None	None	DYLON_SPIRIT	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	Halloween Candy, Key to Haunted House	None	None	None	None	None	None	None	Hunt Hollow Footman 200 kill	test_zone	DYLON_SPIRIT	Halloween Event	1	Choice	dun_tor01 - -	None	None	None	None	None	None	None
400115	Quest_400115	None	None	None	None	None	None	None	None	Tetra Ruins, Golden Road	None	None	None	None	None	None	None	test_zone	None	None	None	None	None	None	None	DYLON_SPIRIT	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	Halloween Candy, Key to Haunted House	None	None	None	None	None	None	None	Hunt Ashen Visage 30 kill	test_zone	DYLON_SPIRIT	Halloween Event	1	Choice	dun_ttr03 - -	None	None	None	None	None	None	None
400116	Quest_400116	None	None	None	None	None	None	None	None	Porto Bello, The Deck	None	None	None	None	None	None	None	test_zone	None	None	None	None	None	None	None	DYLON_SPIRIT	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	Halloween Candy, Key to Haunted House	None	None	None	None	None	None	None	Zombie Merman 70 kill	test_zone	DYLON_SPIRIT	Halloween Event	1	Choice	dun_ptv01 - -	None	None	None	None	None	None	None
400117	Quest_400117	None	None	None	None	None	None	None	None	Tetra Ruins	None	None	None	None	None	None	None	test_zone	None	None	None	None	None	None	None	DYLON_SPIRIT	None	None	None	None	None	None	None	100	1	1	1	1	1	1	1	Halloween Candy, Key to Haunted House	None	None	None	None	None	None	None	Hunt Little Plaque Eton 70 kill	test_zone	DYLON_SPIRIT	Halloween Event	1	Choice	fld_ttr - -	None	None	None	None	None	None	None
800001	Quest_800001	None	None	None	None	None	None	None	None	<$>57094</>	None	None	None	None	None	None	None	auch_basic	None	None	None	None	None	None	None	E0910_HAL	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	The Witch's Gift	None	None	None	None	None	None	None	<$>57230</>	auch_basic	E0910_HAL	<$>57229</>	1	Msg	None	None	None	None	None	None	None	None
800002	Quest_800002	None	None	None	None	None	None	None	None	<$>57094</>	None	None	None	None	None	None	None	auch_basic	None	None	None	None	None	None	None	E0910_HAL	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	The Witch's Gift	None	None	None	None	None	None	None	<$>57230</>	auch_basic	E0910_HAL	<$>57232</>	1	Msg	None	None	None	None	None	None	None	None
800003	Quest_800003	None	None	None	None	None	None	None	None	<$>57094</>	None	None	None	None	None	None	None	auch_basic	None	None	None	None	None	None	None	E0910_HAL	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	The Witch's Gift	None	None	None	None	None	None	None	<$>57230</>	auch_basic	E0910_HAL	<$>57233</>	1	Msg	None	None	None	None	None	None	None	None
800004	Quest_800004	None	None	None	None	None	None	None	None	<$>57094</>	None	None	None	None	None	None	None	auch_basic	None	None	None	None	None	None	None	E0910_HAL	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	The Witch's Gift	None	None	None	None	None	None	None	<$>57230</>	auch_basic	E0910_HAL	<$>57234</>	1	Msg	None	None	None	None	None	None	None	None
800005	Quest_800005	None	None	None	None	None	None	None	None	<$>57094</>	None	None	None	None	None	None	None	auch_basic	None	None	None	None	None	None	None	E0910_HAL	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	The Witch's Gift	None	None	None	None	None	None	None	<$>57230</>	auch_basic	E0910_HAL	<$>57235</>	1	Msg	None	None	None	None	None	None	None	None
800006	Quest_800006	None	None	None	None	None	None	None	None	<$>57094</>	None	None	None	None	None	None	None	auch_basic	None	None	None	None	None	None	None	E0910_HAL	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	The Witch's Gift	None	None	None	None	None	None	None	<$>57230</>	auch_basic	E0910_HAL	<$>57236</>	1	Msg	None	None	None	None	None	None	None	None
800007	Quest_800007	None	None	None	None	None	None	None	None	<$>57094</>	None	None	None	None	None	None	None	auch_basic	None	None	None	None	None	None	None	E0910_HAL	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	The Witch's Gift	None	None	None	None	None	None	None	<$>57238</>	auch_basic	E0910_HAL	<$>57237</>	1	Msg	None	None	None	None	None	None	None	None
800008	Quest_90005	None	None	None	None	None	None	None	None	The Dead man's ground	None	None	None	None	None	None	None	reb_basic	None	None	None	None	None	None	None	EVENT_NPC2	None	None	None	None	None	None	None	1	0	0	0	0	0	0	0	None	None	None	None	None	None	None	None	Event	None	None	[P]Event	1	Mission	None	None	None	None	None	None	None	None
