ClassID	ClassName	Name	Rank
1	Cabosse	<$>27469</>	0
2	Capypotato	<$>27470</>	0
3	Corn2	<$>27471</>	0
4	Corn	<$>27472</>	0
5	IceCrystal	<$>27473</>	0
6	LazimLamSquama	<$>27474</>	0
7	MatamorphosisStone	<$>27475</>	0
8	Lapislazuli	<$>27476</>	0
9	RoughDiamond	<$>27477</>	0
10	SnowQuartz	<$>27478</>	0
11	MaidUniformRag	<$>27479</>	0
12	BlueStone	<$>27480</>	0
13	DragonflySilk	<$>27481</>	0
14	TorscheDressRag	<$>27482</>	0
15	Ebony	<$>27483</>	0
16	WolfsFur	<$>27484</>	0
17	IceElemental	<$>27485</>	0
18	Malachite	<$>27486</>	0
19	BlackCloth	<$>27487</>	0
20	BlackSteel	<$>27488</>	0
21	EldoomNail	<$>27489</>	0
22	GrayFeather	<$>27490</>	0
23	Marble	<$>27491</>	0
24	YetiLeather	<$>27492</>	0
25	Jade	<$>27493</>	0
26	TangledFloccus	<$>27494</>	0
27	SilverSplinter	<$>27495</>	0
28	EldoomWing	<$>27496</>	0
29	SpoolOfIce	<$>27497</>	0
30	MaroonGrass	<$>27498</>	0
31	BlackSap	<$>27499</>	0
32	BlueSap	<$>27500</>	0
33	GoldenApple	<$>27501</>	0
34	YetiMolarTooth	<$>27502</>	0
35	ElgoomHorn	<$>27503</>	0
39	GiantSeaStar	<$>27507</>	0
40	KingCrabClaws	<$>27508</>	0
41	Empty_bottle	<$>27509</>	0
42	CockatriesFeather	<$>27510</>	0
43	TiranoFang	<$>27511</>	0
1001	Summon_TreasureGolem	<$>27512</>	1
1002	Summon_Tachyon	<$>27513</>	1
1003	Summon_HillGiant	<$>27514</>	1
1004	ExcrementsLump	<$>27515</>	1
1005	RhodolitePiece	<$>27516</>	1
1006	RustyBladePiece	<$>27517</>	1
1007	HorseNail	<$>27518</>	1
1008	UliginousFlora	<$>27519</>	1
1009	BoneStick	<$>27520</>	1
1010	BonePiece	<$>27521</>	1
1011	Rafflesia_Yellow	<$>27522</>	1
1012	Rafflesia_Red	<$>27523</>	1
1013	Rafflesia_Green	<$>27524</>	1
2001	DinoSkin	<$>27525</>	2
2002	DinoHorn	<$>27526</>	2
2003	TorscheClock	<$>27527</>	2
2004	TorscheTube	<$>27528</>	2
2005	TorscheGear	<$>27529</>	2
2006	TorscheSpring	<$>27530</>	2
2007	Elecstonepow	<$>27531</>	2
2008	TorscheHinge	<$>27532</>	2
2009	StrangeOre	<$>27533</>	2
3001	OldChess	<$>27534</>	3
3002	EarthPiece	<$>27535</>	3
3003	PonySkin	<$>27536</>	3
3004	RoyalSymbol	<$>27537</>	3
3005	PeaceSymbol	<$>27538</>	3
3006	ShotOfMarksman	<$>27539</>	3
3007	Telescope	<$>27540</>	3
3008	WindElementalStone	<$>27541</>	3
3009	OutrawCigar	<$>27542</>	3
3010	MantisHead	<$>27543</>	3
3011	FireElementalStone	<$>27544</>	3
3012	IceElementalStone	<$>27545</>	3
3013	WaspString	<$>27546</>	3
3014	Stalatite	<$>27547</>	3
3015	SnailShell	<$>27548</>	3
3016	DevilsWhisper	<$>27549</>	3
3017	SnakeScale	<$>27550</>	3
3018	GlacielLily	<$>27551</>	3
4001	RubassePiece	<$>27552</>	4
4002	Horsehorn	<$>27553</>	4
4003	Celemantisjuice	<$>27554</>	4
4004	StoneofSoul	<$>27555</>	4
4005	HiltofOldSword	<$>27556</>	4
4006	GluttonySpine	<$>27557</>	4
4007	RabbitLiver	<$>27558</>	4
5001	Time_Wheel	<$>27559</>	5
5002	kryptonite	<$>27560</>	5
5003	Elementium	<$>27561</>	5
5004	armoniumore1	<$>110150</>	6
5005	Forestpiece	<$>193059</>	6
5006	AbyssPiece	<$>86695</>	6
5007	RustInsignia	<$>193060</>	6
