ClassID	ClassName	ConditionText	GetScript	Group	ItemName	ReqItem1	ReqItem1Count	ReqItem2	ReqItem2Count	ReqItem3	ReqItem3Count	ReqItem4	ReqItem4Count	ReqProp1	ReqProp1Text	ReqProp1Value	ReqProp2	ReqProp2Text	ReqProp2Value	ReqProp3	ReqProp3Text	ReqProp3Value	ReqScript
1	AF_O_BlackRose	<$>13438</>	GET_ARTIFACT	Normal	OldBlackRose	AmaranthineRose	3	BalanceEssence	100	Silk	30000	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
2	AF_O_BloodyRose	<$>13438</>	GET_ARTIFACT	Normal	OldBloodyRose	HeartofVampire	3	FallenEssence	100	MantisHead	100	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
3	AF_O_SMemory	<$>13438</>	GET_ARTIFACT	Normal	OldSellenesMemory	MoonPiece	3	PureEssence	100	SoftThread	30000	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
4	AF_O_SHeart	<$>13438</>	GET_ARTIFACT	Normal	OldSellenesHeart	MoonPiece	3	PureEssence	100	PeaceSymbol	100	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
5	AF_O_RmansNut	<$>13438</>	GET_ARTIFACT	Normal	OldRepairmansNut	ComplicatedPart	3	BalanceEssence	100	ShinyCrystal	500	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
6	AF_O_RmansBolt	<$>13438</>	GET_ARTIFACT	Normal	OldRepairmansBolt	ComplicatedMachine	3	PureEssence	100	ShinyCrystal	500	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
7	AF_O_APiercing	<$>13438</>	GET_ARTIFACT	Normal	OldArucardPiercing	HeartofDevil	3	FallenEssence	100	BoneStick	100	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
8	AF_O_EagleEye	<$>13438</>	GET_ARTIFACT	Normal	OldEagleEye	EagleEyeball	3	FallenEssence	100	OutrawCigar	100	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
9	AF_O_SnipersRing	<$>13438</>	GET_ARTIFACT	Normal	OldSnipersRing	SteelShell	3	PureEssence	100	ShotOfMarksman	100	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
10	AF_O_CLocket	<$>13438</>	GET_ARTIFACT	Normal	OldCloverLocket	SmeltedSteel	3	BalanceEssence	100	RoyalSymbol	100	None	0	None	None	0	None	None	0	None	None	0	REQ_ARTIFACT
11	AF_BlackRose	<$>13438</>	GET_ARTIFACT	Elite	BlackRose	OldBlackRose	1	AmaranthineRose	10	BalanceEssence	300	None	0	EQ_Leonele	<$>86353</>	30	None	None	0	None	None	0	REQ_ARTIFACT
12	AF_BloodyRose	<$>13438</>	GET_ARTIFACT	Elite	BloodyRose	OldBloodyRose	1	HeartofVampire	10	FallenEssence	300	None	0	EQ_Leonele	<$>86353</>	30	None	None	0	None	None	0	REQ_ARTIFACT
13	AF_SMemory	<$>13438</>	GET_ARTIFACT	Elite	SellenesMemory	OldSellenesMemory	1	MoonPiece	10	PureEssence	300	None	0	EQ_Leonele	<$>86353</>	30	None	None	0	None	None	0	REQ_ARTIFACT
14	AF_SHeart	<$>13438</>	GET_ARTIFACT	Elite	SellenesHeart	OldSellenesHeart	1	MoonPiece	10	PureEssence	300	None	0	EQ_Leonele	<$>86353</>	30	None	None	0	None	None	0	REQ_ARTIFACT
15	AF_RepairmansNut	<$>13438</>	GET_ARTIFACT	Elite	RepairmansNut	OldRepairmansNut	1	ComplicatedPart	10	BalanceEssence	300	None	0	EQ_Leonele	<$>86353</>	30	None	None	0	None	None	0	REQ_ARTIFACT
16	AF_RepairmansBolt	<$>13438</>	GET_ARTIFACT	Elite	RepairmansBolt	OldRepairmansBolt	1	ComplicatedMachine	10	PureEssence	300	None	0	EQ_Leonele	<$>86353</>	30	None	None	0	None	None	0	REQ_ARTIFACT
