ClassID	ClassName	GiveItem	ItemName	RemoveProp
48000	NoArtifact	None	<$>13438</>	None
48001	OldGolemTalisman	None	<$>86456</>	None
48002	OldDemonTalisman	None	<$>86459</>	None
48003	OldLightningTurtle	None	<$>86461</>	None
48004	OldBlackRose	None	<$>86463</>	None
48005	OldBloodyRose	None	<$>86465</>	None
48006	OldPsychicSnake	None	<$>86467</>	None
48007	OldShiningRose	None	<$>86469</>	None
48008	OldSellenesMemory	None	<$>86471</>	None
48009	OldSellenesTear	None	<$>86473</>	None
48010	OldSellenesHeart	None	<$>86475</>	None
48011	OldRepairmansNut	None	<$>86477</>	None
48012	OldRepairmansBolt	None	<$>86479</>	None
48013	OldIceToad	None	<$>86481</>	None
48014	OldArucardPiercing	None	<$>86483</>	None
48015	OldUndeadTalisman	None	<$>86485</>	None
48016	OldEagleEye	None	<$>86487</>	None
48017	OldSnipersRing	None	<$>86489</>	None
48018	OldExcutionersEarring	None	<$>86491</>	None
48019	OldExcutionersRing	None	<$>86493</>	None
48020	OldCreatureTalisman	None	<$>86495</>	None
48021	OldCloverLocket	None	<$>86497</>	None
48022	OldFireLizard	None	<$>86499</>	None
48023	OldPioneerNecklace	None	<$>86501</>	None
48024	OldPioneersPiercing	None	<$>86503</>	None
48025	OldPresto	None	<$>86505</>	None
48026	GolemTalisman	None	<$>86507</>	None
48027	DemonTalisman	None	<$>86509</>	None
48028	LightningTurtle	None	<$>38940</>	None
48029	BlackRose	None	<$>86512</>	None
48030	BloodyRose	None	<$>38945</>	None
48031	PsychicSnake	None	<$>38941</>	None
48032	ShiningRose	None	<$>86516</>	None
48033	SellenesMemory	None	<$>38936</>	None
48034	SellenesTear	None	<$>86519</>	None
48035	SellenesHeart	None	<$>86521</>	None
48036	RepairmansNut	None	<$>38942</>	None
48037	RepairmansBolt	None	<$>86524</>	None
48038	IceToad	None	<$>38939</>	None
48039	ArucardPiercing	None	<$>86527</>	None
48040	UndeadTalisman	None	<$>86529</>	None
48041	EagleEye	None	<$>86531</>	None
48042	SnipersRing	None	<$>86533</>	None
48043	ExcutionersEarring	None	<$>86535</>	None
48044	ExcutionersRing	None	<$>86537</>	None
48045	CreatureTalisman	None	<$>86539</>	None
48046	CloverLocket	None	<$>86541</>	None
48047	FireLizard	None	<$>38938</>	None
48048	PioneerNecklace	None	<$>38937</>	None
48049	PioneersPiercing	None	<$>86545</>	None
48050	Presto	None	<$>86547</>	None
48051	E_GolemTalisman	None	<$>86549</>	AF_E_GolemTalisman
48052	E_DemonTalisman	None	<$>86551</>	AF_E_DemonTalisman
48053	E_LightningTurtle	None	<$>86553</>	None
48054	E_BlackRose	None	<$>86555</>	AF_E_BlackRose
48055	E_BloodyRose	None	<$>86557</>	AF_E_BloodyRose
48056	E_PsychicSnake	None	<$>86559</>	None
48057	E_ShiningRose	None	<$>86561</>	None
48058	E_SellenesMemory	None	<$>86563</>	AF_E_SMemory
48059	E_SellenesTear	None	<$>86565</>	None
48060	E_SellenesHeart	None	<$>86567</>	AF_E_SHeart
48061	E_RepairmansNut	None	<$>86569</>	AF_E_RmansNut
48062	E_RepairmansBolt	None	<$>86571</>	AF_E_RmansBolt
48063	E_IceToad	None	<$>86573</>	None
48064	E_ArucardPiercing	None	<$>86575</>	None
48065	E_UndeadTalisman	None	<$>86577</>	AF_E_UndeadTalisman
48066	E_EagleEye	None	<$>86579</>	None
48067	E_SnipersRing	None	<$>86581</>	None
48068	E_ExcutionersEarring	None	<$>86583</>	AF_E_ExcutionersEarring
48069	E_ExcutionersRing	None	<$>86585</>	None
48070	E_CreatureTalisman	None	<$>86587</>	AF_E_CreatureTalisman
48071	E_CloverLocket	None	<$>86589</>	None
48072	E_FireLizard	None	<$>86591</>	None
48073	E_PioneerNecklace	None	<$>86593</>	None
48074	E_PioneersPiercing	None	<$>86595</>	None
48075	E_Presto	None	<$>86597</>	None
48076	MarchettiPen	None	<$>86599</>	AF_MarchettiPen
48077	Barrelbarrel	None	<$>86601</>	AF_Barrelbarrel
48078	HeyranPendent	None	<$>86603</>	AF_HeyranPendent
48079	BerneliNecktie	None	<$>86605</>	AF_BerneliNecktie
48080	GarciaMedal	None	<$>86607</>	AF_GarciaMedal
48081	ClairHat	None	<$>86609</>	AF_ClairHat
48082	SalamanderStone	None	<$>86611</>	AF_SalamanderStone
48083	HeavyFurCoat	None	<$>86613</>	AF_HeavyFurCoat
48084	RubberGloves	None	<$>86615</>	AF_RubberGloves
48085	MindCirclet	None	<$>86617</>	AF_MindCirclet
48086	ImpregnableG1	None	<$>83838</>	AF_ImpregnableG1
48087	ImpregnableG2	None	<$>83839</>	AF_ImpregnableG2
48088	ImpregnableG3	None	<$>83840</>	AF_ImpregnableG3
48089	FamilyCape	None	<$>90191</>	AF_FamilyCape
48090	ZackMark	None	<$>90193</>	AF_ZackMark
48091	ButlerTogs	None	<$>90195</>	AF_ButlerTogs
48092	VanguardShield	None	<$>90197</>	AF_VanguardShield
48093	DeceptiveBall	None	<$>90199</>	AF_DeceptiveBall
48094	FirstAidEquipment	None	<$>90201</>	AF_FirstAidEq
48095	EmptyCartridgeRing	None	<$>90203</>	AF_EmptyCartridge
48096	ElementalNecklace	None	<$>90205</>	AF_ElementalNec
48097	Pinkscarf	None	<$>90207</>	AF_Pinkscarf
48098	SoulRipperHood	None	<$>90209</>	AF_SoulRipperHood
48099	GrimRipperChain	None	<$>90211</>	AF_GrimRipperChain
48100	ProstMask	None	<$>90213</>	AF_ProstMask
48101	Pioneerspiace(1Day)	None	<$>91408</>	None
48102	Pioneerspiace(5Days)	None	<$>91411</>	None
48103	Pioneerspiace(10Days)	None	<$>91413</>	None
48104	Pioneerspiace(15Days)	None	<$>91415</>	None
48105	Pioneerspiace(30Days)	None	<$>91417</>	None
48106	WisemanofBody(1Day)	None	<$>91419</>	None
48107	WisemanofBody(5Days)	None	<$>91421</>	None
48108	WisemanofBody(10Days)	None	<$>91422</>	None
48109	WisemanofBody(15Days)	None	<$>91423</>	None
48110	WisemanofBody(30Days)	None	<$>91424</>	None
48111	PictureDiary	None	<$>91425</>	AF_PictureDiary
48112	HairRibbon	None	<$>91427</>	AF_HairRibbon
