ClassID	ClassName	Emitter1	Emitter10	Emitter11	Emitter12	Emitter13	Emitter14	Emitter15	Emitter16	Emitter17	Emitter18	Emitter19	Emitter2	Emitter20	Emitter21	Emitter22	Emitter23	Emitter24	Emitter25	Emitter26	Emitter27	Emitter28	Emitter29	Emitter3	Emitter30	Emitter31	Emitter32	Emitter33	Emitter34	Emitter35	Emitter36	Emitter37	Emitter38	Emitter39	Emitter4	Emitter40	Emitter41	Emitter42	Emitter5	Emitter6	Emitter7	Emitter8	Emitter9	Node1	Node10	Node11	Node12	Node13	Node14	Node15	Node16	Node17	Node18	Node19	Node2	Node20	Node21	Node22	Node23	Node24	Node25	Node26	Node27	Node28	Node29	Node3	Node30	Node31	Node32	Node33	Node34	Node35	Node36	Node37	Node38	Node39	Node4	Node40	Node41	Node42	Node5	Node6	Node7	Node8	Node9	Particle1	Particle10	Particle11	Particle12	Particle13	Particle14	Particle15	Particle16	Particle17	Particle18	Particle19	Particle2	Particle20	Particle21	Particle22	Particle23	Particle24	Particle25	Particle26	Particle27	Particle28	Particle29	Particle3	Particle30	Particle31	Particle32	Particle33	Particle34	Particle35	Particle36	Particle37	Particle38	Particle39	Particle4	Particle40	Particle41	Particle42	Particle5	Particle6	Particle7	Particle8	Particle9
1	Mission_Eaglehead	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
2	Monster_Eaglehead	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
3	Monster_Eaglehead_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
4	Monster_Eaglehead_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mon_ATK_iceturret02	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
5	Mission_Trilinear	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	Dummy_effect04	None	None	None	None	None	None	None	None	None	None	Dummy_effect05	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	Dummy_effect02	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	Mon_turretlight02	None	None	None	None
6	Monster_Trilinear	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	Dummy_effect04	None	None	None	None	None	None	None	None	None	None	Dummy_effect05	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	Dummy_effect02	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	Mon_turretlight02	None	None	None	None
7	Monster_Trilinear_Elite	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	Dummy_effect04	None	None	None	None	None	None	None	None	None	None	Dummy_effect05	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	Dummy_effect02	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	Mon_turretlight02	None	None	None	None
8	Monster_Trilinear_Amber	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect03	None	None	None	None	None	None	None	None	None	None	Dummy_effect04	None	None	None	None	None	None	None	None	None	None	Dummy_effect05	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	Dummy_effect02	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	Mon_turretlight	None	None	None	None	None	None	None	None	None	None	mon_turretbottom	None	None	None	Mon_turretlight02	None	None	None	None
9	Mission_JaquinWildDog	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
10	Monster_JaquinWildDog	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Dummy_effect01	None	None	None	None	None	None	None	None	None	None	Dummy_effect02	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	mon_jaqwilddog_eye	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
