ClassID	ClassName	Day	Name	Script	Time	ZoneName
1	wed_am_00	WED	<$>27562</>	SCR_VIKIHOUSE_TORSCHE_CREATE	00:01:00	common_housein
2	wed_pm_23	WED	<$>27563</>	SCR_VIKIHOUSE_TORSCHE_DEATH	23:59:30	common_housein
10001	AUTONOTICE_1H	THU	<$>27564</>	SCR_AUTONOTICE_1H	07:00:00	gm_zone
10011	AUTONOTICE_30MIN	THU	<$>27565</>	SCR_AUTONOTICE_30MIN	07:30:00	gm_zone
10021	AUTONOTICE_10MIN	THU	<$>27566</>	SCR_AUTONOTICE_10MIN	07:50:00	gm_zone
20003	EVENT_MAIL_SEND_MAIL_01	NON	<$>27569</>	EVENT_MAIL_SEND_MAIL_01	11:55:00	fld_reb
20004	EVENT_MAIL_DESTROY_MAIL_01	NON	<$>27570</>	EVENT_MAIL_DESTROY_MAIL_01	12:05:00	fld_reb
20007	EVENT_MAIL_SEND_MAIL_02	NON	<$>27573</>	EVENT_MAIL_SEND_MAIL_02	11:55:00	fld_reb
20008	EVENT_MAIL_DESTROY_MAIL_02	NON	<$>27574</>	EVENT_MAIL_DESTROY_MAIL_02	12:05:00	fld_reb
20011	EVENT_MAIL_SEND_MAIL_03	NON	<$>27577</>	EVENT_MAIL_SEND_MAIL_03	11:55:04	fld_reb
20012	EVENT_MAIL_DESTROY_MAIL_03	NON	<$>27578</>	EVENT_MAIL_DESTROY_MAIL_03	12:05:00	fld_reb
20023	EVENT_MAIL_SEND_MAIL_06	NON	<$>27581</>	EVENT_MAIL_SEND_MAIL_06	18:55:00	fld_reb
20024	EVENT_MAIL_DESTROY_MAIL_06	NON	<$>27582</>	EVENT_MAIL_DESTROY_MAIL_06	19:05:00	fld_reb
20027	EVENT_MAIL_SEND_MAIL_07	NON	<$>27585</>	EVENT_MAIL_SEND_MAIL_07	19:25:00	fld_reb
20028	EVENT_MAIL_DESTROY_MAIL_07	NON	<$>27586</>	EVENT_MAIL_DESTROY_MAIL_07	19:35:00	fld_reb
20031	EVENT_MAIL_SEND_MAIL_08	NON	<$>27589</>	EVENT_MAIL_SEND_MAIL_08	19:55:00	fld_reb
20032	EVENT_MAIL_DESTROY_MAIL_08	NON	<$>27590</>	EVENT_MAIL_DESTROY_MAIL_08	20:00:00	fld_reb
20039	EVENT_MAIL_SEND_MAIL_10	NON	<$>27593</>	EVENT_MAIL_SEND_MAIL_10	20:55:00	fld_reb
20040	EVENT_MAIL_DESTROY_MAIL_10	NON	<$>27594</>	EVENT_MAIL_DESTROY_MAIL_10	21:05:00	fld_reb
20043	EVENT_MAIL_SEND_MAIL_11	NON	<$>27597</>	EVENT_MAIL_SEND_MAIL_11	21:25:00	fld_reb
20044	EVENT_MAIL_DESTROY_MAIL_11	NON	<$>27598</>	EVENT_MAIL_DESTROY_MAIL_11	21:35:00	fld_reb
20047	EVENT_MAIL_SEND_MAIL_12	NON	<$>27601</>	EVENT_MAIL_SEND_MAIL_12	21:55:00	fld_reb
20048	EVENT_MAIL_DESTROY_MAIL_12	NON	<$>27602</>	EVENT_MAIL_DESTROY_MAIL_12	22:10:00	fld_reb
