ClassID	ItemID	OptionGroup
1	67001	WepCosOH
2	67002	WepCosOH
3	67003	WepCosOH
4	67004	WepCosOH
5	67005	WepCosTH
6	67006	WepCosOH
7	67007	WepCosOH
8	67008	WepCosTH
9	67009	WepCosTH
10	67010	WepCosOH
11	67011	WepCosOH
12	67012	WepCosOH
13	67013	WepCosTH
14	67014	WepCosTH
15	67015	WepCosOH
16	67016	WepCosETC
17	67017	WepCosTH
18	67018	WepCosOH
19	67019	WepCosOH
20	67020	WepCosTH
21	67021	WepCosTH
22	67022	WepCosOH
23	67023	WepCosTH
24	67024	WepCosTH
25	67025	WepCosOH
26	67026	WepCosTH
27	67027	WepCosOH
28	67028	WepCosOH
29	67029	WepCosTH
30	67030	WepCosOH
31	67031	WepCosOH
32	67032	WepCosTH
33	67033	WepCosTH
34	67034	WepCosOH
35	67035	WepCosTH
36	67036	WepCosOH
37	67037	WepCosOH
38	67038	WepCosOH
39	67039	WepCosOH
40	67040	WepCosOH
41	67041	WepCosTH
42	67042	WepCosOH
43	67043	WepCosOH
44	67044	WepCosTH
45	67045	WepCosOH
46	67046	WepCosOH
47	67047	WepCosTH
48	67048	WepCosOH
49	67049	WepCosOH
50	67050	WepCosTH
51	67051	WepCosOH
52	67052	WepCosOH
53	67053	WepCosTH
54	67054	WepCosTH
55	67055	WepCosTH
56	67056	WepCosTH
57	67057	WepCosTH
58	67058	WepCosTH
59	67059	WepCosOH
60	67060	WepCosOH
61	67061	WepCosOH
62	67062	WepCosOH
63	67063	WepCosOH
64	67064	WepCosOH
65	67065	WepCosTH
66	67066	WepCosOH
67	67067	WepCosOH
68	67068	WepCosETC
69	67069	WepCosOH
70	67070	WepCosOH
71	67071	WepCosOH
72	67072	WepCosOH
73	67073	WepCosOH
74	67074	WepCosTH
75	67075	WepCosOH
76	67076	WepCosTH
77	67077	WepCosOH
78	67078	WepCosOH
79	67079	WepCosOH
80	67080	WepCosTH
81	67081	WepCosETC
82	67082	WepCosOH
83	67083	WepCosETC
84	67084	WepCosTH
85	67085	WepCosTH
86	67086	WepCosETC
87	67087	WepCosTH
88	67088	WepCosOH
89	67089	WepCosTH
90	67090	WepCosOH
91	67091	WepCosTH
92	67092	WepCosTH
93	67093	WepCosTH
94	67094	WepCosOH
95	67095	WepCosTH
96	67096	WepCosOH
97	67097	WepCosOH
98	67098	WepCosTH
99	67099	WepCosTH
100	67100	WepCosOH
101	67101	WepCosOH
102	67102	WepCosOH
103	67103	WepCosOH
104	67104	WepCosOH
105	67105	WepCosOH
106	67106	WepCosOH
107	67107	WepCosOH
108	67108	WepCosOH
109	67109	WepCosTH
110	67110	WepCosOH
111	67111	WepCosTH
112	67112	WepCosTH
113	67113	WepCosOH
114	67114	WepCosTH
115	67115	WepCosOH
116	67116	WepCosTH
117	67117	WepCosTH
118	67118	WepCosTH
119	67119	WepCosTH
120	67120	WepCosOH
121	67121	WepCosOH
122	67122	WepCosTH
123	67123	WepCosOH
124	67124	WepCosTH
125	67125	WepCosOH
126	67126	WepCosOH
127	67127	WepCosOH
128	67128	WepCosOH
129	67129	WepCosTH
130	67130	WepCosTH
131	67131	WepCosOH
132	67132	WepCosTH
133	67133	WepCosOH
134	67134	WepCosOH
135	67135	WepCosOH
136	67136	WepCosETC
137	67137	WepCosTH
138	67138	WepCosOH
139	67139	WepCosOH
140	67140	WepCosOH
