ClassID	Day1	Day30	Day7	Day90	PremiumProp
41001	41501	41701	41601	41801	None
41002	41502	41702	41602	41802	None
41003	41503	41703	41603	41803	None
41004	41504	41704	41604	41804	None
41008	41505	41705	41605	41805	None
41009	41506	41706	41606	41806	None
41011	41507	41707	41607	41807	None
41012	41508	41708	41608	41808	None
41032	41509	41709	41609	41809	None
41033	41510	41710	41610	41810	None
41034	41511	41711	41611	41811	None
41035	41512	41712	41612	41812	None
41036	41513	41713	41613	41813	None
41040	41514	41714	41614	41814	None
41041	41515	41715	41615	41815	None
41042	41516	41716	41616	41816	None
41047	41517	41717	41617	41817	None
41112	41519	41719	41619	41819	None
41122	41520	41720	41620	41820	None
41123	41521	41721	41621	41821	None
41124	41522	41722	41622	41822	None
41165	41523	41723	41623	41823	None
41166	41524	41724	41624	41824	None
41167	41525	41725	41625	41825	None
41168	41526	41726	41626	41826	None
41169	41527	41727	41627	41827	None
41170	41528	41728	41628	41828	None
41171	41529	41729	41629	41829	None
41172	41530	41730	41630	41830	None
41173	41531	41731	41631	41831	None
41174	41532	41732	41632	41832	None
41130	41537	41737	41637	41837	None
41175	41533	41733	41633	41833	None
41176	41534	41734	41634	41834	None
41177	41535	41735	41635	41835	None
41189	41536	41736	41636	41836	None
41005	41538	41738	41638	41838	None
41006	41539	41739	41639	41839	None
41007	41540	41740	41640	41840	None
41219	41541	41741	41641	41841	None
41220	41542	41742	41642	41842	None
841043	41227	41229	41228	41230	None
41194	41544	41744	41644	41844	None
41193	41545	41745	41645	41845	None
41195	41546	41746	41646	41846	None
41149	41547	41747	41647	41847	None
41150	41548	41748	41648	41848	None
41151	41549	41749	41649	41849	None
41152	41550	41750	41650	41850	None
41153	41551	41751	41651	41851	None
41154	41552	41752	41652	41852	None
41204	41553	41753	41653	41853	None
41108	41554	41754	41654	41854	None
41190	41555	41755	41655	41855	None
41871	41872	41874	41873	41875	Butterfly_Gold
41876	41877	41879	41878	41880	Butterfly_Blue
41881	41882	41884	41883	41885	Mechanic_Wing
41858	41891	41893	41892	41894	Halloween_Tomb_2013
41886	41887	41889	41888	41890	NecrobusWing
841054	841112	841114	841113	841115	RoseWing_Blue
41900	41901	41903	41902	41904	JackOlanternBag
41895	41896	41898	41897	41899	PurplebatWing
41905	41906	41908	41907	41909	Red_Wish_Wing_kr
41911	41912	41914	41913	41915	wheelofdestiny_N
41916	41917	41919	41918	41920	Gravestone_N
41921	41922	41924	41923	41925	Revenant_N
41926	41927	41929	41928	41930	Deadlycross_N
41931	41932	41934	41933	41935	BloodyCoffin_N
41938	41939	41941	41940	41942	SnowAngelWing
41982	41973	41975	41974	41976	WorldcapWing_a_Custom
41983	41978	41980	41979	41981	WorldcapWing_b_Custom
