ClassID	MainEventType	Minute	ScriptName	SubEventType
1	ELECTION	-30	SCR_ELECTION_CANDIDATE_START_30	CANDIDATE_START
2	ELECTION	-10	SCR_ELECTION_CANDIDATE_START_10	CANDIDATE_START
3	ELECTION	-5	SCR_ELECTION_CANDIDATE_START_5	CANDIDATE_START
4	ELECTION	0	SCR_ELECTION_CANDIDATE_START_0	CANDIDATE_START
5	ELECTION	-30	SCR_ELECTION_CANDIDATE_END_30	CANDIDATE_END
6	ELECTION	-10	SCR_ELECTION_CANDIDATE_END_10	CANDIDATE_END
7	ELECTION	-5	SCR_ELECTION_CANDIDATE_END_5	CANDIDATE_END
8	ELECTION	0	SCR_ELECTION_CANDIDATE_END_0	CANDIDATE_END
9	ELECTION	-30	SCR_ELECTION_VOTE_START_30	VOTE_START
10	ELECTION	-10	SCR_ELECTION_VOTE_START_10	VOTE_START
11	ELECTION	-5	SCR_ELECTION_VOTE_START_5	VOTE_START
12	ELECTION	0	SCR_ELECTION_VOTE_START_0	VOTE_START
13	ELECTION	-30	SCR_ELECTION_VOTE_END_30	VOTE_END
14	ELECTION	-10	SCR_ELECTION_VOTE_END_10	VOTE_END
15	ELECTION	-5	SCR_ELECTION_VOTE_END_5	VOTE_END
16	ELECTION	0	SCR_ELECTION_VOTE_END_0	VOTE_END
17	ELECTION	1	SCR_ELECTION_VOTE_END_A1	VOTE_END
18	ELECTION	2	SCR_ELECTION_VOTE_END_A2	VOTE_END
