AR	ASPD	ASPD_Opt	ATK	AddATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	EvationSkill_BM	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HP_Opt	HR	HumanBane	IMP	IMP_Opt	IceATK	IceIP	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncMHP	IncMHP_Opt	IncMSP	IncMSP_Opt	IncSTR	InfoView	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LogoutSave	MHP	MHP2_Opt	MHP_Opt	MKP	MSP	MSPD	MSPD_Opt	MSP_Opt	MSP_Opt2	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PCAtk	PCDef	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	SetItemGroup	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	12	0	0	None	hit_fist1.ogg	0	None	None	0	None	0	Armor	<$>31452</>	Armor_None	<$>13438</>	19500	NoBoots	None	NO	0	FALSE	1	0	BOOTS	0	<$>13438</>	0	10	0	0	None	None	None	None	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	1	NoBoots	BOOTS	None	0	None	2147483647	0	FALSE	None	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	FALSE	<$>13438</>	SYS_item_column_red	0	<$>13438</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	19500	1.6	None	0	0	0	None	None	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	1	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots1	<$>32365</>	19501	Shoes	Boots	NO	2	FALSE	1	0	BOOTS	0	<$>32366</>	0	10	0	0	None	NormEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Shoes	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_shoes	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	20	<$>32364</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	BOOTS	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140804</>	1	19501	1.6	None	27500	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots2	<$>32372</>	19502	LeatherBoots	LBoots	NO	4	FALSE	1	0	BOOTS	0	<$>32370</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Leather boots	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_leatherboots	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	21	<$>32369</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	BOOTS	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19502	1.6	None	27500	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots2	<$>32372</>	19503	HardLeatherBoots	LBoots	NO	5	FALSE	1	0	BOOTS	0	<$>32370</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Hard-leather boots	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_hardleatherboots	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	22	<$>32373</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	BOOTS	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19503	1.6	None	27500	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	3	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots3	<$>32376</>	19504	ChainBoots	MBoots	NO	6	FALSE	1	0	BOOTS	0	<$>32375</>	0	10	0	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Chain boots	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_chainboots	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	23	<$>32374</>	None	0	1000	0	0	No	0	0	0	0	0	0.95	0	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	BOOTS	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140633</>	1	19504	1.6	None	27500	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	3	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots3	<$>32376</>	19505	MetalGrieves	MBoots	NO	8	FALSE	1	0	BOOTS	0	<$>32378</>	0	10	0	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Metal Grieves	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_metalgrieves	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	0	<$>32377</>	None	0	1000	0	0	No	0	0	0	0	0	0.95	0	0	0	None	0	0	0	1	0	22001	2	1	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140633</>	1	19505	1.6	None	27500	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots2	<$>32372</>	19506	BootsOfHermes	LBoots	NO	4	FALSE	1	0	BOOTS	0	<$>32380</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Boots of Hermes	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_leatherboots	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	0	<$>32379</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	22003	6	3	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19506	1.6	None	27500	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	2	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots2	<$>32372</>	19507	GladiatorsBoots	LBoots	NO	5	FALSE	1	0	BOOTS	0	<$>32382</>	0	10	0	0	None	NormEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	80	Gladiator's Boots	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_hardleatherboots	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	0	<$>32381</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	22002	10	5	0	0	0	0	0	0	None	0	0	0	0	NO	1	None	90000	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140805</>	1	19507	1.6	None	27500	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	80	TRUE	20	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	3	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots3	<$>32376</>	19508	IdgeBoots	MBoots	NO	4	FALSE	1	0	BOOTS	0	<$>32384</>	0	10	0	0	None	NormEqp	None	drop_metalarmor2.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	44	Idge's Boots	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_metalgrieves	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	0	<$>32383</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	BOOTS	0	0	0	0	NO	1	None	2880	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140609</>	1	19508	1.6	None	880	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	44	TRUE	11	None	0	0	0
0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	1	0	None	None	0	None	None	0	None	0	Armor	<$>31452</>	Armor_Boots1	<$>32365</>	19509	Shoes_Low	Boots	NO	1	FALSE	1	0	BOOTS	0	<$>32366</>	0	10	0	0	None	NormEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	40	Shoes	BOOTS	equip_clothe.ogg	0	None	2147483647	0	FALSE	it_m_shoes	0	0	0	Boots	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0	TRUE	<$>32365</>	SYS_item_column_red	16	<$>32364</>	None	0	1000	0	0	No	0	0	0	0	0	1	0	0	0	None	0	0	0	1	0	0	0	0	0	0	0	0	0	0	BOOTS	0	0	0	0	NO	1	None	1620	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>140806</>	1	19509	1.6	None	495	0	0	None	<$>32368</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	40	TRUE	10	None	0	0	0
