AR	ASPD	ATK	AddATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	AutoCheckUse	AutoInspect	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	CoolDown	CoolDownGroup	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HR	HumanBane	IMP	IceATK	IceIP	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	InfoView	IsConfirmUseItem	IsUsableInDead	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LockWarpUse	LogoutSave	MHP	MKP	MSP	MSPD	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	NoBuffMsg	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	Pair	ParticleCount	ParticleName	PreCheckScp	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RecordUsingLog	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	SaveBuff	SaveBurlonPoint	SaveExp	Scale	ScpType	SellPrice	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	TownUsable	Tradable	TxScpType	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	ZoneItem	arg1	arg2
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	<$>32429</>	0	None	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20000	HealingAmpul	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32426</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Healing ampul	None	None	None	2147483647	0	FALSE	it_e_healingampul	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32424</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	PreCheck_HPPotion	27	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32427</>	1	20000	FALSE	FALSE	FALSE	3	SCP_USE_ITEM_HPUP	7	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	180	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	<$>32429</>	0	None	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20001	HealingPotion	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32426</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Healing potion	None	None	None	2147483647	0	FALSE	it_e_healingpotion	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32430</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	PreCheck_HPPotion	135	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32431</>	1	20001	FALSE	FALSE	FALSE	3	SCP_USE_ITEM_HPUP	41	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	750	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	None	0	Meditation	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20002	Nutrition	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32433</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Nutrition	None	None	None	2147483647	0	FALSE	it_e_nutrition	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	FALSE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32432</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	None	135	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32434</>	1	20002	FALSE	FALSE	FALSE	2	SCP_USE_ITEM_TeamAddBuff	0	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	5	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	None	0	None	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20003	Mitridart	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>117930</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Mitridart	None	None	None	2147483647	0	FALSE	it_e_mitridart	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32435</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	None	90	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	20003	FALSE	FALSE	FALSE	2.5	SCP_USE_ITEM_WHITEHOUSE	0	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	20003	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	<$>32441</>	0	Poison	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20004	Antidot	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32439</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Antidot	None	None	None	2147483647	0	FALSE	it_e_antidot	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32438</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	1	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	None	18	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>92531</>	1	20004	FALSE	FALSE	FALSE	2	SCP_USE_ITEM_RemoveBuff	5	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	None	0	Fortify	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20005	Painkiller	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32443</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Painkiller	None	None	None	2147483647	0	FALSE	it_e_painkiller	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	FALSE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32442</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	None	108	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32444</>	1	20005	FALSE	FALSE	FALSE	2.2	SCP_USE_ITEM_TeamAddBuff	0	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	5	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	None	0	Acceleration	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20006	AnalepticRedemy	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32446</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Analeptic redemy	None	None	None	2147483647	0	FALSE	it_e_analepticredemy	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	FALSE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32445</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	None	108	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32447</>	1	20006	FALSE	FALSE	FALSE	2	SCP_USE_ITEM_TeamAddBuff	0	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	5	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	<$>32429</>	0	None	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20007	HealingLiquor	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32426</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Healing liquor	None	None	None	2147483647	0	FALSE	it_e_healingliquor	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32448</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	PreCheck_HPPotion	270	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32449</>	1	20007	FALSE	FALSE	FALSE	1	SCP_USE_ITEM_HPUP	83	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	1200	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	<$>32429</>	0	None	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20008	HealthFiller	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32426</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Health-filler	None	None	None	2147483647	0	FALSE	it_e_healthfiller	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32450</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	PreCheck_HPPotion	900	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32451</>	1	20008	FALSE	FALSE	FALSE	1	SCP_USE_ITEM_HPUP	275	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	2500	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	TRUE	TRUE	0	0	0	0	None	None	0	None	<$>32455</>	0	None	0	Consume	<$>65865</>	Consume_Drug	<$>32425</>	20009	SoulFiller	Drug	0	0	NO	0	FALSE	1	0	None	0	<$>32453</>	0	0	0	0	None	Etc	None	drop_drug.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Soul-filler	None	None	None	2147483647	0	FALSE	it_e_soulfiller	0	0	0	Consume	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	FALSE	None	<$>32425</>	SYS_item_column_yellow	0	<$>32452</>	None	0	1000	0	0	TRUE	Yes	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	PreCheck_SPPotion	720	0	0	0	0	0	0	0	0	0	0	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>32454</>	1	20009	FALSE	FALSE	FALSE	1	SCP_USE_ITEM_SPUP	220	0	None	<$>32428</>	_NO	None	TRUE	TRUE	None	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	1	None	0	0	600	0
