AR	ASPD	ATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HR	HumanBane	IMP	IceATK	IceIP	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LogoutSave	MHP	MKP	MSP	MSPD	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38690</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23001	Mango1	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Mango	None	None	None	0	0	FALSE	it_e_mango	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	1	<$>38688</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23001	1.8	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	1	FALSE	1	None	0	200	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38692</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23002	Mango2	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Good Mango	None	None	None	0	0	FALSE	it_e_mango	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	3	<$>38691</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23002	1.8	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	12	FALSE	3	None	0	300	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38694</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23003	Coconut1	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Coconut	None	None	None	0	0	FALSE	it_e_abokado	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	5	<$>38693</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23003	1.8	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	20	FALSE	5	None	0	400	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38696</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23004	Coconut2	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Good Coconut	None	None	None	0	0	FALSE	it_e_abokado	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	7	<$>38695</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23004	1.8	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	28	FALSE	7	None	0	500	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38698</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23005	Guava1	Inst	NO	0	FALSE	1	0	None	0	None	0	180	32	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Guava	None	None	None	0	0	FALSE	it_e_guava	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	9	<$>38697</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23005	2	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	36	FALSE	9	None	0	600	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38700</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23006	Guava2	Inst	NO	0	FALSE	1	0	None	0	None	0	180	32	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Good Guava	None	None	None	0	0	FALSE	it_e_guava	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	11	<$>38699</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23006	2	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	44	FALSE	11	None	0	700	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38702</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23007	Papaya1	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Papaya	None	None	None	0	0	FALSE	it_e_papaya	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	13	<$>38701</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23007	1.8	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	52	FALSE	13	None	0	900	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38704</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23008	Papaya2	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Good Papaya	None	None	None	0	0	FALSE	it_e_papaya	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	15	<$>38703</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23008	1.8	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	60	FALSE	15	None	0	1000	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38706</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23009	Sushi1	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Sushi	None	None	None	0	0	FALSE	it_e_sushi	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	17	<$>38705</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23009	2.5	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	68	FALSE	17	None	0	1200	0
0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	<$>38708</>	0	None	0	Instant	<$>38689</>	Instant	<$>38689</>	23010	Sushi2	Inst	NO	0	FALSE	1	0	None	0	None	0	0	0	0	None	Inst	None	None	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	Good Sushi	None	None	None	0	0	FALSE	it_e_sushi	0	0	0	Instant	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>38689</>	SYS_item_column_yellow	19	<$>38707</>	None	0	1000	0	0	No	0	0	0	1	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	23010	2.5	SCP_USE_ITEM_TeamHPUP	0	0	None	None	_NO	None	FALSE	0	None	FALSE	Both	TRUE	TRUE	76	FALSE	19	None	0	1300	0
