ClassID	Text	Title
1	<$>92913</>	<$>47219</>
2	<$>47222</>	<$>47221</>
3	<$>92914</>	<$>47223</>
4	<$>92916</>	<$>92915</>
5	<$>47228</>	<$>47227</>
6	<$>47230</>	<$>47229</>
7	<$>92918</>	<$>92917</>
8	<$>92919</>	<$>47233</>
9	<$>92920</>	<$>47235</>
10	<$>47238</>	<$>47237</>
12	<$>47240</>	<$>47239</>
13	<$>92921</>	<$>47241</>
14	<$>47244</>	<$>47243</>
15	<$>104404</>	<$>47245</>
16	<$>104405</>	<$>47247</>
17	<$>92924</>	<$>92923</>
18	<$>47252</>	<$>92925</>
19	<$>92927</>	<$>92926</>
20	<$>47256</>	<$>47255</>
21	<$>92928</>	<$>47257</>
22	<$>104406</>	<$>92929</>
23	<$>92932</>	<$>92931</>
24	<$>92934</>	<$>92933</>
25	<$>92936</>	<$>92935</>
26	<$>92938</>	<$>92937</>
27	<$>92939</>	<$>47269</>
28	<$>47272</>	<$>47271</>
29	<$>220735</>	<$>47273</>
30	<$>92942</>	<$>92941</>
31	<$>47278</>	<$>92943</>
32	<$>92944</>	<$>47279</>
33	<$>47282</>	<$>92945</>
34	<$>47284</>	<$>92946</>
35	<$>92948</>	<$>92947</>
36	<$>104407</>	<$>92949</>
37	<$>92950</>	<$>47289</>
38	<$>47292</>	<$>47291</>
39	<$>92951</>	<$>47293</>
40	<$>92952</>	<$>47295</>
41	<$>87096</>	<$>92955</>
42	<$>92957</>	<$>92956</>
43	<$>104408</>	<$>92958</>
44	<$>178191</>	<$>178190</>
