Char1	Char10	Char11	Char2	Char3	Char4	Char5	Char6	Char7	Char8	Char9	ClassID	ClassName
Soldier	None	None	Infantry	RescueKnight	Trooper	CadetAdriana	Elisa	GraceSniper	None	None	1	Soldierspirit
Selva	None	None	Dietrich	Eduardo	Garcia	Berroniff	None	None	None	None	2	Crosseddestiny
Grace	SohoFighter	Grace2	Jack	Panfilo	Adelina	MBoma	Sharif	PanfiloBattle	AdelinaPirate	Raven	3	War3years
Gurtrude	None	None	Gracielo	Muathai	Soso	Backho	Sorang	None	None	None	4	Muscleclub
Romina	None	None	Leonele	Natalie	Daria	Ralph	Adriana	ElisaOfficer	jd	None	5	Kntorescue
Tiburon	None	None	Viki	Ludin	Ramiro	Tora	None	None	None	None	6	Juniorclub
Emilia	None	None	EmiliaSage	EmiliaSage2	Nar	Ania	Hellena	EmiliaLunatic	None	None	7	Misunderstnding
Idge	None	None	Brunie	Soho	Lisa	Lorch	Karjalainen	IdgeBattle	Angie	Rio	8	Granado2th
Yeganeh	None	None	Andre	Calyce	Valleria	Veatrice	Sharon	Sherlin	None	None	9	Hiddentruth
CatherineSTR	None	None	CatherineDEX	CatherineINT	CatherineREAL	CatherineTorsche	Ion	Mary	None	None	10	Dreamoftorche
Claude	None	None	Jose	Grandma	Clair	Grandies	Alejandro	Vendetta	None	None	11	Chainofpast
Wizard	None	None	Musketeer	Warlock	Scout	Fighter	Grandies2	None	None	None	12	Settler
Cruz	None	None	Mifuyu	Asoka	Mifuyu_Event	Vincent	Racel	Freeday	Liung	None	13	Wanderer
Kess	None	None	Olivia	Marchetti	Barrel	Kano	Jd	Heyran	None	None	14	Bristia
