ClassID	ClassName	CountCheck	DayCheck	DropMaxRatio	EnterItem	ItemCount	ItemUseCheck	Layer	Limits	MissionLobby	MissionName	Rank	ResetDay
1	mission_rafflesia	Raid_rafflesia_try	Raid_rafflesia	0	Live_Missionenterpoint	10	None	1	TRUE	mcrafflesia	<$>214147</>	1	1
2	mission_dun_alq_boss_v	try_alqboss	today_alqboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcalqbossv	<$>214160</>	1	1
3	mission_dun_jaq_boss_v	try_jaqboss	today_jaqboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcjaqbossv	<$>214154</>	1	1
4	mission_dun_ttr_boss_v	try_ttrboss	today_ttrboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcttrbossv	<$>214153</>	1	1
5	mission_dun_ust_boss	try_Dunustboss	Mission_Dunustboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcdunustboss	<$>214134</>	1	1
101	mission_griffon	Raid_griffon_try	Raid_griffon	0	Live_Missionenterpoint	15	None	1	TRUE	mcgriffon	<$>214150</>	2	1
102	mission_private_jaq_under	private_jaq_under	today_private_jaq_under	0	Live_Missionenterpoint	15	None	1	TRUE	mcprivatejaqunder	<$>214159</>	2	1
103	mission_phobitan_boss	phobitan_boss	today_phobitan_boss	0	Live_Missionenterpoint	15	None	1	TRUE	mcprivatephobitanboss	<$>214136</>	2	1
104	mission_chainrush	try_chainrush	today_chainrush	0	Live_Missionenterpoint	15	None	1	TRUE	mcchainrush	<$>214148</>	2	1
105	mission_PasiarCaptain	private_PasiarCaptain	today_PasiarCaptain	0	Live_Missionenterpoint	15	None	1	TRUE	mcprivatepasiarcaptain	<$>214137</>	2	1
201	mission_uraeus	Raid_uraeus_try	Raid_uraeus	0	Live_Missionenterpoint	20	None	1	TRUE	mcuraeus	<$>214149</>	3	1
202	mission_sharffen	Raid_sharffen_try	Raid_sharffen	0	Live_Missionenterpoint	20	None	1	TRUE	mcsharffen	<$>214146</>	3	1
203	raid_hellvally	Hellgate_try	Hellgate_Today	0	Live_Missionenterpoint	20	None	1	TRUE	mchellvally	<$>214144</>	3	1
204	mission_hellbreaker	try_hellbreaker	today_hellbreaker	0	Live_Missionenterpoint	20	None	1	TRUE	mchellbreaker	<$>214151</>	3	1
205	mission_Nechroshaman	private_Nechroshaman	today_private__Nechroshaman	0	Live_Missionenterpoint	20	None	1	TRUE	mcprivatenechroshaman	<$>214138</>	3	1
301	mission_btl_bah06	Bah_Try	Bah_Day	0	Live_Missionenterpoint	25	None	1	TRUE	mcbah06	<$>214161</>	4	1
302	mission_erc_boss	Mission_Erc_Try	Mission_Erc_Day	0	Live_Missionenterpoint	25	None	1	TRUE	mcercboss	<$>214145</>	4	1
303	mission_dun_sil_boss	Mission_Elec_Try	Mission_Elec_Day	0	Live_Missionenterpoint	25	None	1	TRUE	mcsilboss	<$>214155</>	4	1
304	mission_Chimera	private_Chimera	today_private_Chimera	0	Live_Missionenterpoint	25	None	1	TRUE	mcprivatechimera	<$>214140</>	4	1
305	mission_Reydeavaricia	private_Reydeavaricia	today_private_Reydeavaricia	0	Live_Missionenterpoint	25	None	1	TRUE	mcprivatereydeavaricia	<$>214139</>	4	1
401	mission_private_masu	private_btl_lucifer_count	private_btl_lucifer_day	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatemasu	<$>214162</>	5	1
402	mission_dun_ktv_boss	Mission_Novia_Try	Mission_Novia_Day	0	Live_Missionenterpoint	30	None	1	TRUE	mcdunktvnovia	<$>214156</>	5	1
403	mission_private_diablo	private_fldraid_count1	private_fldraid_day1	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatearmtest	<$>214163</>	5	1
404	mission_private_cortes	private_dun_lucifer_count	private_dun_lucifer_day	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatecortes	<$>214164</>	5	1
405	mission_private_dw	private_dun_lucifer_count	private_dun_lucifer_day	0	Live_Missionenterpoint	30	None	1	TRUE	mcprivatecortes	<$>214165</>	5	1
501	mission_Jormongand	private_Jormongand	today_private_Jormongand	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivatejormongand	<$>214141</>	6	1
502	mission_private_royalroad	private_ileraid_day_count1	private_ileraid_day1	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivateroyal	<$>214166</>	6	1
503	mission_private_arm1	private_arm_count	private_arm_day	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivatearm	<$>214167</>	6	1
504	mission_sekhmet_rank6	Mission_Sekhmet_Try	Mission_Sekhmet_Day	0	Live_Missionenterpoint	35	None	1	TRUE	mcmissionsekhmet	<$>214142</>	6	1
505	mission_private_decarabia	private_fldraid_count2	private_fldraid_day2	0	Live_Missionenterpoint	35	None	1	TRUE	mcprivatedecarabia	<$>214168</>	6	1
