ASTD	ATK	AttachEffectIndex	AttachModelIndex	BLK	BlkSound	BlowSound	Bone	ClassID	ClassName	DEAD	DIE1	DN	DeadEffect	DieSound	DyingTime	Gender	HIT	HitDummy	HitSound	Hits	IDL	IdleSound	Job	Mass	Name	NumSet	OriginalDEADAni	PICK	PreDelay	RUN	RootNode	SET	STD	SelfHitEffect	SkillAni	TargetHitEffect	TopDummy	UP1	VarKDType	WLK
monster_puppetbuffer_astd	monster_puppetbuffer_atk	None	None	None	None	monster_puppetbuffer_blow.ogg	monster_puppetbuffer_set	100	Pet_Buppet	monster_puppetbuffer_dead	None	None	mon_dead01	monster_puppetbuffer_die.ogg	1867	M	monster_puppetbuffer_hit	Bip01 Spine1	monster_puppetbuffer_hit.ogg	1	monster_puppetbuffer_idl	None	1	9	<$>50445</>	1	YES	None	1000	monster_puppetbuffer_wlk	Bip01	monster_puppetbuffer_set	monster_puppetbuffer_std	HIT_Blood_GargolyeM	monster_puppetbuffer	None	Bip01 Head	None	0	monster_puppetbuffer_wlk
monster_grabber_astd	monster_grabber_atk	None	None	None	None	monster_grabber_blow.ogg	monster_grabber_set	200	Pet_Grabber	monster_grabber_dead	None	None	mon_dead01	monster_grabber_die.ogg	1600	M	monster_grabber_hit	Bip01 Head	monster_grabber_hit.ogg	1	monster_grabber_idl	None	1	9	<$>50446</>	2	YES	monster_grabber_skl_gather	1000	monster_grabber_run	Bip01	monster_grabber_set	monster_grabber_std	HIT_Blood_GargolyeM	None	None	Bip01 Head	None	0	monster_grabber_run
monster_pig_astd	monster_pig_atk	None	None	None	None	monster_pig_blow.ogg	monster_pig_set	300	Monster_Pig	monster_pig_dead	None	None	mon_dead01	monster_pig_die.ogg	2800	M	monster_pig_hit	Bip01 Spine1	monster_pig_hit.ogg	1	monster_pig_idl	None	1	9	<$>52593</>	1	YES	monster_pig_pick	1000	monster_pig_run	Bip01	monster_pig_set	monster_pig_astd	HIT_Blood_Hugenoid	monster_pig	None	Bip01 Head	None	0	monster_pig_run
monster_panda_astd	monster_panda_atk	None	None	None	None	monster_panda_blow.ogg	monster_panda_set	400	Monster_Panda	monster_panda_dead	None	None	mon_dead01	monster_panda_die.ogg	2800	M	monster_panda_hit	Bip01 Spine1	monster_panda_hit.ogg	1	monster_panda_idl	None	1	9	<$>52594</>	1	YES	monster_panda_pick	1000	monster_panda_run	Bip01	monster_panda_set	monster_panda_astd	HIT_Blood_Hugenoid	monster_panda	None	Bip01 Head	None	0	monster_panda_run
monster_cat_astd	monster_cat_atk	None	None	None	None	monster_cat_blow.ogg	monster_cat_set	500	Pet_Cat	monster_cat_dead	None	None	mon_dead01	monster_cat_die.ogg	2800	M	monster_cat_hit	Bip01 Spine1	monster_cat_hit.ogg	1	monster_cat_idl	None	1	9	<$>52595</>	1	YES	monster_cat_pick	1000	monster_cat_run	Bip01	monster_cat_set	monster_cat_astd	HIT_Blood_Hugenoid	monster_cat	None	Bip01 Head	None	0	monster_cat_run
monster_deer_astd	monster_deer_atk	None	None	None	None	monster_deer_blow.ogg	monster_deer_set	600	Monster_Deer	monster_deer_dead	None	None	mon_dead01	monster_deer_die.ogg	2800	M	monster_deer_hit	Bip01 Spine1	monster_deer_hit.ogg	1	monster_deer_idl	None	1	9	<$>52596</>	1	YES	monster_deer_pick	1000	monster_deer_run	Bip01	monster_deer_set	monster_deer_astd	HIT_Blood_Hugenoid	monster_deer	None	Bip01 Head	None	0	monster_deer_run
monster_deer_astd	monster_deer_atk	None	None	None	None	monster_deer_blow.ogg	monster_rudolph_set	700	Monster_Rudolph	monster_deer_dead	None	None	mon_dead01	monster_deer_die.ogg	2800	M	monster_deer_hit	Bip01 Spine1	monster_deer_hit.ogg	1	monster_deer_idl	None	1	9	<$>51572</>	1	YES	monster_deer_pick	1000	monster_deer_run	Bip01	monster_rudolph_set	monster_deer_astd	HIT_Blood_Hugenoid	monster_deer	None	Bip01 Head	None	0	monster_deer_run
monster_chick_astd	monster_chick_atk	None	None	None	None	monster_chick_blow.ogg	monster_chick_set	900	Monster_Chick	monster_chick_dead	None	None	mon_dead01	monster_chick_die.ogg	2800	M	monster_chick_hit	Bip01 Head	monster_chick_hit.ogg	1	monster_chick_idl	None	1	9	<$>52597</>	1	YES	monster_chick_pick	1000	monster_chick_run	Bip01	monster_chick_set	monster_chick_astd	HIT_Blood_Hugenoid	monster_chick	None	Bip01 Head	None	0	monster_chick_run
monster_grabber_astd	None	None	None	None	None	monster_grabber_blow.ogg	pet_Santagraber_set	1000	Pet_Santagraber	monster_grabber_dead	None	None	mon_dead01	monster_grabber_die.ogg	2800	M	monster_grabber_hit	Bip01 Head	monster_grabber_hit.ogg	1	monster_grabber_idl	None	1	9	<$>52598</>	1	YES	monster_grabber_skl_gather	1000	monster_grabber_run	Bip01	pet_Santagraber_set	monster_grabber_astd	HIT_Blood_GargolyeM	None	None	Bip01 Head	None	0	monster_grabber_run
monster_tiger_astd	monster_tiger_atk	None	None	None	None	monster_chick_blow.ogg	monster_tiger_set	1100	Pet_Tiger_Y_kor	monster_tiger_dead	None	None	mon_dead01	monster_chick_die.ogg	2800	M	monster_tiger_hit	Bip01 Head	monster_chick_hit.ogg	1	monster_tiger_idl	None	1	9	<$>52599</>	1	YES	monster_tiger_pick	1000	monster_tiger_run	Bip01	monster_tiger_set	monster_tiger_astd	HIT_Blood_Hugenoid	monster_tiger	None	Bip01 Head	None	0	monster_tiger_run
