ClassID	Desc	RallyPoint1x	RallyPoint1y	RallyPoint1z	RallyPoint21z	RallyPoint2x	RallyPoint2y	RallyPoint2z	RallyPoint3x	RallyPoint3y	RallyPoint3z	RallyPoint4x	RallyPoint4y	RallyPoint4z
10001	<$>57883</>	-4479	987	10	0	-199	-3291	150	4	-6737	50	0	0	0
10002	<$>57884</>	-12	2863	10	0	0	-2870	150	4	-6737	50	0	0	0
10003	<$>57885</>	4490	971	10	0	222	-3296	150	4	-6737	50	0	0	0
10101	<$>57886</>	-500	4000	0	0	900	3100	0	700	4100	200	0	0	0
10102	<$>57887</>	500	1000	0	0	-900	200	0	-700	1100	200	0	0	0
10103	<$>57888</>	-500	-2000	0	0	900	-2800	0	700	-1900	200	0	0	0
10104	<$>57889</>	700	4100	200	0	100	-6400	200	100	-6400	200	0	0	0
10105	<$>57890</>	-700	1100	200	0	-100	-6400	200	-100	-6400	200	0	0	0
10106	<$>57891</>	700	-1900	200	0	100	-6400	200	100	-6400	200	0	0	0
10107	<$>57892</>	-500	4000	0	0	900	3100	0	700	4100	200	0	0	0
10108	<$>57893</>	-300	3200	0	0	300	3000	0	900	3100	0	0	0	0
10109	<$>57894</>	500	1000	0	0	-900	200	0	-700	1100	200	0	0	0
10110	<$>57895</>	300	200	0	0	-300	0	0	-900	100	0	0	0	0
10111	<$>57896</>	-500	-2000	0	0	900	-2800	0	700	-1900	200	0	0	0
10112	<$>57897</>	-300	-2800	0	0	300	-3000	0	900	-2900	0	0	0	0
10113	<$>57898</>	500	4000	200	0	-500	1000	200	500	-2000	200	0	-6200	200
10201	<$>57899</>	-1800	-5000	-60	0	0	-2000	-60	0	-200	-300	0	0	0
10202	<$>57900</>	1800	5000	-60	0	0	2000	-60	0	200	-300	0	0	0
10203	<$>57901</>	-1800	-5000	-60	0	0	-2000	-60	0	-200	-300	0	0	0
10204	<$>57902</>	1800	5000	-60	0	0	2000	-60	0	200	-300	0	0	0
10205	<$>57903</>	1800	-2000	-60	0	900	-2000	-60	0	-2000	-60	0	0	0
10206	<$>57904</>	-1800	2000	-60	0	-900	2000	-60	0	2000	-60	0	0	0
10207	<$>57904</>	-1800	-3500	180	0	-1800	-5000	-60	-1800	-3500	180	0	0	0
10208	<$>57904</>	1800	3500	180	0	1800	5000	-60	1800	3500	180	0	0	0
10301	<$>57905</>	0	720	250	0	0	720	250	0	720	250	0	0	0
10302	<$>57906</>	0	-720	250	0	0	-720	250	0	-720	250	0	0	0
10303	<$>57907</>	0	720	250	0	0	720	250	0	720	250	0	0	0
10304	<$>57908</>	0	720	250	0	0	720	250	0	720	250	0	0	0
10305	<$>57909</>	-700	0	250	0	-700	0	250	-700	0	250	0	0	0
10306	<$>57910</>	700	0	250	0	700	0	250	700	0	250	0	0	0
10307	<$>57911</>	0	0	255	0	0	0	0	0	0	0	0	0	0
10401	<$>57912</>	-1770	1212	702	0	-3106	5610	1285	0	3000	1164	0	0	0
10402	<$>57913</>	1954	1365	702	0	2986	5559	1285	0	3000	1164	0	0	0
10403	<$>57914</>	-3106	5610	1285	0	-1770	1212	702	-381	-4444	0	0	0	0
