Arbitrary	ClassID	ClassName	GroupName	ItemID	ItemName	ItemTab	LimitCount	LimitDay	hot_item
1	59995	SHOP_MERCENARY_SHOP_TEST_59995	MERCENARY_SHOP_TEST	21828	MercenaryPermission_test	0	0	0	0
1	59993	SHOP_MERCENARY_SHOP_59993	MERCENARY_SHOP	21822	MercenaryPermission	0	0	0	0
1	61001	SHOP_ENCHANTCHIP_SHOP_61001	ENCHANTCHIP_SHOP	21907	CouponLv_1	0	0	0	0
80	61002	SHOP_ENCHANTCHIP_SHOP_61002	ENCHANTCHIP_SHOP	21920	CouponLv_20	0	0	0	0
84	61003	SHOP_ENCHANTCHIP_SHOP_61003	ENCHANTCHIP_SHOP	21921	CouponLv_21	0	0	0	0
1	61004	SHOP_ENCHANTCHIP_SHOP_61004	ENCHANTCHIP_SHOP	210201	Redmercury_30_W100	0	0	0	0
1	61005	SHOP_ENCHANTCHIP_SHOP_61005	ENCHANTCHIP_SHOP	210202	Redmercury_31_W100	0	0	0	0
1	61006	SHOP_ENCHANTCHIP_SHOP_61006	ENCHANTCHIP_SHOP	210203	Redmercury_32_W100	0	0	0	0
1	61007	SHOP_ENCHANTCHIP_SHOP_61007	ENCHANTCHIP_SHOP	210204	Redmercury_33_W100	0	0	0	0
1	61008	SHOP_ENCHANTCHIP_SHOP_61008	ENCHANTCHIP_SHOP	210251	Redmercury_27_A100	0	0	0	0
1	61009	SHOP_ENCHANTCHIP_SHOP_61009	ENCHANTCHIP_SHOP	210252	Redmercury_28_A100	0	0	0	0
1	61010	SHOP_ENCHANTCHIP_SHOP_61010	ENCHANTCHIP_SHOP	210253	Redmercury_29_A100	0	0	0	0
1	61011	SHOP_ENCHANTCHIP_SHOP_61011	ENCHANTCHIP_SHOP	210254	Redmercury_30_A100	0	0	0	0
1	61012	SHOP_ENCHANTCHIP_SHOP_61012	ENCHANTCHIP_SHOP	210255	Redmercury_32_A100	0	0	0	0
1	61500	SHOP_BATTLE_SHOP_61500	BATTLE_SHOP	23262	Battleflag	0	0	0	0
1	61501	SHOP_BATTLE_SHOP_61501	BATTLE_SHOP	23261	Scaninvisible	0	0	0	0
1	61503	SHOP_BATTLE_SHOP_61503	BATTLE_SHOP	189054	Clique_HealingPotion	0	0	0	0
1	61504	SHOP_BATTLE_SHOP_61504	BATTLE_SHOP	189051	ShinyIorn	0	0	0	0
1	61505	SHOP_BATTLE_SHOP_61505	BATTLE_SHOP	189057	CliquePoison	0	0	0	0
1	61506	SHOP_BATTLE_SHOP_61506	BATTLE_SHOP	189058	Clique_Gunpowder2	0	0	0	0
1	61507	SHOP_BATTLE_SHOP_61507	BATTLE_SHOP	189059	Clique_Supply	0	0	0	0
1	61508	SHOP_BATTLE_SHOP_61508	BATTLE_SHOP	23210	IntensifiedHF3	0	0	0	0
1	61509	SHOP_BATTLE_SHOP_61509	BATTLE_SHOP	23121	IntensifiedSF	0	0	0	0
1	61510	SHOP_BATTLE_SHOP_61510	BATTLE_SHOP	23218	Potion_HPUP5000	0	0	0	0
1	61511	SHOP_BATTLE_SHOP_61511	BATTLE_SHOP	23222	Potion_SPUP500	0	0	0	0
1	61512	SHOP_BATTLE_SHOP_61512	BATTLE_SHOP	20003	Mitridart	0	0	0	0
1	61517	SHOP_BATTLE_SHOP_61517	BATTLE_SHOP	21100	RessurrectivePotion	0	0	0	0
1	61518	SHOP_BATTLE_SHOP_61518	BATTLE_SHOP	21113	ToolsetBox	0	0	0	0
1	61519	SHOP_BATTLE_SHOP_61519	BATTLE_SHOP	21114	MagicalOrb	0	0	0	0
1	61520	SHOP_BATTLE_SHOP_61520	BATTLE_SHOP	21115	ElementalOrb	0	0	0	0
1	61521	SHOP_BATTLE_SHOP_61521	BATTLE_SHOP	21613	FireStone	0	0	0	0
1	61522	SHOP_BATTLE_SHOP_61522	BATTLE_SHOP	21614	IceStone	0	0	0	0
1	61523	SHOP_BATTLE_SHOP_61523	BATTLE_SHOP	21615	WindStone	0	0	0	0
1	58121	SHOP_FESO_ITEMSHOP_58121	FESO_ITEMSHOP	88076	ReinProtect_5_5	5	0	0	0
1	58120	SHOP_FESO_ITEMSHOP_58120	FESO_ITEMSHOP	88077	ReinProtect_5_6	5	0	0	0
1	58117	SHOP_FESO_ITEMSHOP_58117	FESO_ITEMSHOP	23531	Meele_Ampul_1m	3	0	0	0
1	58118	SHOP_FESO_ITEMSHOP_58118	FESO_ITEMSHOP	23532	Shooting_Ampul_1m	3	0	0	0
1	58119	SHOP_FESO_ITEMSHOP_58119	FESO_ITEMSHOP	23533	Magic_Ampul_1m	3	0	0	0
1	58116	SHOP_FESO_ITEMSHOP_58116	FESO_ITEMSHOP	28008	SteelBoltbox_1day	4	0	0	0
1	58115	SHOP_FESO_ITEMSHOP_58115	FESO_ITEMSHOP	211002	Redmercury_10	5	0	0	0
1	58106	SHOP_FESO_ITEMSHOP_58106	FESO_ITEMSHOP	210010	Redmercury_34_W	5	0	0	0
1	58107	SHOP_FESO_ITEMSHOP_58107	FESO_ITEMSHOP	210012	Redmercury_35_W	5	0	0	0
1	58108	SHOP_FESO_ITEMSHOP_58108	FESO_ITEMSHOP	210014	Redmercury_36_W	5	0	0	0
1	58109	SHOP_FESO_ITEMSHOP_58109	FESO_ITEMSHOP	210114	Redmercury_33_A	5	0	0	0
1	58110	SHOP_FESO_ITEMSHOP_58110	FESO_ITEMSHOP	210116	Redmercury_35_A	5	0	0	0
1	58111	SHOP_FESO_ITEMSHOP_58111	FESO_ITEMSHOP	210118	Redmercury_34_A	5	0	0	0
1	58112	SHOP_FESO_ITEMSHOP_58112	FESO_ITEMSHOP	189259	allWarp_Thirty_30days	0	0	0	0
1	58113	SHOP_FESO_ITEMSHOP_58113	FESO_ITEMSHOP	189291	QuestWarp_15Day	0	0	0	0
1	58114	SHOP_FESO_ITEMSHOP_58114	FESO_ITEMSHOP	189293	QuestWarp_30Day	0	0	0	0
1	58098	SHOP_FESO_ITEMSHOP_58098	FESO_ITEMSHOP	88099	SocketProtect	5	0	0	0
1	58097	SHOP_FESO_ITEMSHOP_58097	FESO_ITEMSHOP	88259	HomePremium_Expert	0	0	0	0
1	58096	SHOP_FESO_ITEMSHOP_58096	FESO_ITEMSHOP	20641	SoulCrystal_Enhandce	2	0	0	0
1	58092	SHOP_FESO_ITEMSHOP_58092	FESO_ITEMSHOP	88398	BSTGuild	0	0	0	0
1	57994	SHOP_FESO_ITEMSHOP_57994	FESO_ITEMSHOP	189339	AncientEncerrar_key_7	0	0	0	0
1	57995	SHOP_FESO_ITEMSHOP_57995	FESO_ITEMSHOP	24106	TearsofSara	1	0	0	0
1	58063	SHOP_FESO_ITEMSHOP_58063	FESO_ITEMSHOP	88061	ReinProtect_2_5	5	0	0	0
1	58065	SHOP_FESO_ITEMSHOP_58065	FESO_ITEMSHOP	88066	ReinProtect_3_5	5	0	0	0
1	58064	SHOP_FESO_ITEMSHOP_58064	FESO_ITEMSHOP	88062	ReinProtect_2_6	5	0	0	0
1	58066	SHOP_FESO_ITEMSHOP_58066	FESO_ITEMSHOP	88067	ReinProtect_3_6	5	0	0	0
1	58090	SHOP_FESO_ITEMSHOP_58090	FESO_ITEMSHOP	88071	ReinProtect_4_5	5	0	0	0
1	58091	SHOP_FESO_ITEMSHOP_58091	FESO_ITEMSHOP	88072	ReinProtect_4_6	5	0	0	0
1	58084	SHOP_FESO_ITEMSHOP_58084	FESO_ITEMSHOP	20542	Steroid1	2	0	0	0
1	58074	SHOP_FESO_ITEMSHOP_58074	FESO_ITEMSHOP	20601	AndreBox_BackCostume	3	0	0	0
1	58060	SHOP_FESO_ITEMSHOP_58060	FESO_ITEMSHOP	21007	BarrackSlot	1	0	0	0
1	58059	SHOP_FESO_ITEMSHOP_58059	FESO_ITEMSHOP	88018	sthhma	5	0	0	0
1	58037	SHOP_FESO_ITEMSHOP_58037	FESO_ITEMSHOP	21046	RecallFrScroll	1	0	0	0
1	58002	SHOP_FESO_ITEMSHOP_58002	FESO_ITEMSHOP	75330	GrowthStone	1	0	0	0
1	57998	SHOP_FESO_ITEMSHOP_57998	FESO_ITEMSHOP	88295	WareSlot_300_30day	0	0	0	0
1	57999	SHOP_FESO_ITEMSHOP_57999	FESO_ITEMSHOP	88296	WareSlot_300_60day	0	0	0	0
1	58000	SHOP_FESO_ITEMSHOP_58000	FESO_ITEMSHOP	88297	WareSlot_300_90day	0	0	0	0
1	58093	SHOP_FESO_ITEMSHOP_58093	FESO_ITEMSHOP	88441	WareSlot_400_30day	0	0	0	0
