Blink1	Blink2	Blink3	ClassID	ClassName	Color1	Color2	Color3	Control1	Control2	Control3	Desc	Duration1	Duration2	Duration3	Frame1	Frame2	Frame3	HelpName	HelpUIImg	HelpUIName	HelpUIPicture	Interval1	Interval2	Interval3	Leader1	Leader2	Leader3	Notice	Sound	Title
0	0	0	1	TUTO_MAP1_1	None	None	None	None	None	None	<$>119521</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	sys_tuto_tip.ogg	<$>119520</>
0	0	0	2	TUTO_MAP1_2	None	None	None	None	None	None	<$>119522</>	0	0	0	None	None	None	<$>63667</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63666</>
0	0	0	3	TUTO_MAP1_3	None	None	None	None	None	None	<$>119523</>	0	0	0	None	None	None	<$>63670</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63669</>
0	0	0	4	TUTO_MAP1_4	None	None	None	None	None	None	<$>119525</>	0	0	0	None	None	None	<$>119524</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63672</>
3	0	0	5	TUTO_MAP1_5	7DCA67CA	None	None	HELP	None	None	<$>119526</>	0.5	0	0	minimap	None	None	None	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	sys_tuto_tip.ogg	<$>63675</>
0	0	0	6	TUTO_MAP1_6	None	None	None	None	None	None	<$>119527</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	sys_tuto_tip.ogg	<$>119527</>
0	0	0	7	TUTO_MAP1_7	None	None	None	None	None	None	<$>119528</>	0	0	0	None	None	None	<$>63680</>	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	None	<$>63679</>
0	0	0	8	TUTO_MAP1_8	None	None	None	None	None	None	<$>119529</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	<$>63663</>	sys_tuto_tip.ogg	<$>63682</>
3	0	0	9	TUTO_MAP1_9	7DCA67CA	None	None	WorldMap	None	None	<$>119530</>	0.5	0	0	uicommand	None	None	<$>63684</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63684</>
0	0	0	10	TUTO_DUN1_1	None	None	None	None	None	None	<$>63686</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	sys_tuto_tip.ogg	None
0	0	0	11	TUTO_DUN1_2	None	None	None	None	None	None	<$>63687</>	0	0	0	None	None	None	None	None	None	None	0	0	0	TRUE	TRUE	TRUE	None	None	None
0	0	0	12	TUTO_DUN1_3	None	None	None	None	None	None	<$>128028</>	0	0	0	None	None	None	<$>63688</>	None	None	None	0	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63688</>
3	0	0	13	TUTO_DUN1_4	7DCA67CA	None	None	Inventory	None	None	<$>63690</>	0.5	0	0	uicommand	None	None	<$>10791</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>10791</>
3	0	0	14	TUTO_DUN1_7	7DCA67CA	None	None	Inventory	None	None	<$>63692</>	0.5	0	0	uicommand	None	None	<$>63691</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63691</>
3	0	0	15	TUTO_DUN1_8	7DCA67CA	None	None	Inventory	None	None	<$>105289</>	0.5	0	0	uicommand	None	None	<$>63693</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63693</>
3	0	0	16	TUTO_DUN1_9	7DCA67CA	None	None	Quest	None	None	<$>63697</>	0.5	0	0	uicommand	None	None	<$>63696</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63695</>
3	0	0	17	TUTO_DUN1_10	7DCA67CA	None	None	WorldMap	None	None	<$>63699</>	0.5	0	0	uicommand	None	None	None	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	sys_tuto_tip.ogg	<$>63698</>
3	0	0	18	TUTO_DUN1_11	7DCA67CA	None	None	WorldMap	None	None	<$>119531</>	0.5	0	0	uicommand	None	None	<$>63700</>	None	None	None	0.5	0	0	FALSE	TRUE	TRUE	<$>63663</>	None	<$>63700</>
