ClassID	ClassName	PointName1	PointName2	PointName3	PointName4	TownPoint1	TownPoint2	TownPoint3	TownPoint4
1	reb_basic	<$>10814</>	<$>10813</>	<$>212779</>	<$>63810</>	P 4110 -130 304	P -5834 1313 52	P -2304 11475 -475	P -4783 -17169 -233
2	coim_basic	<$>11366</>	<$>53743</>	<$>227</>	<$>61</>	P 2209 16830 -1088	P 6865 10871 -1088	P 216 8511 871	P -8314 4366 367
3	auch_basic	<$>63811</>	<$>54487</>	<$>56</>	<$>24724</>	P -9056 4111 1379	P 955 3930 1343	P -955 -3977 1189	P 2825 -11676 1476
4	viron_basic	<$>142212</>	<$>24734</>	<$>24733</>	<$>63813</>	P -40 -1069 255	P 10067 -3313 819	P -2608 -16992 -3473	P -12876 -4288 151
5	bah_basic	<$>63814</>	<$>63815</>	<$>63816</>	<$>63817</>	P 2550 13062 144	P -924 3200 119	P -2224 7968 133	P 6750 -17856 151
6	ust_basic	<$>63818</>	<$>63819</>	<$>63820</>	<$>142213</>	P -2217 -5723 -5853	P 1782 13850 -5737	P 15289 14272 -5853	P -231 8519 -6314
7	cas_basic	<$>51</>	<$>63822</>	<$>63823</>	<$>142214</>	P -2430 -5933 131	P 3381 -5896 198	P 1372 -2545 142	P 2093 5009 1483
8	gig_basic	<$>51</>	<$>63825</>	<$>47529</>	<$>11414</>	P -960 -19813 437	P 5367 -9903 1292	P 321 -5258 1963	P -1166 -14061 1292
9	bst_basic	<$>88216</>	<$>83455</>	<$>85953</>	<$>87121</>	P 13602 -1625 1081	P -8062 -15052 617	P -18188 -8174 2339	P -171 6713 1804
10	wcc_basic	<$>63811</>	<$>54487</>	<$>56</>	<$>24724</>	P -9056 4111 1379	P 6906 2710 1858	P -955 -3977 1189	P 2825 -11676 1476
11	arm_basic	<$>110808</>	<$>112304</>	<$>112305</>	<$>112306</>	P 25 1535 271	P 2619 -4567 -408	P 12 -12285 11	P 8690 9183 -14
12	erc_basic	<$>142215</>	<$>142216</>	<$>142217</>	<$>142218</>	P 2560 -4658 -2	P 531 98 -3	P -4856 -2484 11	P 5172 -196 -10
13	bedel_basic	<$>167330</>	<$>167331</>	<$>167332</>	<$>167333</>	P 3513 17794 268	P -2389 5678 229	P -12708 17108 579	P 27 -8525 238
14	ile_basic	<$>195313</>	<$>195314</>	<$>63823</>	<$>195315</>	P 8 13924 877	P 7983 -269 -36	P -2635 -2146 -32	P -22 -12513 -14
15	alt_basic	<$>212780</>	<$>212781</>	<$>212782</>	<$>212783</>	P -1310 7109 400	P 7698 421 1200	P -1310 -847 399	P 2435 -6357 399
