ClassID	ClassName	Type	Value
1	BLUE_Win	CliqueWar	0
2	YELLOW_Win	CliqueWar	0
3	LastWinner	CliqueWarResult	0
4	BLUE_KillCnt_No1	CliqueWar	0
5	YELLOW_KillCnt_No1	CliqueWar	0
6	GAME_END	CliqueWar	0
7	ResultTime	CliqueWarResult	0
8	NS_Start_CliqueWar	CliqueWar	0
9	NS_BLUEPT	CliqueWar	0
10	NS_YELLOWPT	CliqueWar	0
11	NS_BLUE_KillCnt	CliqueWar	0
12	NS_YELLOW_KillCnt	CliqueWar	0
13	NS_REBBLUETRP	CliqueWar	0
14	NS_REBYELLOWTRP	CliqueWar	0
15	NS_COIMBLUETRP	CliqueWar	0
16	NS_COIMYELLOWTRP	CliqueWar	0
17	NS_AUCHBLUETRP	CliqueWar	0
18	NS_AUCHYELLOWTRP	CliqueWar	0
19	NS_REB1	CliqueWar	0
20	NS_REB2	CliqueWar	0
21	NS_REB3	CliqueWar	0
22	NS_REB4	CliqueWar	0
23	NS_REB5	CliqueWar	0
24	NS_REB6	CliqueWar	0
25	NS_AUCH1	CliqueWar	0
26	NS_AUCH2	CliqueWar	0
27	NS_AUCH3	CliqueWar	0
28	NS_AUCH4	CliqueWar	0
29	NS_AUCH5	CliqueWar	0
30	NS_AUCH6	CliqueWar	0
31	NS_REB_MINERAL	CliqueWar	0
32	NS_AUCH_MINERAL	CliqueWar	0
33	NS_REB_POISON	CliqueWar	0
34	NS_AUCH_POISON	CliqueWar	0
35	NS_AUCH_ALLJOIN	CliqueWar	0
36	NS_REB_ALLJOIN	CliqueWar	0
37	NS_SIMON_STATE	CliqueWar	0
38	NS_SIMON_STATEMAX	CliqueWar	0
39	NS_GABRIELA_STATE	CliqueWar	0
40	NS_GABRIELA_STATEMAX	CliqueWar	0
41	END_KEY	CliqueWar	0
42	CASRELIC	CasRelic	0
43	SPHINX	CasRelic	0
44	MINOTAUROS	CasRelic	0
45	MEDUSA	CasRelic	0
46	FACTIOUS	FACTIOUS	0
47	ResultCheck	CliqueWar	0
50	UseCliqueWar	ServerConfig	0
51	UsePartyDeclare	ServerConfig	0
52	UseCliqueWarLog	ServerConfig	0
53	TraningYardLock	ServerConfig	0
54	TraningYardDay	ServerConfig	0
55	Renolde_FirstKillDate	ServerConfig	0
56	Server_Vote_Yes	ServerConfig	0
57	Server_Vote_No	ServerConfig	0
58	ComebackGroupChatID	ServerConfig	0
59	Arm_Event_Area	ArmEvent	0
60	Arm_Event_Time	ArmEvent	0
61	Zeppelin_Day	ArmZeppelin	0
62	Arm_Event_Day	ArmEvent	0
63	CliqueBoss	CliqueWar	0
64	NewWorldTriss	Event	0
65	EventActive1	Event	0
66	EventActive2	Event	0
67	EventActive3	Event	0
68	EventActive4	Event	0
69	Reb_Event1	Reb_Event	0
70	Reb_Event2	Reb_Event	0
71	NS_Playing_CliqueWar	CliqueWarResult	0
72	Reb_Event_THI	Reb_Event	0
73	Reb_Event_Ile_1	Reb_Event	10000
74	Reb_Event_Ile_2	Reb_Event	10000
75	Reb_Event_Ile_3	Reb_Event	10000
76	Reb_Event_Ile_4	Reb_Event	10000
78	CasIle_Raid_Week	CasIle_Raid	0
79	CasIle_Raid_Phase	CasIle_Raid	0
80	CasIle_Raid_Boss_relay1	CasIle_Raid	0
81	CasIle_Raid_Boss_relay2	CasIle_Raid	0
82	CasIle_Raid2_Week	CasIle_Raid	0
83	CasIle_Raid2_Phase	CasIle_Raid	0
84	CasIle_Raid2_Boss_relay	CasIle_Raid	0
85	Alt_Raid_Ogjeff	Alt_Raid	0
86	Alt_Raid_Queenietula	Alt_Raid	0
