ClassID	Division	PosX	PosY	PosZ
41	2	1085	40133	0
42	2	0	40088	0
43	2	970	39040	0
44	2	268	39014	0
45	2	965	38084	0
46	2	124	38055	0
47	2	1054	37069	0
48	2	259	37076	0
49	2	1127	36091	0
50	2	231	36041	0
51	2	1129	34962	0
52	2	175	34951	0
53	2	686	32663	0
54	2	1469	32245	0
55	2	739	31814	0
56	2	2070	31613	0
57	2	1477	30940	0
58	2	2148	30527	0
59	2	-185	32091	0
60	2	-940	31353	0
61	2	-985	30205	0
62	2	-215	30591	0
63	2	1636	29700	0
64	2	780	29727	0
65	2	-132	29620	0
66	2	971	28871	0
67	2	128	28822	0
68	2	641	27943	0
69	2	-576	28004	0
70	2	-296	27197	0
71	2	-994	27165	0
72	2	-979	26220	0
73	2	1749	27968	0
74	2	1438	27111	0
75	2	2126	27149	0
76	2	2076	26210	0
77	2	1348	26246	0
78	2	-322	26181	0
79	2	1431	25425	0
80	2	597	25429	0
81	2	-182	25409	0
82	2	1132	24563	0
83	2	109	24525	0
84	2	15	23710	0
85	2	-972	23673	0
86	2	1221	23672	0
87	2	2075	23634	0
88	2	2164	22771	0
89	2	1540	22749	0
90	2	-258	22772	0
91	2	-946	22782	0
92	2	1702	21927	0
93	2	537	21900	0
94	2	-558	21868	0
95	2	1111	21079	0
96	2	107	21035	0
97	2	463	18133	0
98	2	1015	17507	0
99	2	935	16528	0
100	2	3	17451	0
101	2	124	16309	0
102	2	-935	17117	0
103	2	-1906	17694	0
104	2	-1944	16554	0
105	2	-2944	16584	0
106	2	-2922	17683	0
107	2	-3812	17108	0
108	2	-4846	17659	0
109	2	-4844	16539	0
110	2	-5814	16640	0
111	2	-5904	17624	0
112	2	-7142	17117	0
113	2	-8031	16447	0
114	2	-8061	17677	0
115	2	-9168	16516	0
116	2	-9105	17806	0
117	2	-9989	17061	0
118	2	-10893	16619	0
119	2	-10802	17578	0
120	2	-11919	17603	0
121	2	-11960	16677	0
122	2	-11390	15691	0
123	2	-10842	14635	0
124	2	-11889	14660	0
125	2	-10856	13485	0
126	2	-11986	13456	0
127	1	-11392	12514	0
128	1	-10837	11506	0
129	1	-11884	11534	0
130	1	-10938	10522	0
131	1	-11991	10532	0
132	1	-10755	9482	0
133	1	-11957	9460	0
143	1	-13548	2452	0
144	1	-13781	3612	-91
145	1	-13948	4696	0
146	1	-14004	5649	0
147	1	-13565	6898	-9
148	1	-12838	6896	0
149	1	-12652	5815	-315
150	1	-12645	4743	-315
151	1	-12650	3562	-315
152	1	-12448	2399	0
153	1	-11567	3546	-315
154	1	-11568	4699	-315
155	1	-11647	5654	-315
156	1	-11329	6766	0
157	1	-10598	5683	-315
158	1	-10619	4597	-315
159	1	-10486	3419	-315
160	1	-10086	2533	0
161	0	-9087	2566	0
162	0	-9543	3636	-315
163	0	-9591	4717	-315
164	0	-9626	5768	-315
165	0	-10188	6560	-33
166	0	-9238	6733	0
167	1	-8780	3650	0
168	1	-8752	4703	0
169	1	-8817	5693	-3
170	1	-7805	3652	0
171	1	-7809	4658	0
172	1	-7823	5648	0
186	0	15123	-28713	0
187	0	14602	-29536	0
188	0	14527	-31348	0
189	0	20797	-28748	0
190	0	21509	-29466	0
191	0	21544	-31540	0
192	0	21546	-33210	0
193	0	21504	-35053	0
194	0	20847	-35692	0
195	0	18936	-35764	0
196	0	16894	-35698	0
197	0	15210	-35750	0
198	0	14537	-35025	0
199	0	14556	-33185	0
200	0	19468	-34461	-514
201	0	20310	-34421	-501
202	0	20304	-33511	-502
203	0	17712	-33644	-627
204	0	18544	-33625	-629
205	0	15989	-33562	-534
206	0	15954	-34422	-519
207	0	16775	-34488	-510
208	0	16548	-32710	-611
209	0	16535	-31515	-609
210	0	19570	-32686	-603
211	0	19546	-31638	-606
212	0	17587	-30788	-610
213	0	18419	-30782	-609
214	0	19299	-30012	-503
215	0	20361	-30946	-494
216	0	20135	-30036	-506
217	0	16714	-29911	-489
218	0	15743	-31057	-500
219	0	15739	-30020	-499
220	0	17547	-26081	0
221	0	18511	-26005	0
222	0	17539	-25075	0
223	0	18520	-25088	0
224	0	17587	-24078	0
225	0	18386	-24075	0
226	0	17377	-23081	0
227	0	18385	-22983	0
228	1	17307	-22007	0
229	1	18546	-21973	0
230	1	17669	-21020	0
231	1	18676	-21100	0
232	1	17389	-20156	0
233	1	18620	-20155	0
234	1	-4180	5534	0
235	1	-4181	4659	0
236	1	-4135	3758	0
237	1	-3313	3620	0
238	1	-3342	4636	0
239	1	-3327	5592	0
240	1	-2471	5873	0
241	1	-2484	4656	0
242	1	-2433	3600	0
243	1	-1766	5168	0
244	1	-1737	4195	0
245	1	2172	6193	0
246	1	1219	6312	0
247	1	1764	5484	0
248	1	468	5984	0
249	1	759	5411	0
250	1	-241	5160	0
251	1	376	4680	0
252	1	-201	4179	0
253	1	986	3914	0
254	1	500	3529	0
255	1	1288	3117	0
256	1	2212	3087	0
257	1	1896	3835	0
258	1	2666	5500	0
259	1	2728	3717	0
260	1	2653	4634	0
261	1	3433	5105	0
262	1	3520	4205	0
263	1	4304	4798	0
264	1	4289	3894	0
265	1	4374	5627	0
266	1	5105	5525	0
267	1	5311	6209	0
268	1	6228	6204	0
269	1	6025	5450	0
270	1	5064	3841	0
271	1	5111	3089	0
272	1	6107	3034	0
273	1	5924	3783	0
274	1	6814	5418	0
275	1	6851	3705	0
276	1	6897	4499	0
277	1	7692	5018	0
278	1	7730	4040	0
279	1	8562	4632	0
280	1	8624	5477	0
281	1	8933	6190	0
282	1	9627	5575	0
283	1	10065	6229	0
284	1	8566	3799	0
285	1	9121	3070	0
286	1	9559	3770	0
287	1	10245	3086	0
288	1	10558	5486	0
289	1	10547	3778	0
290	1	10543	4643	0
291	1	11299	5216	0
292	1	11394	4089	0
293	1	13317	4674	0
294	1	14074	5149	0
295	1	14206	4251	0
296	1	14993	4537	0
297	1	15150	5443	0
298	1	15939	5051	0
299	1	15829	4195	0
300	1	16851	4320	0
301	1	16772	5303	0
302	1	18434	5082	0
303	1	17781	5018	0
304	1	17727	4171	0
305	1	18616	4840	0
306	1	18656	4019	0
307	1	19401	5343	0
308	1	19348	4670	0
309	1	20247	5345	0
310	1	20197	4624	0
311	1	20950	4816	0
312	1	21074	3910	0
313	1	20398	3868	0
314	1	19678	3892	0
315	1	20669	3026	0
316	1	19728	3013	0
317	1	21104	2177	0
318	1	20375	2162	0
319	1	19695	2151	0
320	1	21068	1298	0
321	1	20390	1222	0
322	1	19647	1202	0
323	1	21067	416	0
324	1	20317	339	0
325	1	19564	343	0
326	1	20734	-413	0
327	1	19945	-426	0
328	1	21100	-1293	0
329	1	20363	-1271	0
330	1	19568	-1316	0
331	1	21123	-2205	0
332	1	20350	-2166	0
333	1	19568	-2215	0
334	1	21123	-3005	0
335	1	20353	-2980	0
336	1	19683	-3012	0
337	1	20999	-3865	0
338	1	20326	-3870	0
339	1	19646	-3900	0
340	1	21102	-4722	0
341	1	20412	-4778	0
342	1	19737	-4793	0
343	1	21092	-5573	0
344	1	20501	-5602	0
345	1	19711	-5656	0
346	1	20741	-6453	0
347	1	19959	-6427	0
348	1	20754	-7285	0
349	1	20412	-7321	0
350	1	19773	-7291	0
351	1	20763	-8089	0
352	1	19705	-8009	0
353	1	18965	-7716	0
354	1	18995	-6910	0
355	0	18086	-8049	0
356	0	18004	-7339	0
357	0	17971	-6609	0
358	0	17120	-8085	0
359	0	17087	-7343	0
360	0	17014	-6591	0
361	0	16240	-8069	0
362	0	16203	-7335	0
363	0	16190	-6668	0
364	0	14113	-14219	0
365	0	15094	-14194	0
366	0	13607	-13346	0
367	0	14353	-13375	0
368	0	15121	-13332	0
369	0	13592	-12367	0
370	0	14365	-12428	0
371	0	15166	-12433	0
372	0	14004	-11592	0
373	0	14857	-11593	0
