ClassID	Division	PosX	PosY	PosZ
1	0	-3	-6996	1310
2	0	2023	-7287	1074
3	0	-1963	-7338	997
4	0	-2139	-6222	999
5	0	-3162	-6205	1001
6	0	-16	-5640	984
7	0	3377	-7310	1074
8	0	2644	-5670	903
9	0	3747	-4348	903
10	0	2543	-3204	903
11	0	2578	-4411	903
12	0	1038	-4075	544
13	0	1028	-2495	544
14	0	-1064	-2681	544
15	0	-1020	-4136	544
16	0	-2235	-4544	903
17	0	-3341	-4453	915
18	0	-3461	-2746	915
19	0	-2174	-2646	915
20	0	-2677	-1127	1043
21	0	-2568	60	1043
22	0	-798	551	986
23	0	787	-550	988
24	0	857	395	984
25	0	2451	-1935	1022
26	0	2654	-670	1022
27	0	2711	636	1022
28	0	4354	-976	1022
29	0	4441	656	1022
30	0	5230	-3121	903
31	0	6650	-1603	903
32	0	1891	1930	1022
33	0	0	1271	984
34	0	1014	4247	188
35	0	1062	5391	188
36	0	-1032	4233	188
37	0	-1103	5557	188
38	0	2527	7158	530
39	0	2126	6325	533
40	0	3264	6317	533
41	0	2132	4883	524
42	0	3318	4810	531
43	0	2077	3555	527
44	0	4752	3505	511
45	0	-2206	7126	533
46	0	-2130	5243	532
47	0	-3515	5649	606
48	0	-3915	6917	535
49	0	-5056	6215	491
50	0	-6487	5744	491
51	0	-5386	3943	1043
52	0	-5340	2291	1043
53	0	-7097	2037	929
54	0	-7703	837	929
55	0	-5101	365	1043
56	0	-4045	-740	1043
57	0	-24	2412	658
58	0	-3954	4046	1043
59	0	4058	-2419	1023
60	0	3730	1654	1022
