ClassID	Division	PosX	PosY	PosZ
1	0	-3977	4394	1182
2	0	-2245	1544	100
3	0	-2287	666	588
4	0	-2376	-209	588
5	0	-2362	-1881	588
6	0	-2158	-2821	588
7	0	-2130	-3820	904
8	0	-2673	-3783	795
9	0	-3389	-1795	554
10	0	-4870	-1613	539
11	0	-4794	-276	571
12	0	-4274	-992	550
13	0	-3302	-666	566
14	0	-3896	-116	588
15	0	-3396	519	589
16	0	-4371	431	652
17	0	-4019	1163	717
18	0	-3184	1397	678
19	0	-3776	1923	802
20	0	-4533	2033	873
21	0	-5303	4548	1094
22	0	-4797	3888	1092
23	0	-3947	3519	1081
24	0	-3931	2687	950
25	0	-3162	2287	865
26	0	-3152	2997	1004
27	0	-3115	3727	1101
28	0	-5628	-3027	615
29	0	-3577	-2796	558
30	0	-4870	-2617	572
31	0	-4997	-3655	654
32	0	-4280	-3443	561
33	0	-4462	-4394	582
34	0	-3421	-3701	589
35	0	-3383	-4674	598
36	0	-4598	-5284	595
37	0	-3387	-5614	599
38	0	-4166	-5992	559
39	0	-3458	-6489	586
40	0	-4391	-6899	549
41	0	-3392	-7401	544
42	0	-4901	-7654	628
43	0	-4132	-8076	498
44	0	-4943	-8670	637
45	0	-5976	-8983	703
46	0	-4426	-9036	525
47	0	-4468	-10141	556
48	0	-3194	-8373	559
49	0	-3170	-9526	564
50	0	-2359	-10006	716
51	0	-2408	-8651	283
52	0	-2420	-9218	588
53	0	-2308	-7932	100
54	0	-2349	-10611	895
55	0	-2935	-10605	781
56	0	-4852	-9761	592
57	0	-5895	-9893	703
58	0	-5574	-10649	692
59	0	-4766	-10705	572
60	0	-4012	-10976	559
61	0	-3315	-11355	572
62	0	-6671	-12448	577
63	0	-6101	-12495	569
64	0	-5744	-11923	637
65	0	-6178	-11250	703
66	0	-9104	-10564	687
67	0	-11282	-12293	704
68	0	-10380	-11983	700
69	0	-9477	-11963	676
70	0	-8877	-11419	669
71	0	-6621	-11953	635
72	0	-7153	-11427	697
73	0	-7843	-11054	710
74	0	-8000	-11873	649
75	0	-7325	-12423	597
76	0	-8731	-12396	670
77	0	-8086	-12775	642
78	0	-8366	-13513	686
79	0	-7523	-13423	594
80	0	-8017	-14245	624
81	0	-5118	-11421	668
82	0	-5057	-12269	592
83	0	-4270	-11720	566
84	0	-3458	-12162	571
85	0	-3392	-13008	566
86	0	-4337	-16009	745
87	0	-3289	-15509	745
88	0	-3765	-14996	745
89	0	-4239	-12635	572
