ClassID	Division	PosX	PosY	PosZ
1	0	-11135	7833	-114
2	0	-4378	-9352	0
3	0	-4371	-10816	-11
4	0	-5357	-11984	-15
5	0	-5660	-9976	-6
6	0	-6794	-9370	-19
7	0	-8335	-9132	-30
8	0	-10047	-9110	-15
9	0	-11002	-10232	2
10	0	-9475	-10246	-10
11	0	-8452	-11035	-3
12	0	-6971	-11060	-8
13	0	-8609	-12200	2
14	0	-9934	-11396	13
15	0	-11631	-11601	-14
16	0	-10795	-12469	-2
17	0	-12068	-12797	-11
18	0	-12846	-13885	0
19	0	-11957	-14478	-11
20	0	-10972	-13981	-9
21	0	-9937	-12810	-12
22	0	-9820	-14463	3
23	0	-8545	-13690	-14
24	0	-7327	-12225	1
25	0	-7323	-14473	2
26	0	-6253	-13353	-9
27	0	-5453	-14500	-9
28	0	-4728	-13344	-11
29	0	-4163	-14482	-24
30	0	-3176	-13691	-109
31	0	-1587	-13844	-106
32	0	-2705	-12597	-193
33	0	-1483	-12140	-113
34	0	-2692	-10950	-180
35	0	-1274	-10586	-101
36	0	-2686	-9616	-156
37	0	-1143	-9266	-84
38	1	-9364	17375	-51
39	1	-7897	17008	-59
40	1	-6518	16570	-52
41	1	-4626	16318	-57
42	1	-3619	15867	-35
43	1	-1856	15923	-41
44	1	-689	15594	-35
45	1	675	15556	-35
46	1	1964	15545	-35
47	1	3213	14800	-35
48	1	4651	15263	-35
49	1	6213	15147	-35
50	1	7696	15088	-35
51	1	10445	4427	-60
52	1	6331	4581	177
53	1	5153	4954	-170
54	1	3757	5186	-187
55	1	2597	6050	-130
56	1	1605	5726	-166
57	1	-593	5618	-169
58	1	-1830	5289	-145
59	1	-3355	5163	-101
60	1	-4247	4358	-169
61	1	-5044	5101	-71
62	1	-5627	4203	-175
63	1	-8027	4057	-171
64	1	-8812	3830	-186
65	1	-9719	4163	-133
66	1	-10934	3682	-185
67	1	-10940	-7160	-175
68	1	-9526	-7238	-170
69	1	-8394	-7411	-158
70	1	-7185	-7387	-176
71	1	-5881	-7398	-180
72	1	-4115	-7539	-165
73	1	-2799	-7713	-140
74	1	-1385	-7796	-141
75	1	-27	-7809	-128
76	1	1478	-7785	-127
77	1	2977	-7563	-122
78	1	4773	-6904	-143
79	1	6230	-7265	-89
80	1	6961	-6241	-171
81	1	7950	-6274	-170
82	1	11083	-6074	-144
83	1	12233	-6168	-77
84	1	13009	-5477	-108
85	2	9059	13338	-19
86	2	9990	12059	2
87	2	10979	13100	12
88	2	12478	12693	81
89	2	12359	11471	91
90	2	9509	5447	-5
91	2	10577	6418	50
92	2	10578	5008	14
93	2	15649	-14723	-28
94	2	16533	-14118	-41
95	2	16052	-13028	-16
96	2	17138	-12855	-41
97	2	15429	-11902	-24
98	2	16538	-11622	-10
99	2	15567	-10572	-28
100	2	14959	-9612	-27
101	2	16645	-9956	-20
102	2	15984	-8753	-22
103	2	16833	-7727	-41
104	1	9571	13485	-23
105	1	8548	12604	-5
106	1	7116	14101	-34
107	1	6383	12573	0
108	1	5432	13861	-26
109	1	4241	12958	-4
110	1	2643	14058	-28
111	1	1563	13018	-2
112	1	618	14222	-29
113	1	-814	13066	-1
114	1	-1277	14277	-29
115	1	-2615	13660	-15
116	1	-3944	14501	-32
117	1	-4683	13341	-6
118	1	-6324	14349	-24
119	1	-7843	13442	-13
120	1	-8283	14781	-35
121	1	-9609	14079	-35
122	1	-10280	15653	-35
123	1	-12510	16782	-35
124	1	-12393	15159	-35
125	1	-12063	13805	-35
126	1	-12215	6965	-29
127	1	-11130	8147	-35
128	1	-10789	6371	-28
129	1	-8818	6112	-31
130	1	-9728	7168	-35
131	1	-9067	8474	-68
132	3	-8333	7287	-42
133	3	-7668	8407	-75
134	3	-6721	7345	-48
135	3	-5980	8556	-94
136	3	-5295	7402	-54
137	3	-4144	7998	-75
138	3	-2830	7965	-77
139	3	-1515	7882	-80
140	3	-343	8431	-86
141	3	-470	7026	-83
142	3	889	7415	-85
143	3	1684	8322	-87
144	3	1975	6990	-86
145	3	3372	7224	-80
146	3	4729	6407	-69
147	3	5815	7172	-59
148	3	7000	6266	-47
149	3	8384	7108	-15
150	3	8486	5695	-15
151	4	15137	-9066	-35
152	4	10354	-14169	-41
153	4	10863	-13017	-30
154	4	11693	-11347	-12
155	4	12080	-13849	-30
156	4	14499	-13840	-23
157	4	13234	-12721	-26
158	4	14531	-11870	-26
159	4	13306	-11022	-20
160	4	14723	-10193	-31
161	4	13408	-9635	-18
162	4	13797	-8182	-16
163	4	11611	-9619	-22
164	4	12283	-8416	-28
165	4	11060	-8447	-23
166	100	-2621	-9793	-160
167	0	7851	-7950	-47
168	0	8767	-9332	-41
169	0	8027	-10740	-41
170	0	8224	-12334	-41
171	0	8715	-13996	-41
172	0	7397	-13999	-41
173	0	3550	-12738	-2
174	0	2537	-12771	-10
175	0	2716	-11278	-21
176	0	3582	-9975	-7
177	0	4677	-11386	-12
178	0	5382	-9807	-23
179	0	6118	-10949	-41
180	0	6203	-12332	-41
181	0	4977	-12674	-41
182	0	5131	-14423	-2
183	0	3692	-14458	-7
184	0	2073	-14496	-18
185	0	1019	-14724	-3
186	0	1068	-11881	-3
187	0	1081	-10439	4
188	0	1083	-9141	-5
