ClassID	Division	PosX	PosY	PosZ
1	0	-14779	2233	-140
2	0	-26420	7821	-85
3	0	-25155	7630	-73
4	0	-22537	5311	85
5	0	-23675	5977	-70
6	0	-25091	6439	21
7	0	-26241	6619	-62
8	0	-25731	5038	-44
9	0	-24713	5077	25
10	0	-23891	4660	-146
11	0	-24271	3637	-50
12	0	-25348	3852	-75
13	0	-26580	4211	-85
14	0	-34170	-5617	-85
15	0	-32681	-5131	-86
16	0	-31620	-4815	-86
17	0	-30392	-3626	-85
18	0	-27492	891	-85
19	0	-26039	2729	-79
20	0	-22931	4086	26
21	0	-20635	4412	166
22	0	-19801	3844	142
23	0	-20998	3319	204
24	0	-20257	2730	164
25	0	-21428	2419	206
26	0	-22216	3194	157
27	0	-23276	2802	104
28	0	-22531	1805	257
29	0	-21766	1073	195
30	0	-20724	1275	117
31	0	-19898	1691	154
32	0	-18646	1089	138
33	0	-19358	46	66
34	0	-20537	-172	124
35	0	-21619	33	171
36	0	-22626	334	136
37	0	-23470	893	119
38	0	-24123	1850	60
39	0	-25059	2358	-56
40	0	-25675	1428	-69
41	0	-24868	840	-44
42	0	-25410	-339	-72
43	0	-26481	402	-85
44	0	-27210	-325	-85
45	0	-27304	-1805	-85
46	0	-28334	-3153	-85
47	0	-28960	-4319	-85
48	0	-29517	-5373	-85
49	0	-31816	-6222	-85
50	0	-30336	-6542	-85
51	0	-29119	-7161	-85
52	0	-29148	-6342	-85
53	0	-28411	-5442	-85
54	0	-27896	-4612	-85
55	0	-27097	-3831	-85
56	0	-26365	-3107	-85
57	0	-25060	-1212	-76
58	0	-24032	-781	-60
59	0	-23488	-3228	-85
60	0	-23515	-1703	-67
61	0	-24369	-2526	-85
62	0	-25161	-3511	-85
63	0	-26191	-4465	-85
64	0	-27080	-5644	-85
65	0	-25130	-5182	-85
66	0	-24290	-4150	-85
67	0	-22456	-2999	-86
68	0	-21887	-2206	-88
69	0	-21142	-1700	-89
70	0	-19058	-1029	-91
71	0	-19989	-1698	-88
72	0	-21760	-3759	-85
73	0	-22399	-5009	-85
74	0	-23332	-4732	-85
75	0	-24798	-6514	-85
76	0	-23589	-7397	-85
77	0	-22090	-7392	-85
78	0	-22133	-6293	-85
79	0	-21250	-5726	-85
80	0	-21406	-4748	-85
81	0	-19715	-3024	-85
82	0	-18842	-2317	-85
83	0	-17989	-1426	-86
84	0	-17715	-2911	-85
85	0	-18588	-3726	-81
86	0	-19383	-4522	-85
87	0	-20027	-5641	-85
88	0	-21065	-6918	-85
89	0	-19924	-6913	-85
90	0	-19192	-6044	-84
91	0	-18691	-5333	-66
92	0	-15988	-8191	-79
93	0	-14806	-7748	-78
94	0	-16016	-6674	-73
95	0	-17445	-5217	1
96	0	-17188	-4069	78
97	0	-16717	-3287	103
98	0	-16001	-4729	163
99	0	-15255	-5754	-20
100	0	-14322	-6387	-83
101	0	-13707	-5429	-82
102	0	-14681	-4822	35
103	0	-14040	-4133	-55
104	0	-13033	-4765	-80
105	0	-13388	-3380	-75
106	0	-13511	-2041	-84
107	0	-12437	-2718	-85
108	0	-11875	-1651	-85
109	0	-12078	-443	-85
110	0	-13653	1107	-85
111	0	-12926	1741	-85
112	0	-11858	926	-85
113	0	-12997	342	-84
114	0	-13056	-889	-84
115	0	-14164	-1765	-70
116	0	-14396	-2807	-53
117	0	-15434	-1829	-85
118	0	-16718	-1539	-85
119	0	-17386	-502	-88
120	0	-16545	641	-85
121	0	-16051	-499	-85
122	0	-15355	950	-85
123	0	-6008	9809	-84
124	0	-7141	8645	-85
125	0	-8281	9407	3
126	0	-8939	8162	0
127	0	-8172	7372	-68
128	0	-8728	5760	-70
129	0	-9711	7004	-16
130	0	-6751	228	-85
131	0	-7828	1285	-85
132	0	-8445	2469	-85
133	0	-9418	3823	-85
134	0	-10043	2838	-85
135	0	-11439	2073	-85
136	0	-12346	2673	-85
137	0	-11074	3488	-82
138	0	-12518	4071	-85
139	0	-13719	3878	-85
140	0	-14956	3427	-85
141	0	-16132	1977	-85
142	0	-16902	2583	-85
143	0	-16233	3537	-85
144	0	-17569	3182	-88
145	0	-17012	4160	-85
146	0	-16397	5261	-85
147	0	-17539	5039	-85
148	0	-18534	5019	-88
149	0	-19468	5776	-87
150	0	-20346	6113	-88
151	0	-20051	7354	-88
152	0	-20551	8257	-86
153	0	-21423	7203	-89
154	0	-21799	8361	-86
155	0	-22854	7429	-88
156	0	-22774	8809	-85
157	0	-22406	10044	-85
158	0	-20893	9366	-85
159	0	-19416	8951	-73
160	0	-19216	7979	-85
161	0	-18838	6846	-85
162	0	-17965	6049	-85
163	0	-17941	7368	-84
164	0	-18242	8446	-71
165	0	-16213	9997	-33
166	0	-16997	8518	-60
167	0	-15978	6526	-85
168	0	-16810	7331	-85
169	0	-15622	7620	-83
170	0	-14831	6740	-85
171	0	-14813	5548	-85
172	0	-13267	5704	-85
173	0	-12303	6517	-85
174	0	-11251	7672	58
175	0	-10594	8655	105
176	0	-9766	9495	105
177	0	-9027	10436	115
178	0	-10069	10744	133
179	0	-10768	9873	87
180	0	-11614	8785	51
181	0	-12381	7849	-65
182	0	-13334	6809	-85
183	0	-13442	7951	-81
184	0	-12587	9564	-77
185	0	-11979	10407	24
186	0	-11177	11154	102
187	0	-12136	11722	108
188	0	-11448	12757	125
189	0	-13351	11920	88
190	0	-13055	10904	64
191	0	-13696	9426	-83
192	0	-14756	8374	-83
193	0	-14627	9519	-83
194	0	-14327	10367	35
195	0	-14377	11723	64
196	0	-15271	10912	37
197	0	-15248	12348	40
198	0	-16270	11231	2
199	0	-17163	10563	-57
200	0	-18099	11118	-82
201	0	-19122	10783	-84
202	0	-20361	10649	-85
203	0	-21517	11348	-85
204	0	-20832	11818	-85
205	0	-20620	12870	-84
206	0	-18449	12110	-84
207	0	-17412	12080	-81
208	0	-16284	12515	-50
209	0	-15423	13187	85
210	0	-14145	13391	80
211	0	-14528	14303	42
212	0	-13742	15357	47
213	0	-11910	15512	23
214	0	-12674	13618	113
215	0	-11564	14076	108
216	0	-10486	13372	84
217	0	-10526	12255	117
218	0	-9358	12097	70
219	0	-8386	11441	84
220	0	-6954	11248	-64
221	0	-5662	11195	-82
222	0	-5640	12395	-84
223	0	-6698	12412	-83
224	0	-6065	13598	-85
225	0	-7097	14546	-85
226	0	-7239	13284	-75
227	0	-8167	14089	-79
228	0	-8065	15372	-85
229	0	-13576	18793	395
230	0	-17897	17445	254
231	0	-21807	18019	345
232	0	-20787	17918	348
233	0	-19504	18932	345
234	0	-19557	17902	325
235	0	-16803	17676	349
236	0	-18208	18405	345
237	0	-18237	19583	380
238	0	-16998	18732	372
239	0	-15787	18430	356
240	0	-14347	18234	380
241	0	-11218	15114	57
242	0	-10302	14376	52
243	0	-9136	14358	-81
244	0	-9271	15540	-85
245	0	-8293	16473	-85
246	0	-8977	17484	-85
247	0	-9569	16761	-85
248	0	-10419	16258	-46
249	0	-10139	17728	-84
250	0	-11637	16357	-34
251	0	-11310	17536	-84
252	0	-13572	16685	-81
253	0	-14405	16124	-43
254	0	-15059	15075	-76
255	0	-16047	14525	-51
256	0	-16897	13438	-82
257	0	-17974	13280	-81
258	0	-15435	16260	-65
259	0	-17400	14598	-72
260	0	-16453	15369	-78
261	0	-17487	15812	-51
262	0	-18142	16418	-65
263	0	-18277	14934	-67
264	0	-18962	15935	-57
265	0	-20168	15285	-74
266	0	-20884	15429	-71
267	0	-21955	14712	-81
268	0	-21882	12775	-84
269	0	-22521	11832	-85
270	0	-22902	12913	-85
271	0	-23490	14636	-85
272	0	-22512	14224	-84
273	0	-22825	15281	-85
274	0	-21751	15847	-72
275	0	-22641	16571	-81
276	0	-22991	17617	-72
277	0	-24370	14478	-85
278	0	-23556	13683	-85
279	0	-23923	12251	-85
280	0	-23259	11174	-85
281	0	-23777	8191	-86
282	0	-23392	9746	-85
283	0	-24498	9112	-85
284	0	-24177	10322	-85
285	0	-25282	9829	-85
