ClassID	Division	PosX	PosY	PosZ
1	0	13306	-13257	-254
2	0	-11801	-2910	-429
3	0	-18788	-1652	-135
4	0	-17856	-2409	-101
5	0	-16507	-3450	-226
6	0	-6855	-7898	122
7	0	-5828	-5755	191
8	0	-5673	-7223	124
9	0	-6193	-9818	-72
10	0	-7969	-10997	50
11	0	-9839	-10944	94
12	0	-10321	-9026	119
13	0	-8698	-8530	-227
14	0	-8479	-6023	-247
15	0	-10271	-6558	-370
16	0	-11053	-4770	-496
17	0	-15315	-3404	-433
18	0	-13896	-4522	-601
19	0	-13497	-2898	-482
20	0	-10840	-1444	-180
21	0	-9793	-275	-106
22	0	-8730	-1551	-133
23	0	-7312	-124	-167
24	0	-6169	-952	-256
25	0	-6481	-2655	-227
26	0	-4982	-3421	-341
27	0	-3230	-5454	-390
28	0	-3115	-7526	-383
29	0	-3745	-9667	-328
30	0	-942	-8561	-309
31	0	4718	-8316	528
32	0	3477	-10520	487
33	0	5047	-10809	467
34	0	9825	-8916	409
35	0	8268	-8363	525
36	0	8348	-10037	476
37	0	6608	-9421	459
38	0	6654	-7351	115
39	0	-15732	10659	50
40	0	-13946	12116	161
41	0	-12964	10543	77
42	0	-11456	11695	146
43	0	-14660	7863	368
44	0	-13196	6008	335
45	0	-10413	6452	31
46	0	-12251	7338	116
47	0	-11202	9182	-229
48	0	-9797	10455	-234
49	0	-9636	8677	-440
50	0	-6261	9307	-239
51	0	-7760	10758	-191
52	0	-9399	12314	115
53	0	-11549	13699	93
54	0	-13830	15072	175
55	0	-12312	15559	38
56	0	-10241	15052	-139
57	0	-8735	14019	15
58	0	-7324	12947	82
59	0	-5934	11953	60
60	0	-4831	13372	91
61	0	-6777	15051	-161
62	0	-8642	16047	-288
63	0	-9915	16838	-284
64	0	-11822	17630	-131
65	0	-13556	17303	129
66	0	-12790	19090	-40
67	0	-12070	20574	63
68	0	-10337	20212	-44
69	0	-9578	18820	-262
70	0	-8025	19705	-143
71	0	-7814	21253	92
72	0	-5692	20340	71
73	0	-6528	18348	-184
74	0	-4389	18812	0
75	0	-5065	16636	-169
76	0	-3223	16884	-143
77	0	-4082	15007	-89
78	0	-2445	15565	-112
79	0	-1430	13931	16
80	0	-3009	13486	49
81	0	360	6909	209
82	0	-6848	7536	-329
83	0	-5046	6878	-186
84	0	-7357	5400	-425
85	0	-4588	4515	-339
86	0	-3773	5866	-177
87	0	-2738	4090	-90
88	0	-3610	2156	-346
89	0	-2947	-163	-401
90	0	221	-4661	-390
91	0	2002	-6058	-326
92	0	-1602	2878	70
93	0	-769	4814	30
94	0	292	3831	8
95	0	-14	2027	36
96	0	-1405	1119	66
97	0	-870	-1924	-363
98	0	83	-77	-39
99	0	1069	-1431	-49
100	0	1500	-2853	50
101	0	2847	-3807	231
102	0	3434	-1862	36
103	0	4938	-3695	245
104	0	5280	-1840	-88
105	0	6322	-3136	65
106	0	9835	-162	171
107	0	7067	-873	-15
108	0	8370	635	81
109	0	9085	-1543	53
110	0	10924	-1595	-10
111	0	9567	-3407	-232
112	0	8196	-4349	-154
113	0	8739	-6050	-104
114	0	9852	-5115	-320
115	0	10926	-3767	-337
116	0	11789	-5452	-327
117	0	10714	-6668	-176
118	0	12531	-7463	-139
119	0	13344	-6281	-268
120	0	14863	-7501	-195
121	0	13559	-8709	-54
122	0	12217	-9522	54
123	0	12746	-11466	-222
124	0	14212	-10181	-75
125	0	16280	-10260	-76
126	0	17180	-8775	-102
127	0	17046	-6797	-135
128	0	15601	-5862	-129
129	0	13342	-4380	-245
130	0	12353	-1873	-70
131	0	14491	-2396	-77
132	0	9940	2672	340
133	0	10897	688	171
134	0	11735	2235	239
135	0	13048	1701	227
136	0	15050	-541	-113
137	0	16002	1236	-129
138	0	18122	1124	-102
139	0	16956	2582	-110
140	9	-8334	-10710	59
141	9	-5570	-5925	177
142	9	-8712	-6095	-260
143	9	-11356	-4153	-508
144	9	-10653	-1506	-181
145	9	12197	1674	260
146	9	13263	-2534	-125
147	9	12995	-7887	-108
148	9	10659	-5255	-348
149	9	6048	-3783	132
150	9	1981	-2396	48
151	9	-1592	2276	81
152	9	-4461	5333	-298
153	9	-14356	11357	99
154	9	-9575	10657	-212
155	9	-3083	14407	12
156	9	-7235	15899	-270
157	9	-10004	17136	-294
