ClassID	Division	PosX	PosY	PosZ
1	0	-12083	15828	-3370
2	0	-11876	7398	-3125
3	0	-11933	5035	-3303
4	0	-12687	3349	-3255
5	0	-12900	1747	-3235
6	0	-13848	-230	-3264
7	0	-14530	-1484	-3336
8	0	-16773	-1756	-3239
9	0	-18438	-1991	-3256
10	0	-20605	-1665	-3259
11	0	-22260	-1670	-3251
12	0	-23958	-1524	-3020
13	0	-24893	-1422	-2901
14	0	-26453	-407	-2543
15	0	-27521	832	-2130
16	0	-28595	2668	-2039
17	0	-28414	4654	-2152
18	0	-28164	6584	-2255
19	0	-28006	9122	-2190
20	0	-25732	16179	-2447
21	0	-24835	14859	-2444
22	0	-29418	16123	-2629
23	0	-28288	14219	-2504
24	0	-26889	13515	-2460
25	1	-26021	13413	-2446
26	2	-26595	14458	-2487
27	0	-26311	16846	-2489
28	0	-25216	16793	-2462
29	0	-9520	3463	274
30	0	-9542	865	265
31	0	-6404	-2066	220
32	0	-7033	-831	236
33	0	-8252	-743	245
34	0	-7910	-1950	243
35	0	-7818	-3361	241
36	0	-8578	-4152	241
37	0	-8887	-2983	248
38	0	-9184	-1713	256
39	0	-10158	746	275
40	0	-9945	1852	275
41	0	-8847	2961	270
42	0	-8886	1724	255
43	0	-8033	801	250
44	0	-7819	1838	286
45	0	-7302	321	254
46	0	-6988	1326	283
47	0	-6188	-254	258
48	0	-5970	803	281
49	0	-5294	-147	259
50	0	-5587	-1456	232
51	0	-4738	-4224	246
52	0	-4080	-6024	101
53	0	-5002	-5675	263
54	0	-6032	-4995	284
55	0	-5993	-6287	284
56	0	-7186	-6436	281
57	0	-16558	-10058	281
58	0	-15411	-9386	284
59	0	-14738	-8439	277
60	0	-13502	-8616	259
61	0	-12181	-8293	265
62	0	-10909	-8469	246
63	0	-9761	-7871	260
64	0	-9015	-8245	276
65	0	-8043	-7276	284
66	0	-7496	-8413	169
67	0	-6092	-7802	-270
68	0	-5313	-8418	-661
69	0	-3873	-7918	-1151
70	0	-2489	-8012	-1465
71	0	-661	-7864	-1868
72	0	-10547	-10813	-2604
73	0	-8647	-11100	-2648
74	0	-7172	-10785	-2597
75	0	-5350	-11150	-2211
76	0	-3755	-11121	-1885
77	0	-694	-9164	-1916
78	0	1772	-6153	-2408
79	0	1139	-7746	-2170
80	0	888	-8928	-2029
81	0	1311	-10091	-1775
82	0	2448	-10791	-1600
83	0	-1652	-11213	-1899
84	0	-2274	-13489	-2626
85	0	-1698	-14549	-2469
86	0	1446	-15644	-1832
87	0	1299	-19017	-1413
88	0	1166	-17812	-1408
89	0	2361	-17687	-1421
90	0	2280	-19248	-1433
91	0	3218	-18381	-1453
92	0	3233	-16959	-1441
93	0	3254	-15792	-1473
94	0	3825	-14727	-1412
95	0	3851	-13617	-1392
96	0	2849	-12796	-1356
97	0	3594	-11495	-1389
98	0	4456	-10196	-1474
99	0	4468	-7857	-1496
100	0	5814	-8337	-1445
101	0	5674	-10350	-1413
102	0	6178	-9448	-1405
103	0	7550	-9709	-1490
104	0	8480	-10995	-1695
105	1	9510	-11714	-1770
106	0	10470	-11984	-1882
107	0	11604	-12512	-1899
108	0	16015	-12463	-2432
109	0	17478	-11037	-2877
110	0	19213	-11667	-2937
111	0	6044	10601	-3142
112	0	6385	9262	-3068
113	0	5950	7838	-3059
114	0	5429	8609	-3137
115	0	4071	8662	-3129
116	0	4132	7445	-3111
117	0	8164	2184	-3304
118	0	7714	3279	-3294
119	0	6827	2546	-3314
120	0	5464	953	-3242
121	0	6595	1267	-3351
122	0	7202	-1909	-3159
123	0	8449	-1408	-3146
124	0	7976	-2542	-3052
125	0	8503	-3650	-2864
126	0	9164	-2818	-2964
127	0	10576	-5660	-2700
128	0	12628	-5929	-2795
129	0	11693	-5484	-2754
130	0	11572	-6643	-2667
131	0	12781	-8096	-2652
132	0	12908	-7091	-2757
133	0	14002	-7702	-2757
134	0	14672	-8525	-2706
135	0	15390	-9430	-2673
136	0	14303	-10513	-2493
137	0	14086	-9405	-2597
138	0	13074	-9086	-2593
139	0	12010	-8776	-2571
140	0	10703	-8467	-2561
141	0	10795	-7298	-2584
142	0	9796	-7364	-2616
143	0	10112	-6275	-2616
144	0	8420	-7013	-2665
145	0	9172	-6065	-2656
146	0	8044	-6152	-2678
147	0	8246	-4946	-2694
148	0	7033	-5382	-2645
149	0	7525	-4385	-2798
150	0	7109	-3435	-2890
151	0	6343	-4405	-2738
152	0	5846	-5119	-2648
153	0	5729	-3588	-2844
154	0	4791	-4392	-2740
155	0	3522	-4372	-2757
156	1	2615	-4581	-2644
157	0	1717	-4967	-2601
158	0	1925	-3843	-2724
159	0	727	-3059	-2870
160	0	2240	-2246	-2817
161	0	545	-1911	-2889
162	0	1480	-1202	-2840
163	0	364	-789	-2908
164	0	5674	-2735	-2998
165	0	4525	-3275	-2884
166	0	3559	-2440	-2905
167	0	4524	-1991	-2976
168	0	6188	-1330	-3226
169	0	8507	-96	-3245
170	0	7529	-816	-3248
171	0	7653	569	-3328
172	0	6489	-36	-3331
173	0	5091	-206	-3180
174	0	9326	8897	-3206
175	0	9410	10719	-3227
176	0	10666	10953	-3294
177	0	10576	12158	-3301
178	0	8335	10756	-3152
179	0	7183	9713	-3060
180	1	8271	9424	-3111
181	0	7010	7701	-3005
182	0	7511	7040	-3010
183	0	6810	5985	-3131
184	0	7867	5702	-3240
185	0	7490	4771	-3251
186	0	4323	1495	-3197
187	0	5237	2190	-3246
188	0	5095	3887	-3232
189	0	6141	3517	-3280
190	0	5905	4660	-3170
191	0	4020	5579	-3115
192	1	3462	6307	-3116
193	0	169	6282	-3238
194	0	1137	5539	-3215
195	0	2379	4866	-3200
196	0	3562	4334	-3132
197	0	4114	3234	-3204
198	0	3511	2291	-3194
199	1	2710	3335	-3193
200	0	598	877	-3216
201	0	2212	1640	-3209
202	0	1109	2096	-3208
203	0	1338	3391	-3209
204	0	-2344	3142	-3331
205	0	-639	3090	-3224
206	0	-901	4322	-3224
207	0	101	4838	-3212
208	0	-3732	7920	-3041
209	0	-2385	7933	-3022
210	0	-1719	6741	-3184
211	0	-1582	5392	-3254
212	0	-2520	4626	-3327
213	0	-2921	5979	-3190
214	0	-4002	5263	-3152
215	0	-4403	6368	-2997
216	0	-5434	7240	-2972
217	0	-6144	6192	-3049
218	0	-7206	7214	-3124
219	0	-9119	7604	-3231
220	0	-7978	8459	-3168
221	0	-6755	8272	-3065
222	0	-5594	8799	-2981
223	0	-4400	9276	-3039
224	0	-5096	10800	-2918
225	0	-6028	10027	-3002
226	0	-8111	9681	-3095
227	0	-9190	9292	-3139
228	0	-10917	10199	-2936
229	0	-9510	10711	-3010
230	0	-9157	11872	-2962
231	0	-7756	11999	-2856
232	0	-6669	12348	-2860
233	0	-5717	12815	-2908
234	0	-7014	14708	-3171
235	0	-7207	13522	-3024
236	0	-8650	13206	-3034
237	0	-8513	14255	-3129
238	0	-9843	14525	-3238
239	0	-10934	15606	-3336
240	0	-10660	16888	-3435
241	0	-9192	15971	-3334
242	0	-8277	15511	-3260
243	0	-6902	15714	-3310
244	0	-5753	16148	-3386
245	0	-5827	15063	-3235
246	0	-6013	13945	-3076
247	0	-4762	13903	-3042
248	0	-4147	12734	-2928
249	0	-3693	11305	-2939
250	0	-2398	11023	-2858
251	0	-2957	12312	-2930
252	0	-1078	11177	-2947
253	0	344	10544	-3053
254	0	1566	9899	-3063
255	0	2359	10982	-3118
256	0	2746	12082	-3159
257	0	3785	12219	-3164
258	0	5650	12759	-3188
259	0	7431	11524	-3091
260	0	8258	12210	-3150
261	0	9481	12023	-3223
262	0	9397	14127	-3419
263	0	8887	13168	-3174
264	0	7793	13367	-3152
265	0	6663	13508	-3186
266	0	5847	14428	-3221
267	0	7040	14626	-3199
268	0	8177	14406	-3187
269	0	8796	15462	-3266
270	0	1649	22687	-3360
271	0	309	23052	-3388
272	0	-367	22073	-3426
273	0	781	21418	-3392
274	0	1846	20858	-3354
275	0	504	19950	-3380
276	0	420	18095	-3371
277	0	-2021	18390	-3403
278	0	-1003	17268	-3382
279	0	-551	16220	-3368
280	0	-2104	15824	-3343
281	0	-3696	15680	-3315
282	0	-3827	14679	-3153
283	0	-3070	13438	-3048
284	0	-1961	12699	-3013
285	0	-932	12995	-3074
286	0	-348	12142	-3049
287	0	1002	11624	-3112
288	0	387	12872	-3120
289	0	1627	12566	-3165
290	0	2267	13431	-3208
291	0	805	13970	-3219
292	0	1402	14783	-3230
293	0	1044	15731	-3249
294	0	1027	17093	-3321
295	0	2157	16338	-3178
296	0	2739	17211	-3245
297	0	3670	16175	-3238
298	0	4056	17421	-3256
299	0	6403	16145	-3255
300	0	7509	15846	-3237
301	0	7193	16949	-3250
302	0	7981	17554	-3245
303	0	7292	18405	-3240
304	0	6310	17763	-3248
305	0	5227	18113	-3247
306	0	4305	19396	-3259
307	0	3696	20373	-3287
308	0	3367	21567	-3306
309	0	5273	20243	-3239
310	0	5928	18985	-3239
311	0	7204	19363	-3239
312	0	6170	20224	-3239
313	0	5940	23383	-3227
314	0	6945	21421	-3239
315	0	7154	23848	-3234
316	0	12883	23733	-2508
317	1	12716	26050	-2581
318	0	12902	25103	-2538
