ClassID	Division	PosX	PosY	PosZ
1	8	-1160	13155	-2854
2	8	-1836	13061	-2849
3	8	-1468	12740	-2852
4	8	-1543	13270	-2853
5	8	-2012	12712	-2848
6	8	-2209	12280	-2846
7	8	-1595	12194	-2851
8	8	-1061	12356	-2855
9	8	-861	12832	-2817
10	8	-863	13343	-2856
11	8	-1266	13792	-2856
12	8	-1886	13684	-2856
13	8	-2283	13221	-2851
14	8	-22913	-4858	-2007
15	8	-22765	-5490	-1981
16	8	-22214	-4994	-2063
17	8	-21615	-5218	-2052
18	8	-21672	-6017	-2014
19	8	-20026	-6328	-1877
20	8	-20825	-5952	-1964
21	8	-20617	-6469	-1937
22	8	-20400	-7392	-1919
23	8	-20770	-7001	-1954
24	8	-20625	-7947	-1948
25	8	-18448	-8137	-1915
26	8	-19842	-8694	-1890
27	8	-17966	-7878	-1931
28	8	-17667	-6445	-2015
29	8	-17975	-8970	-1962
30	8	-18815	-8698	-1913
31	8	-17235	-8480	-1985
32	8	-17870	-8492	-1954
33	8	-18354	-9240	-1951
34	8	-17775	-9394	-2005
35	8	-17023	-9047	-2005
36	8	-16928	-9574	-2003
37	8	-16398	-9460	-1981
38	8	-15561	-935	-2220
39	8	-16300	-618	-2301
40	8	-14874	-800	-2147
41	8	-15369	-557	-2201
42	8	-14727	100	-2135
43	8	-16046	1628	-2379
44	8	-15764	326	-2265
45	8	-17201	1070	-2558
46	8	-15529	432	-2242
47	8	-15951	-416	-2264
48	8	-16275	266	-2323
49	8	-16500	776	-2397
50	2	-28898	-4375	-1952
51	0	-29608	-3741	-2083
52	0	-30202	-3028	-2175
53	7	-26005	2688	-2573
54	6	-28341	3300	-2589
55	6	-27974	2324	-2515
56	5	-30102	1970	-2672
57	5	-28874	2389	-2631
58	5	-28303	1386	-2536
59	5	-29344	1150	-2611
60	7	-29562	-1003	-2340
61	6	-29155	-2089	-2291
62	6	-28998	-219	-2455
63	6	-28456	507	-2557
64	6	-27541	1722	-2491
65	6	-27700	820	-2556
66	7	-26702	1882	-2485
67	6	-26873	988	-2555
68	6	-25792	1626	-2613
69	6	-26051	731	-2635
70	7	-28703	-1264	-2411
71	7	-28123	-413	-2529
72	7	-26470	-58	-2597
73	6	-27209	40	-2596
74	6	-27334	-1032	-2508
75	6	-26279	-947	-2518
76	6	-26579	-5661	-1755
77	6	-27367	-5935	-1684
78	6	-27994	-5120	-1803
79	6	-27887	-1676	-2387
80	7	-27641	-2955	-2162
81	7	-27804	-4142	-1953
82	7	-26715	-3848	-2014
83	6	-26973	-1975	-2342
84	6	-25983	-1933	-2375
85	6	-26658	-2978	-2166
86	6	-25644	-2864	-2223
87	6	-25229	-1660	-2436
