ClassID	Division	PosX	PosY	PosZ
1	0	-7021	-3492	0
2	0	-11003	-5352	0
3	0	-3663	23848	0
4	0	5546	23873	0
5	0	17128	19975	0
6	0	14067	20250	0
7	0	16905	28017	0
8	0	15203	28019	0
9	0	13495	28008	0
10	0	25282	24119	0
11	0	32620	21022	0
12	0	34086	21056	0
13	0	33661	18994	0
14	0	31911	18984	0
15	0	33284	7974	0
16	0	33256	-164	0
17	0	26556	0	0
18	0	20775	5709	0
19	0	21736	4902	0
20	0	13087	14750	0
21	0	2581	12073	0
22	0	-4236	1748	-40
23	0	-2862	1359	-26
24	0	-2856	2688	-13
25	0	-4153	2723	-40
26	0	-6588	-10977	0
27	0	-15921	-16581	0
28	0	-16811	-17501	0
29	0	-20514	-10967	0
30	0	-21232	-11667	0
31	0	-19939	-11801	0
32	0	-20015	-10151	0
33	0	-21181	-10275	0
34	0	-26501	-5056	0
35	0	-27509	1895	0
36	0	-35375	3930	0
37	0	-35585	1910	0
38	0	-36307	2710	0
39	0	-36239	1066	0
40	0	-34610	1104	0
41	0	-34747	2832	0
42	0	-27471	-7989	0
43	0	-27752	-11005	0
44	0	-33674	-10996	0
45	0	-36452	-10962	0
46	0	-37096	-12093	0
47	0	-35686	-11972	0
48	0	-34409	-12064	0
49	0	-32770	-11955	0
50	0	-32966	-9952	0
51	0	-34692	-10076	0
52	0	-35999	-10007	0
53	0	-37472	-10036	0
54	0	-45717	-8039	0
55	0	-44556	-8992	0
56	0	-45480	-8904	0
57	0	-46389	-8926	0
58	0	-45465	-6950	0
59	0	-39163	-5745	0
60	0	-37762	-5823	0
61	0	-38678	-5068	0
62	0	-38196	-4137	0
63	0	-39336	-4326	0
64	0	-41767	-3016	0
65	0	-42827	-3023	0
66	0	-44043	-2962	0
67	0	-45226	-2947	0
68	0	-46431	-2939	0
69	0	-41666	-1028	0
70	0	-42658	-1037	0
71	0	-43951	-995	0
72	0	-45293	-998	0
73	0	-46541	-976	0
74	0	-35586	-5091	0
75	0	-37528	3940	0
76	0	-37456	29	0
77	0	-33481	33	0
78	0	-33499	3891	0
79	0	-28340	2688	0
80	0	-26481	2793	0
81	0	-28372	1034	0
82	0	-26701	1027	0
83	0	-29680	3731	0
84	0	-29457	109	0
85	0	-25562	29	0
86	0	-25405	3923	0
87	0	-27503	-2094	0
88	0	-27482	-4184	0
89	0	-25600	-4251	0
90	0	-27391	-6011	0
91	0	-25652	-6015	0
92	0	-23536	-5031	0
93	0	-15636	-11010	0
94	0	-15471	-7349	0
95	0	-15380	-3788	0
96	0	-13673	-4119	0
97	0	-13818	-3058	0
98	0	-12344	-3054	0
99	0	-12351	-4322	0
100	0	-12150	-5602	0
101	0	-13399	-5895	0
102	0	-9956	-5782	0
103	0	-10142	-4384	0
104	0	-10204	-3093	0
105	0	-8266	-4065	0
106	0	-8507	-6037	0
107	0	-5815	-10101	0
108	0	-5676	-11993	0
109	0	-7357	-10149	0
110	0	-7214	-11831	0
111	0	-8879	-11038	0
112	0	-11972	-18968	0
113	0	-13499	-17986	0
114	0	-13666	-16085	0
115	0	-14864	-16071	0
116	0	-14811	-17272	0
117	0	-17101	-16337	0
118	0	-14730	-18834	0
119	0	-16536	-18879	0
120	0	-18017	-18999	0
121	0	-18645	-18013	0
122	0	-18632	-16041	0
123	0	-20361	-18967	0
124	0	-3587	-10968	0
125	0	-3456	-4992	0
126	0	-4524	65	0
127	0	-2541	104	0
128	0	-1574	194	0
129	0	-1650	2157	0
130	0	-1557	3696	0
131	0	-4592	3770	0
132	0	-5581	3007	0
133	0	-5517	1290	0
134	0	-3439	5941	0
135	0	-608	6051	0
136	0	-3508	13993	0
137	0	-4518	14074	0
138	0	-4529	15081	0
139	0	-4556	16877	0
140	0	-2592	16720	0
141	0	-2854	15211	0
142	0	-4432	17845	0
143	0	-2570	17924	0
144	0	-3549	15976	49
145	0	-5577	15803	0
146	0	-1399	15782	0
147	0	-3478	19990	0
148	0	-4499	23044	0
149	0	-4565	24532	0
150	0	-2727	24555	0
151	0	-2786	23111	0
152	0	-5532	25868	0
153	0	-5375	22047	0
154	0	-1565	21950	0
155	0	-1473	25757	0
156	0	4794	24505	0
157	0	6255	24537	0
158	0	4879	23215	0
159	0	6258	23101	0
160	0	3210	23876	0
161	0	5798	26340	0
162	0	7923	23519	0
163	0	5424	21671	0
164	0	3465	22227	0
165	0	7353	22088	0
166	0	3382	25961	0
167	0	7493	25937	0
168	0	10513	26944	0
169	0	12639	27124	0
170	0	12778	28744	0
171	0	13669	28933	0
172	0	13615	27003	0
173	0	14676	27154	0
174	0	14655	28943	0
175	0	15531	28875	0
176	0	15564	27143	0
177	0	16573	27130	0
178	0	16704	28798	0
179	0	17718	28792	0
180	0	17591	27200	0
181	0	18741	27176	0
182	0	18858	28680	0
183	0	10599	21084	0
184	0	12793	20979	0
185	0	12735	19298	0
186	0	13637	19427	0
187	0	13752	21130	0
188	0	14817	21023	0
189	0	14684	19263	0
190	0	15704	19246	0
191	0	15739	20838	0
192	0	16702	20745	0
193	0	16756	19151	0
194	0	17694	19170	0
195	0	17779	20775	0
196	0	18683	20804	0
197	0	18783	18980	0
198	0	21465	21001	0
199	0	24541	24997	0
200	0	26110	24893	0
201	0	26038	23075	0
202	0	24497	23380	0
203	0	27534	26040	0
204	0	23588	25993	0
205	0	23522	21872	0
206	0	27555	21987	0
207	0	30566	20988	0
208	0	30598	18894	0
209	0	35122	21101	0
210	0	35138	19007	0
211	0	37495	14016	0
212	0	37437	19886	0
213	0	37525	7992	0
214	0	34277	9053	0
215	0	34231	7154	0
216	0	32398	9054	0
217	0	32439	7288	0
218	0	35393	10107	0
219	0	31586	10029	0
220	0	31424	5931	0
221	0	35375	6082	0
222	0	34124	674	0
223	0	34124	-700	0
224	0	32432	706	0
225	0	32472	-629	0
226	0	35509	2008	0
227	0	31626	2035	0
228	0	31523	-2096	0
229	0	35348	-1969	0
230	0	27322	-864	0
231	0	27385	914	0
232	0	25914	-835	0
233	0	25781	834	0
234	0	25443	4910	0
235	0	20958	4139	0
236	0	22559	4311	0
237	0	22455	5666	0
238	0	21537	10791	0
239	0	16537	11007	0
240	0	16512	15767	0
241	0	14676	14927	0
242	0	13590	15790	0
243	0	12666	16002	0
244	0	13469	13487	0
245	0	12680	13736	0
246	0	11260	13598	0
247	0	11330	15915	0
248	0	9572	14726	0
249	0	8178	15846	0
250	0	7531	12147	0
251	0	3374	11310	0
252	0	1874	11542	0
253	0	1839	12662	0
254	0	3110	12468	0
255	0	16479	1461	0
256	0	15719	1547	0
257	0	14559	2060	0
258	0	14549	3807	0
259	0	13342	3821	0
260	0	13299	2353	0
261	0	13244	1102	0
262	0	12227	3334	0
263	0	11087	3144	0
264	0	10971	1931	0
265	0	11064	1058	0
266	0	9671	929	0
267	0	9599	2190	0
268	0	9620	3887	0
269	0	7862	969	0
270	0	11938	3483	0
271	0	7663	6040	0
272	0	2608	6009	0
273	0	-46434	-6943	0
274	0	-44429	-7097	0
275	0	-31842	1964	0
276	0	-35469	-2348	0
277	0	-23490	-10310	0
278	0	-20504	-14048	0
279	0	-20507	-15716	0
280	0	-11486	-15555	0
281	0	-11530	-12442	0
282	0	-3486	-7209	0
283	0	-3540	-2853	0
284	23	-45513	-2005	0
285	2	-45510	-7990	0
286	3	-38509	-4984	0
287	4	-35498	2048	0
288	5	-27498	2030	0
289	6	-35001	-11006	0
290	7	-26436	-5004	0
291	8	-20500	-11031	0
292	9	-6569	-10938	0
293	10	-3490	1977	-20
294	11	2511	12016	0
295	12	21500	5026	0
296	13	-3501	16000	49
297	14	-3494	24042	0
298	15	5496	23988	0
299	16	15979	28000	0
300	17	16253	20002	0
301	18	25483	23971	0
302	19	32999	20002	0
303	20	26499	0	0
304	21	33501	36	0
305	22	33542	8001	0
