ClassID	Division	PosX	PosY	PosZ
1	3	-74	-209	-45
2	3	-58	1782	-45
3	3	-3222	2633	-155
4	3	-1803	2639	-151
5	3	-3428	1039	-155
6	3	-1688	985	-155
7	3	-3255	-909	-151
8	3	-1721	-1052	-151
9	3	1805	2335	-165
10	3	3393	2464	-151
11	3	1811	766	-165
12	3	3167	723	-165
13	3	1716	-850	-151
14	3	3197	-899	-155
15	3	-3036	-2583	-35
16	3	-1913	-2583	-35
17	3	2007	-2561	-35
18	3	3127	-2517	-35
19	2	-5448	-8288	969
20	2	-5689	-9931	1000
21	2	-7102	-9915	1000
22	2	-10615	-12061	1005
23	2	-9483	-12317	1000
24	2	-9481	-13537	1005
25	2	-5873	-13750	966
26	2	-7243	-13745	970
27	2	-5681	-12135	966
28	2	-7239	-12093	971
29	2	-3474	-13544	1000
30	2	-3492	-12377	1000
31	2	-5603	-15954	1001
32	2	-6981	-15970	1000
33	2	-5581	-17994	1089
34	2	-5609	-19550	1149
35	1	5542	-8454	1000
36	1	7214	-15888	999
37	1	5883	-15989	999
38	1	7077	-9944	1004
39	1	5677	-9904	1000
40	1	7046	-13705	970
41	1	5630	-13783	970
42	1	7232	-12236	965
43	1	5638	-12217	965
44	1	9226	-13615	999
45	1	9406	-12256	999
46	1	10437	-13897	999
47	1	3372	-12356	999
48	1	3411	-13690	1004
49	1	5567	-17995	1089
50	1	5511	-19559	1149
51	4	9539	-12937	999
52	5	3336	-12937	999
53	6	-9539	-12937	999
54	7	-3336	-12937	999
