ClassID	Division	PosX	PosY	PosZ
1	1	-14610	279	-2165
2	1	-14706	-813	-2228
3	1	-15241	-1917	-2315
4	1	-15042	-2757	-2315
5	1	-15092	-3808	-2315
6	1	-14454	-4905	-2250
7	1	-13505	-4876	-2265
8	1	-12442	-4904	-2207
9	1	-11432	-5017	-1962
10	1	-10323	-4981	-1804
11	1	-9331	-5015	-1664
12	2	-2375	-6115	-1707
13	2	-1392	-6841	-1707
14	2	-1232	-5836	-1707
15	2	-587	-6443	-1707
16	2	105	-5836	-1707
17	2	357	-6669	-1707
18	2	1221	-6019	-1702
19	2	2474	-6592	-1702
20	2	4870	-6364	-1704
21	2	5318	-5405	-1704
22	2	6417	-5188	-1699
23	2	6931	-6264	-1704
24	2	6306	-7401	-1704
25	2	5463	-7014	-1704
26	3	10612	-2915	-817
27	3	10307	-1901	-817
28	3	11263	-2021	-817
29	3	10797	-912	-817
30	3	12085	-1179	-817
31	3	12358	-2585	-817
32	3	13115	-2951	-817
33	3	13083	-1653	-817
34	3	13529	-528	-817
35	3	14161	-1794	-817
36	3	14648	-3230	-817
37	3	14602	-739	-817
38	4	-2546	-2	-1467
39	4	-2014	-1024	-1467
40	4	-2897	-1679	-1474
41	4	-1152	-1731	-1466
42	4	-938	-719	-1474
43	4	74	-1705	-1473
44	4	1396	-1563	-1462
45	4	2633	-1393	-1474
46	4	2598	-153	-1475
47	4	1364	-176	-1462
48	4	1538	1001	-1457
49	4	217	-468	-1467
50	4	-1735	1114	-1474
51	4	-1453	121	-1463
52	4	-3539	2376	-883
53	4	-3148	3286	-883
54	4	-2518	2306	-883
55	4	-2035	3203	-883
56	4	-1290	2418	-883
57	4	986	2557	-883
58	4	1760	3105	-883
59	4	2547	2448	-883
60	4	3365	3204	-883
61	5	-8267	10035	-880
62	5	-8364	11089	-880
63	5	-9325	11799	-880
64	5	-10684	11528	-880
65	5	-11729	11430	-880
66	5	-11953	10146	-880
67	5	-11991	8749	-880
68	5	-11781	7781	-880
69	5	-12769	8131	-880
70	5	-12795	9557	-880
71	5	-12684	10900	-876
72	5	-10171	12291	-880
74	5	-10364	9709	-879
76	5	-9280	9836	-880
77	5	-8502	9035	-880
78	5	-9108	8125	-880
79	5	-8044	8067	-876
80	5	-9927	7571	-880
81	5	-10964	7911	-880
82	5	-13701	13701	-880
83	5	-13887	14813	-886
84	5	-13478	15880	-880
85	5	-12838	14908	-886
86	5	-11971	15744	-886
87	5	-12045	13848	-880
88	5	-11794	14818	-886
89	5	-10857	13778	-880
90	5	-10833	14898	-886
91	5	-10564	16070	-880
92	5	-9612	14915	-886
93	5	-9877	13692	-880
94	5	-8791	13890	-880
95	5	-8577	15091	-886
96	5	-9576	16345	-870
97	5	-8532	16150	-880
98	5	-7545	16369	-870
99	5	-7703	15287	-886
100	5	-6562	15345	-880
101	5	-7552	14120	-880
102	6	8006	8348	-876
103	6	8676	7511	-880
104	6	8895	8527	-876
105	6	9608	7636	-880
106	6	10442	8200	-880
107	6	11170	7464	-876
108	6	11750	8300	-876
109	6	12655	8654	-880
110	6	12268	7423	-876
111	6	11740	9309	-880
112	6	12688	9921	-876
113	6	10367	9696	-879
114	6	11783	10268	-880
115	6	12602	10919	-880
116	6	11515	11451	-880
117	6	10402	11381	-880
118	6	9501	11854	-880
119	6	8541	11962	-880
120	6	8201	10870	-880
121	6	9009	10480	-880
122	6	8959	9511	-880
123	6	7967	9748	-876
124	6	7032	13701	-880
125	6	6108	14831	-880
126	6	6940	16342	-870
127	6	7329	14906	-886
128	6	8048	16320	-870
129	6	8387	15070	-886
130	6	7960	13675	-870
131	6	9049	13888	-880
132	6	9386	15123	-886
133	6	9139	16272	-880
134	6	10279	16258	-880
135	6	10331	15011	-886
136	6	10327	13889	-880
137	6	11662	13866	-880
138	6	11185	15090	-886
139	6	11425	16306	-870
140	6	12378	16364	-870
141	6	12228	15235	-886
142	6	13074	14655	-886
143	6	13075	13671	-870
144	6	14085	14767	-880
145	6	13215	15725	-886
146	6	13938	16426	-880
147	7	-1573	17383	-878
148	7	-406	17564	-928
149	7	722	17683	-878
150	7	1678	17161	-878
151	7	1569	18676	-878
152	7	-1	18784	-927
153	7	-1526	18734	-885
154	7	-1577	20006	-878
155	7	-163	19999	-928
156	7	1116	20101	-878
157	7	1042	21366	-943
158	7	-214	21230	-988
159	7	-1560	21214	-926
160	7	-2049	22177	-926
161	7	-847	22240	-983
162	7	-2063	23165	-926
163	7	-1024	23278	-988
164	7	-1763	24242	-926
165	7	-654	24337	-988
166	7	-106	25336	-878
167	7	526	24249	-988
168	7	52	23020	-982
169	7	1572	24202	-926
170	7	1132	23132	-988
171	7	2087	22706	-926
172	7	1107	22042	-988
173	7	73	22055	-987
174	8	-929	29335	-902
175	8	6	28722	-902
176	8	948	29516	-902
177	8	-95	29975	-901
178	8	-748	30864	-882
179	8	465	30873	-882
180	8	2317	30639	-488
181	8	2807	31367	-488
182	8	3213	32284	-488
183	8	3300	33244	-488
184	8	3143	34160	-488
185	8	2613	35108	-488
186	8	1039	36324	-902
187	8	304	37174	-902
188	8	120	36089	-902
189	8	-818	36776	-902
190	8	-760	35616	-882
191	8	787	35196	-882
192	8	1593	34519	-882
193	8	1979	32107	-882
194	8	1353	31274	-882
195	8	-1560	31462	-882
196	8	-1960	32289	-882
197	8	-2028	33942	-882
198	8	-1386	34709	-882
199	8	-2729	35055	-488
200	8	-3264	33617	-488
201	8	-3261	32673	-488
202	8	-2819	31383	-488
203	8	-714	32388	-973
204	8	223	32262	-946
205	8	786	33169	-912
206	8	-225	33205	-909
207	8	-1100	33287	-973
208	10	-29	37123	-888
