ClassID	Division	PosX	PosY	PosZ
1	0	1150	2634	38
2	0	182	2676	51
3	0	-780	2590	38
4	0	-790	2585	38
5	0	-1145	3474	38
6	0	-338	3443	48
7	0	782	3352	38
8	0	1360	3897	48
9	0	801	4326	38
10	0	25	4204	51
11	0	-838	4300	38
12	0	-1163	4980	38
13	0	-259	4967	51
14	0	549	4997	38
15	0	1263	5125	38
16	0	1336	6032	38
17	0	442	5977	48
18	0	-307	5969	51
19	0	-1129	5949	38
20	0	-1240	6774	38
21	0	-457	6818	48
22	0	303	6785	51
23	0	1135	6778	38
24	0	1245	7617	38
25	0	463	7661	48
26	0	-233	7621	51
27	0	-1105	7649	38
28	0	-932	8388	38
29	0	-41	8504	51
30	0	958	8366	38
31	1	61	10383	32
32	1	-844	10401	32
33	1	50	11282	62
34	1	-961	11377	62
35	1	-1784	11496	17
36	1	-991	12335	47
37	1	-1924	12507	-12
38	1	-2766	12548	-12
39	1	-2613	11489	17
40	1	-3250	11979	32
41	1	-3584	13031	32
42	1	-2273	13337	-12
43	1	-1213	13159	32
44	1	-332	13203	62
45	1	-739	13872	62
46	1	-1538	14183	32
47	1	-2453	14390	-12
48	1	-3214	14697	32
49	1	-1819	14911	2
50	1	-2598	15475	-12
51	1	-3126	15950	32
52	1	-1714	15818	17
53	1	-2317	16486	-12
54	1	-3157	16764	32
55	1	-2601	17450	-12
56	1	-3143	17897	32
57	1	-1687	17940	32
58	1	-1555	16947	32
59	1	-726	16125	32
60	1	-971	15023	62
61	1	159	16000	47
62	1	-448	16944	316
63	1	475	16967	316
64	1	972	15776	62
65	1	1405	16505	32
66	1	1573	17226	32
67	1	1683	18034	32
68	1	2690	17913	32
69	1	3025	17088	32
70	1	2273	17358	-12
71	1	2197	16258	-12
72	1	2989	16068	15
73	1	1937	15333	-12
74	1	1120	14936	32
75	1	2835	15133	2
76	1	3308	14704	32
77	1	2232	14458	-12
78	1	1269	14107	32
79	1	2027	13555	-12
80	1	2857	13741	2
81	1	3448	13484	32
82	1	3242	12782	32
83	1	2381	12680	-12
84	1	1361	12749	32
85	1	636	13407	62
86	1	241	14052	62
87	1	3269	11931	32
88	1	2212	11755	2
89	1	2829	11283	32
90	1	1444	11851	32
91	1	1178	11001	32
92	1	835	10382	32
93	1	853	12214	62
94	1	-2396	18254	32
101	10	-3352	11198	32
102	11	3363	11225	32
103	12	3338	16910	32
104	13	-3212	16869	32
500	100	-1295	2904	38
501	101	0	2157	51
502	102	1121	7955	38
503	103	-2345	12192	-12
504	104	2345	12192	-12
1001	201	0	5439	51
1002	202	0	13553	62
1003	203	-2332	13913	-12
1004	204	2358	13896	-12
