ClassID	Division	PosX	PosY	PosZ
1	1	150519	19114	12
2	2	151908	18698	17
3	3	152216	17486	2
4	4	153582	18418	18
5	5	153498	17175	6
6	1	155263	19661	0
7	2	155335	18389	0
8	3	155057	16988	16
9	4	155357	14803	12
10	5	154222	14154	0
11	1	154235	16043	-2
12	2	153201	15110	0
13	3	152522	14134	0
14	4	151380	15466	0
15	5	151018	14346	0
16	1	155437	-14270	0
17	2	154400	-14885	12
18	3	155463	-16041	0
19	4	155149	-17499	12
20	5	155225	-19006	16
21	1	153838	-18017	-5
22	2	154065	-16188	-5
23	3	152821	-15872	16
24	4	152551	-17483	0
25	5	153693	-19249	12
26	1	152181	-18989	0
27	2	150864	-18663	12
28	3	151365	-17147	6
29	4	151375	-15747	7
30	5	150986	-14477	0
31	1	116818	-18649	12
32	2	118104	-19622	8
33	3	118170	-18273	-5
34	4	119587	-18189	0
35	5	120539	-19576	0
36	1	121282	-18534	0
37	2	121291	-17251	0
38	3	120028	-16918	16
39	4	118344	-16746	0
40	5	116741	-16277	12
41	1	117055	-14048	0
42	2	117913	-15335	11
43	3	119305	-15712	2
44	4	120441	-15852	-5
45	5	121403	-14881	12
46	1	121421	14396	0
47	2	120016	13862	0
48	3	119795	14927	12
49	4	118430	14733	12
50	5	117211	13906	4
51	1	116770	15338	12
52	2	117065	16707	0
53	3	118571	16707	2
54	4	120976	16958	12
55	5	121268	19754	0
56	1	121142	18305	16
57	2	119663	18246	-5
58	3	118216	18301	-4
59	4	116804	18275	16
60	5	116716	19700	0
61	1	86944	19519	0
62	2	82973	19582	0
63	3	83710	18346	-5
64	4	85261	18267	0
65	5	87017	18549	6
66	1	86346	17234	0
67	2	84848	16832	16
68	3	82951	16784	6
69	4	83683	15451	0
70	5	85413	15549	0
71	1	86877	15969	2
72	2	87235	14509	0
73	3	85796	14022	8
74	4	84434	13960	0
75	5	82906	14325	0
76	1	87234	-19082	16
77	2	86054	-18432	-5
78	3	87092	-16941	16
79	4	87038	-14699	16
80	5	85985	-15662	-5
81	1	85515	-16963	12
82	2	84219	-16559	0
83	3	84576	-18233	0
84	4	84127	-19554	8
85	5	82658	-19466	0
86	1	82944	-18242	16
87	2	82936	-17137	16
88	3	83680	-15893	-5
89	4	82534	-16054	0
90	5	82988	-14334	0
91	1	51301	-17970	2
92	2	52954	-19370	0
93	3	53125	-17819	12
94	4	53331	-16390	9
95	5	53272	-14393	0
96	1	52417	-15652	-5
97	2	51333	-16891	6
98	3	51535	-19337	0
99	4	50105	-19107	16
100	5	48669	-18465	0
101	1	49875	-17150	16
102	2	48655	-16656	0
103	3	49903	-15662	-5
104	4	48647	-15075	0
105	5	48811	-13916	0
106	1	52965	18993	0
107	2	52169	17441	7
108	3	53420	14886	12
109	4	52146	15815	5
110	5	51990	14370	0
111	1	50718	16341	2
112	2	50736	14395	0
113	3	48640	14529	0
114	4	49743	15535	-5
115	5	48560	16350	9
116	1	49746	17023	16
117	2	49846	18583	0
118	3	48646	17749	9
119	4	48371	19181	12
120	5	49402	20001	0
121	1	14178	18982	0
122	2	18501	20341	4
123	3	19009	19193	16
124	4	18780	17782	0
125	5	16556	17685	0
126	1	17421	16450	0
127	2	19112	16093	16
128	3	19365	14387	0
129	4	17921	14919	16
130	5	16514	15540	0
131	1	16803	14103	0
132	2	15183	14731	12
133	3	15208	16368	0
134	4	14941	18014	16
135	5	15157	19692	0
136	1	19361	-14677	0
137	2	18352	-15328	9
138	3	19160	-16481	12
139	4	18314	-17515	15
140	5	19597	-18132	0
141	1	18533	-19208	12
142	2	17185	-17838	0
143	3	16853	-19165	16
144	4	16245	-17145	6
145	5	15755	-18851	2
146	1	14451	-18499	0
147	2	15225	-17148	6
148	3	16597	-16057	0
149	4	15266	-15869	8
150	5	15110	-14404	0
151	1	-19401	-15540	0
152	2	-18377	-16265	-5
153	3	-17499	-17360	0
154	4	-19047	-17827	6
155	5	-18998	-19364	0
156	1	-17375	-18759	0
157	2	-16388	-19879	0
158	3	-16160	-17984	-5
159	4	-14749	-19188	16
160	5	-14537	-17614	9
161	1	-15392	-16517	0
162	2	-16607	-15554	0
163	3	-15107	-15329	2
164	4	-15009	-14137	0
165	5	-15400	19424	0
166	1	-14783	18048	16
167	2	-15825	17344	0
168	3	-14403	15381	0
169	4	-15777	16013	-5
170	5	-15544	14517	0
171	1	-17061	14492	0
172	2	-17075	15975	16
173	3	-18711	14615	0
174	4	-18654	16066	13
175	5	-17689	17224	0
176	1	-16874	18263	16
177	2	-18070	18378	-5
178	3	-18920	17327	0
179	4	-19353	18648	0
180	5	-18642	19979	0
181	6	-16997	-16976	16
182	7	-16995	17005	16
183	8	17001	17020	16
184	9	17008	-16968	16
185	10	50996	-16996	16
186	11	50996	17017	16
187	12	85006	16992	16
188	13	85004	-16986	16
189	14	119000	-16978	16
190	15	119007	17020	16
191	16	153015	17003	16
192	17	153006	-16987	16
