ClassID	Division	PosX	PosY	PosZ
1	0	9457	-4855	-40
2	0	9611	4533	-40
3	0	8548	4434	-40
4	0	7221	4404	-40
5	0	5985	4095	-9
6	0	4989	4484	-40
7	0	4195	4484	-40
8	0	2995	4052	-9
9	0	3001	-4154	-9
10	0	5968	-4127	-10
11	0	4206	-4541	-40
12	0	4841	-4590	-40
13	0	7510	-4688	-40
14	0	8623	-4630	-40
15	0	11239	-2251	139
16	0	11069	2320	90
17	1	11500	0	300
18	0	10063	-988	300
19	0	10037	1021	300
20	0	9834	-52	300
21	0	8302	-515	10
22	0	8310	484	10
23	0	6655	13	10
24	0	5403	-528	9
25	0	5406	571	10
26	0	-4484	-26	-150
27	0	-5685	-448	9
28	0	-5750	378	9
29	0	-6931	16	9
30	0	-8458	-522	8
31	0	-8406	460	8
32	0	-9350	-493	8
33	0	-9366	395	8
