ClassID	Division	PosX	PosY	PosZ
1	0	14362	-19793	1
2	0	-11259	17658	2
3	0	-12056	17012	2
4	0	-10713	16798	3
5	0	-11479	16190	3
6	0	-10250	15296	4
7	0	-9239	14797	4
8	0	-10028	14058	4
9	0	-8738	13920	4
10	0	-9480	13417	4
11	0	-8303	13283	5
12	0	-9098	12678	5
13	0	-8213	12299	5
14	0	-7233	11720	6
15	0	-8022	11136	6
16	0	-6677	11096	6
17	0	-7515	10450	6
18	0	-6170	10384	6
19	0	-7004	9683	7
20	0	-5973	9101	7
21	0	-4855	8359	8
22	0	-5664	7736	8
23	0	-4233	7575	8
24	0	-5084	6945	8
25	0	-3616	6788	8
26	0	-4475	6061	9
27	0	4828	-153	9
28	0	3781	2400	-500
29	0	1901	4619	-90
30	0	-2861	4850	9
31	0	-4411	529	-39
32	0	-2852	-2303	-500
33	0	-1056	-4499	10
34	0	4816	-2549	9
35	0	1373	-4791	10
36	0	3628	-4477	9
37	0	4921	-5540	8
38	0	4162	-6154	8
39	0	5597	-6584	8
40	0	4842	-7134	8
41	0	6268	-7460	8
42	0	5565	-7989	7
43	0	6515	-8592	7
44	0	7404	-9107	7
45	0	6734	-9719	7
46	0	7921	-9850	6
47	0	7234	-10533	6
48	0	8568	-10891	6
49	0	7843	-11471	6
50	0	8844	-12061	5
51	0	9762	-12518	5
52	0	9042	-13121	5
53	0	10410	-13375	4
54	0	9715	-14053	4
55	0	10707	-13962	4
56	0	9997	-14537	4
57	0	10892	-14919	4
58	0	11746	-15298	3
59	0	10998	-15931	3
60	0	12192	-16075	3
61	0	11500	-16654	3
62	0	12633	-16651	3
63	0	11992	-17211	3
64	0	13200	-17398	2
65	0	12472	-18080	2
66	0	13350	-18484	2
67	0	14310	-18948	2
68	0	13550	-19534	2
