ClassID	Division	PosX	PosY	PosZ
1	0	-17147	11949	479
2	0	-15350	12905	366
3	0	-13141	15370	133
4	0	-11396	16361	78
5	0	-11256	14754	36
6	0	-13226	13869	137
7	0	-15055	10982	270
8	0	-12949	10383	519
9	0	-11313	11011	361
10	0	-9639	13397	201
11	0	-9610	10911	270
12	0	-7424	8772	586
13	0	-6401	7697	664
14	0	-7122	6508	679
15	0	-7820	5009	781
16	0	-8046	2433	818
17	0	-7102	1272	818
18	0	-6804	3619	818
19	0	-8977	3596	818
20	0	-9050	1358	818
21	0	-7830	-37	815
22	0	-8015	-1833	1059
23	0	1920	-12046	-408
24	0	-3173	-24356	-505
25	0	-1392	-25588	-673
26	0	450	-24916	-693
28	0	1700	-23223	-824
29	0	178	-22578	-802
30	0	-3525	-22529	-655
31	0	-1758	-22020	-668
32	0	-3701	-20569	-638
33	0	-2209	-19945	-526
34	0	-740	-20463	-773
35	0	611	-21213	-905
36	0	2328	-20572	-808
37	0	1810	-18816	-750
38	0	370	-18811	-735
39	0	-1640	-18062	-412
40	0	147	-17248	-676
41	0	-11309	13041	118
42	0	-13416	12080	261
43	0	-14733	16258	269
44	0	-16654	15512	274
45	0	-17461	13909	506
46	0	-24691	-5886	3996
47	0	-26077	-5716	4254
48	0	-25832	-7912	5159
49	0	-26519	-6994	4744
50	0	-27818	-5747	4691
51	0	-29131	-5349	5069
52	0	-30500	-5627	5194
53	0	-32111	-5692	5228
54	0	-33748	-5682	5208
55	0	-36837	-6355	5380
56	0	-35224	-6698	5237
57	0	-36047	-5571	5317
58	0	-38415	-5202	5668
59	0	-41184	-3072	5681
60	0	-39937	-5124	5681
61	0	-39841	-3252	5681
62	0	-38481	-3346	5681
63	0	-39613	-1822	5681
64	0	-41480	-464	6007
65	0	-41001	980	6372
66	0	-40701	2392	6421
67	0	-40267	5066	6661
68	0	-40354	3598	6421
69	0	739	-14838	-397
70	0	-103	-13712	-397
71	0	-276	-12433	-306
72	0	-1734	-11796	-320
73	0	-3198	-10753	24
74	0	-4791	-10019	92
75	0	-4961	-8724	92
76	0	-5950	-8056	105
77	0	-7144	-5902	672
78	0	-9075	-3115	1306
79	0	-8175	-4125	1306
80	0	-9455	-5249	1306
81	0	-10237	-4393	1306
82	0	-11126	-5735	1318
83	0	-13864	-5872	1855
84	0	-15486	-6268	2017
85	0	-16145	-5114	2017
86	0	-16901	-6063	2017
87	0	-18961	-5602	2025
88	0	-20334	-5713	1965
89	0	-22483	-5199	2831
90	0	-21817	-6059	2412
91	0	-23782	-6272	3650
92	0	19952	-6493	-2966
93	0	21889	-6877	-3099
94	0	21669	-8388	-3099
95	0	20044	-8832	-3099
96	0	23335	-8316	-3099
97	0	21253	-10223	-3099
98	0	23638	-11211	-3385
99	0	22435	-12968	-3564
100	0	22900	-14622	-3681
101	0	21577	-15595	-3681
102	0	22375	-17088	-3681
103	0	22804	-18548	-3924
104	0	23485	-19928	-4053
105	0	-3626	8943	334
106	0	-523	8370	303
107	0	-1940	7620	303
108	0	-1846	9167	303
109	0	555	9303	303
110	0	795	7220	303
111	0	4858	-8702	-882
113	0	720	1359	-697
114	0	-278	2882	-632
115	0	-560	-3808	-770
116	0	-2504	-2539	-755
117	0	-86	-7109	-534
118	0	535	-5960	-581
119	0	2083	-2940	-605
120	0	-1058	1231	-814
121	0	1068	-526	-790
122	0	1026	-2617	-789
123	0	-1392	-841	-833
124	0	1200	-4531	-507
125	0	-676	-5120	-620
126	0	-1981	-4409	-402
127	0	13087	-5912	-1876
128	0	15079	-5508	-2312
129	0	16103	-6741	-2392
130	0	17958	-6052	-2564
131	0	7533	6749	-480
132	0	8501	5353	-675
133	0	9705	4159	-772
134	0	9725	2159	-772
135	0	8246	3322	-772
136	0	8770	635	-900
137	0	8565	-933	-1385
138	0	8796	-2507	-1631
139	0	10397	-4207	-1619
140	0	10666	-2453	-1619
141	0	12141	-3849	-1619
142	0	10690	-5609	-1619
143	0	8708	-4248	-1619
144	0	8885	-5986	-1638
145	0	6845	-7519	-908
146	0	6179	-8674	-882
147	0	4827	-7457	-882
148	0	3289	-9165	-882
149	0	4755	-10241	-882
150	0	3429	-11249	-789
151	0	2355	8680	249
152	0	3871	8733	-82
153	0	12728	13477	-1040
154	0	13432	12071	-823
155	0	12383	15044	-1130
156	0	15051	15809	-930
157	0	16831	15742	-866
158	0	17793	13940	-653
159	0	15354	10315	-797
160	0	17090	12239	-747
161	0	5581	8399	-458
162	0	7432	8649	-560
163	0	9128	9663	-656
164	0	10370	10687	-811
165	0	13172	9997	-576
166	0	11702	11956	-876
167	0	10201	14249	-936
168	0	12897	16415	-1007
169	0	14065	14202	-947
170	0	14969	11666	-829
171	1	-603	-2712	-759
172	2	-15055	15104	203
173	3	15681	12970	-787
174	4	-646	-24109	-748
175	9	21109	-8452	-3078
176	9	5810	-8441	-882
177	9	10964	-3262	-1619
178	9	8894	3375	-772
179	9	-1523	8360	303
180	9	-1154	8121	303
181	9	-7444	8535	586
182	9	-8425	1834	818
183	9	-9500	-4295	1306
184	9	-16613	-5597	2017
185	9	-28010	-5446	4757
186	9	-36386	-5722	5345
187	9	-39396	-2939	5681
