ClassID	Division	PosX	PosY	PosZ
1	0	-8506	9568	-1234
2	0	-6658	7666	-1173
3	0	-5428	7519	-1173
4	0	-3180	8428	-947
5	0	-2496	10553	-921
6	0	-2324	9290	-914
7	0	-3590	10061	-991
8	0	-4615	10275	-1086
9	0	-5742	10140	-1215
10	0	-6386	11255	-1194
11	0	-7765	11722	-1164
12	0	-8909	11294	-1207
13	0	-9399	10139	-1198
14	1	-9388	9050	-1192
15	0	-11015	10718	-1159
16	0	-12052	7584	-1071
17	0	-11644	9195	-1138
18	0	-13785	11313	-1107
19	0	-14913	10920	-1090
20	0	-16135	8614	-826
21	0	-16215	10545	-934
22	0	-16025	9595	-1011
23	0	-10686	93	-714
24	0	-10146	-766	-681
25	0	-9491	512	-630
26	0	-8487	136	-698
27	0	-7600	-1270	-642
28	0	-7349	-265	-829
29	0	-2730	18	-627
30	0	-6312	677	-645
31	1	-5579	-1347	-825
32	0	-3756	-143	-698
33	0	-3923	-813	-690
34	0	19954	-9436	-680
35	0	19213	-9629	-653
36	0	17612	-9355	-585
37	0	16841	-9124	-698
38	0	16283	-7500	-559
39	0	15995	-6259	-401
40	0	16154	-4271	-556
41	0	16135	-2959	-677
42	0	16379	-763	-858
43	1	15278	2037	-891
44	0	16205	3605	-837
45	0	15309	5206	-674
46	0	15759	7184	-603
47	0	15720	8395	-619
48	0	15087	9406	-601
49	0	14150	9919	-649
50	0	12630	9412	-662
51	0	11560	9738	-752
52	0	10319	9811	-974
53	0	8586	9890	-794
54	0	7123	9786	-791
55	0	5880	9785	-770
56	0	4805	9742	-903
57	1	3974	9686	-1148
58	0	2621	9702	-834
59	0	906	9512	-714
60	0	300	9651	-767
61	0	-785	9678	-758
62	0	-2027	9801	-890
63	0	-3390	9739	-990
64	0	-4837	10155	-1124
65	0	-5921	9055	-1216
66	0	-6751	656	-631
67	0	-6626	2207	-214
68	0	-6549	3085	16
69	0	-6616	4018	14
70	0	-6670	4733	-202
71	0	-6597	5697	-656
72	0	-9036	9556	-1235
73	0	-10809	9429	-1163
74	0	-12434	9479	-1098
75	0	-14182	10575	-1201
76	0	-15641	10312	-1057
77	0	-17022	9689	-899
78	0	-18460	9546	-741
79	0	-19999	9721	-620
80	0	-21149	9734	-550
81	0	-22144	9710	-602
82	0	-22907	9889	-874
83	0	-24483	8567	-913
84	0	-24628	7518	-899
85	0	-24640	6365	-722
86	0	-24688	5212	-594
87	0	-24488	4564	-623
88	0	-23881	3901	-635
89	0	-23126	3634	-589
90	0	-22317	3417	-612
91	0	-21208	3247	-630
92	0	-20081	3038	-630
93	1	-19181	3073	-627
94	0	-18154	2884	-613
95	0	-17067	3039	-592
96	0	-15544	2660	-535
97	0	-15165	1949	-579
98	0	-14807	1049	-608
99	0	-14194	250	-618
100	0	-13324	-37	-628
101	0	-12118	-162	-629
102	0	-11175	-216	-671
103	0	-10207	-311	-730
104	0	-9005	266	-681
105	0	-8187	-195	-731
106	0	-7129	-230	-848
107	0	-6205	-244	-1009
108	0	-4923	-175	-1018
109	0	-3350	288	-613
110	0	-3312	-601	-640
111	0	-2638	-68	-628
112	0	-2063	288	-609
113	0	-1973	-383	-628
114	0	-1251	-18	-628
115	0	-619	377	-608
116	0	-606	-340	-628
117	0	241	143	-754
118	0	1275	991	-988
119	0	1040	218	-915
120	0	2500	539	-1184
121	0	3561	-957	-989
122	0	2329	-690	-898
123	0	2862	-1479	-876
124	0	2199	-2587	-635
125	0	1455	-3770	-290
126	0	1227	-4730	-230
127	0	1265	-5541	-328
128	0	1753	-6388	-474
129	0	2023	-7122	-579
130	1	1650	-7820	-626
131	0	1299	-8354	-629
132	0	355	-8504	-623
133	0	-912	-8350	-625
134	0	-1542	-8451	-630
135	0	-2389	-8515	-629
136	0	-3355	-8606	-630
137	0	-3998	-8705	-630
138	0	-4885	-8831	-629
139	0	-5792	-8910	-630
140	0	-6788	-8819	-629
141	0	-8047	-8904	-694
142	0	-8779	-9284	-807
143	0	-8795	-8437	-877
144	0	-10461	-9447	-844
145	0	-10618	-7995	-843
146	0	-11658	-10016	-759
147	0	-11625	-7685	-857
148	0	-12890	-9983	-1000
149	0	-12710	-7841	-1090
150	0	-14274	-9687	-888
151	0	-13869	-8151	-1234
152	0	-13813	-9035	-1311
153	0	-15819	-9926	-1117
154	0	-15691	-8266	-1258
155	0	-17110	-10356	-1074
156	0	-17093	-7820	-1213
