ClassID	Division	PosX	PosY	PosZ
1	0	1669	-8386	1530
2	0	-1057	1210	37
3	0	1517	1376	31
4	0	10388	-6959	1972
5	0	10665	-8242	2003
6	0	10743	-11155	2150
7	0	8381	-11993	2516
8	0	5378	-12636	2366
9	0	4120	-12744	2298
10	0	850	-5411	756
11	0	562	-4030	586
12	0	346	-2372	333
13	0	200	-815	191
14	0	284	374	110
15	0	-980	502	134
16	0	-1229	1975	-127
17	0	2124	1935	-136
18	0	1443	480	142
19	0	237	1876	144
20	0	246	3406	148
21	0	-1273	3249	142
22	0	1822	3305	88
23	0	263	4978	137
24	0	316	-8351	1123
25	0	-2210	-10671	1610
26	0	-3118	-11688	1798
27	0	-3103	-13226	1730
28	0	-2526	-14782	1579
29	0	-158	-16222	1117
30	0	1798	-17667	861
31	0	2547	-19781	1052
32	0	6456	-8173	1948
33	0	5150	-8538	1959
