ClassID	Division	PosX	PosY	PosZ
1	0	-15108	-1871	2899
2	0	-14583	-619	2794
3	0	-11912	-89	2719
4	0	-11896	1291	2514
5	0	-11065	2365	2212
6	0	-9763	2905	1902
7	0	-8833	3219	1533
8	0	-7383	2791	907
9	0	-5554	525	265
10	0	-5296	-1385	198
11	0	-3689	-1846	2
12	0	19844	-15704	651
13	0	7230	-17788	547
14	0	8164	-17161	307
15	0	8790	-15342	232
16	0	9415	-14011	-65
17	0	9733	-12331	-19
18	0	10036	-10947	57
19	0	10060	-9686	45
20	0	10039	-8364	39
21	0	10044	-6799	52
22	0	10082	-5074	61
23	0	10087	-3636	62
24	0	6998	-1379	11
25	0	8439	-2310	11
26	0	10070	-2369	11
27	0	11965	-2221	10
28	0	14603	-2138	10
29	0	16329	-1941	10
30	0	16344	-5474	42
31	0	16344	-6626	58
32	0	16388	-9698	66
33	0	17056	-11084	-57
34	0	18139	-12212	115
35	0	18666	-13385	344
36	0	19265	-14516	441
37	0	5444	-1242	9
38	0	4277	-1309	8
39	0	2958	-1206	10
40	0	2000	-1528	1
41	0	779	-998	11
42	0	-319	-234	18
43	0	-2513	-1221	2
44	0	-1597	-530	1
45	0	-2793	-207	11
46	0	-2245	815	11
47	0	-1349	506	8
48	0	-412	913	19
49	0	-163	2097	21
50	0	32	3115	21
51	0	127	4507	21
52	0	340	5663	21
53	0	-584	5255	21
54	0	-1138	5965	19
