ClassID	Division	PosX	PosY	PosZ
1	0	-16741	17001	1648
2	0	-13233	16067	1580
3	0	-18042	10758	3270
4	0	-19609	14012	2007
5	0	-19703	18473	1936
6	0	-19421	21933	1949
7	0	-16662	21901	1661
8	0	-14122	21257	1608
9	0	-10283	19374	1774
10	0	-13674	11710	1798
11	1	6208	-20639	-225
12	1	4440	-14599	-224
13	1	20	-18177	-321
14	1	-204	-14453	-162
15	1	-5772	-14333	-232
16	1	-5087	-17840	-283
17	1	-4268	-22009	-319
18	1	-40	-20797	-329
19	2	-11596	9171	1748
20	2	-10904	2963	1385
21	2	-15938	-798	1665
22	2	-17815	-6583	1121
23	2	-14278	-9808	362
24	2	-8758	-13456	-220
