ClassID	Division	PosX	PosY	PosZ
1	0	-20	9516	2478
2	0	2383	8749	2019
3	0	3901	8842	2093
4	0	4011	7255	2230
5	0	1824	7119	2000
6	0	1679	208	1910
7	0	1837	2148	1913
8	0	1983	3839	1913
9	0	2101	5422	1913
10	0	1046	6615	1922
11	0	-70	7673	2028
12	0	-6091	12032	2036
13	0	-5314	10227	2021
14	0	-4040	8997	1989
15	0	-3000	7771	1924
16	0	-2013	6931	1896
17	0	-2049	5290	1913
18	0	-1916	3316	1913
19	0	-1785	1412	1913
20	0	-1644	-65	1913
21	0	-5	5914	1852
22	0	-4	4444	1750
23	0	27	2411	1743
24	0	81	343	1564
25	0	1586	-980	1687
26	0	42	-805	1499
27	0	-1434	-1523	1549
28	0	-654	-2689	1451
29	0	290	-2059	1452
30	0	1657	-1918	1504
31	0	976	-3003	1451
32	0	-1174	-3581	1449
33	0	-209	-6292	1436
34	0	-621	-4478	1451
35	0	2345	-7137	1563
36	0	1430	-6541	1538
37	0	493	-5416	1463
38	0	-1013	-5468	1408
39	0	-2092	-6838	1248
