ClassID	Division	PosX	PosY	PosZ
1	0	2074	3576	2743
2	0	2826	4676	2730
3	0	3381	5560	2742
4	0	3439	4587	2724
5	0	2898	3797	2734
6	0	1192	2368	2735
7	0	-103	2292	2752
8	0	-732	2265	2732
9	0	-1511	2590	2747
10	0	-2156	3089	2738
11	0	-2703	3719	2744
12	0	-2980	4697	2751
13	0	-3189	5397	2733
14	0	-3842	4858	2765
15	0	-3504	4011	2761
16	0	-3565	3119	2791
17	0	-2757	2590	2764
18	0	-2164	2013	2759
19	0	-1476	1851	2748
20	0	445	2170	2728
21	0	-113	1629	2650
22	0	-783	1676	2650
23	0	272	1135	2605
24	0	1417	1810	2742
25	0	1879	2529	2749
26	0	2372	3054	2726
27	0	3078	3400	2670
28	0	3586	2636	2445
29	0	3411	1958	2361
30	0	3987	1625	2285
31	0	4005	844	2271
32	0	4092	12	2270
33	0	3735	-615	2232
34	0	3224	-1198	2158
35	0	2630	-1473	2076
36	0	2002	-1850	1941
37	0	1340	-1874	1902
38	0	553	-1936	1867
39	0	-270	-2056	1832
40	0	-391	1082	2518
41	0	-711	348	2301
42	0	-926	-144	2130
43	0	-1188	-785	1934
44	0	-1550	-1174	1784
45	0	-917	-2001	1768
46	0	-1724	-1667	1640
47	0	-2334	-1916	1460
48	0	-3064	-2229	1266
49	0	-3759	-2656	1145
50	0	-131	-4435	1111
51	0	-3871	-3367	1076
52	0	-3346	-3158	1113
53	0	-3623	-3958	1040
54	0	-2777	-3825	1082
55	0	-2095	-4149	1070
56	0	-1497	-4561	1055
57	0	1423	-4791	1079
58	0	-745	-4891	1110
59	0	141	-5015	1038
60	0	1822	-5465	988
61	0	911	-5533	974
62	0	1180	-6251	948
63	0	451	-6652	893
64	0	1121	-7038	867
65	0	438	-7392	788
66	0	57	-7841	698
67	0	832	-8547	725
68	0	334	-9390	670
69	0	-416	-9880	685
70	0	388	-10087	706
71	0	73	-11097	728
