ClassID	Division	PosX	PosY	PosZ
1	0	-19496	-9698	-2010
2	0	-18817	-10197	-2010
3	0	-18010	-10197	-2010
4	0	-17223	-10191	-2010
5	0	-16500	-9703	-2010
6	0	-15997	-8893	-2000
7	0	-16009	-8227	-2010
8	0	-16014	-7468	-2010
9	0	-16509	-6710	-2010
10	0	-17265	-6201	-2010
11	0	-18074	-6193	-2000
12	0	-18712	-6199	-2000
13	0	-19503	-6696	-2010
14	0	-20010	-7531	-2000
15	0	-20002	-8830	-2000
16	0	-20007	-8200	-2000
17	0	-17517	-8201	-1910
18	0	-18500	-8201	-1910
19	0	-18007	-8697	-1910
20	0	-18009	-7704	-1910
21	1	-19500	6709	-2010
22	1	-18846	6201	-2010
23	1	-18008	6197	-2000
24	1	-17281	6202	-2010
25	1	-16492	6708	-2010
26	1	-16001	7328	-2010
27	1	-16001	8164	-2010
28	1	-15997	8913	-2000
29	1	-16506	9696	-2010
30	1	-19507	9710	-2010
31	1	-17151	10196	-2010
32	1	-17995	10199	-2010
33	1	-18712	10199	-2010
34	1	-20002	7356	-2000
35	1	-19990	9057	-2010
36	1	-19992	8193	-2010
37	1	-17519	8195	-1910
38	1	-18506	8200	-1910
39	1	-18007	7696	-1910
40	1	-18006	8694	-1910
41	2	-16509	16687	-2010
42	2	-15996	17704	-2000
43	2	-15995	18812	-2000
44	2	-15985	18191	-2000
45	2	-16502	19696	-2010
46	2	-17352	20192	-2010
47	2	-18633	20193	-2010
48	2	-17993	20190	-2010
49	2	-19492	19681	-2010
50	2	-19997	18901	-2010
51	2	-19986	17563	-2010
52	2	-20002	18065	-2000
53	2	-19489	16680	-2010
54	2	-18645	16199	-2000
55	2	-17332	16197	-2000
56	2	-17997	16196	-2000
57	2	-17493	18191	-1910
58	2	-17996	17684	-1910
59	2	-18497	18195	-1910
60	2	-17998	18690	-1910
61	3	-19500	-19693	-2010
62	3	-18658	-20192	-2010
63	3	-17387	-20199	-2010
64	3	-18002	-20183	-2010
65	3	-16501	-19670	-2010
66	3	-15997	-18864	-2000
67	3	-16009	-18282	-2010
68	3	-16000	-17610	-2010
69	3	-20010	-18895	-2000
70	3	-20000	-17467	-2010
71	3	-19991	-18074	-2010
72	3	-16518	-16693	-2010
73	3	-19497	-16685	-2010
74	3	-17369	-16195	-2000
75	3	-18593	-16193	-2000
76	3	-18004	-16195	-2000
77	3	-18012	-17694	-1910
78	3	-18487	-18175	-1910
79	3	-18019	-18700	-1910
80	3	-17490	-18190	-1910
81	4	-9503	6683	-2010
82	4	-8617	6200	-2010
83	4	-7343	6197	-2000
84	4	-7990	6201	-2010
85	4	-6518	6684	-2010
86	4	-6010	7574	-2010
87	4	-6002	8835	-2010
88	4	-6014	8204	-2010
89	4	-6505	9674	-2010
90	4	-7373	10189	-2010
91	4	-8596	10195	-2010
92	4	-8071	10175	-2010
93	4	-9521	9697	-2010
94	4	-10010	8849	-2000
95	4	-10002	7606	-2000
96	4	-10011	8195	-2000
97	4	-8504	8194	-1910
98	4	-8010	7702	-1910
99	4	-7511	8202	-1910
100	4	-8010	8695	-1910
101	5	-9505	-9691	-2010
102	5	-8689	-10197	-2010
103	5	-7424	-10186	-2010
104	5	-7985	-10194	-2010
105	5	-6507	-9713	-2010
106	5	-6018	-8832	-2010
107	5	-6014	-7593	-2010
108	5	-6016	-8211	-2010
109	5	-6511	-6701	-2010
110	5	-7402	-6213	-2010
111	5	-8616	-6211	-2010
112	5	-8015	-6230	-2010
113	5	-9522	-6701	-2010
114	5	-10005	-7726	-2000
115	5	-9997	-8799	-2010
116	5	-10018	-8199	-2000
117	5	-8515	-8207	-1910
118	5	-8009	-8698	-1910
119	5	-7512	-8201	-1910
120	5	-8013	-7714	-1910
121	6	501	6706	-2010
122	6	1483	6211	-2010
123	6	2654	6204	-2010
124	6	1988	6195	-2000
125	6	3500	6696	-2010
126	6	3980	7622	-2010
127	6	3999	8811	-2010
128	6	4009	8190	-2000
129	6	3499	9700	-2010
130	6	2651	10210	-2000
131	6	1340	10196	-2010
132	6	1850	10194	-2010
133	6	500	9688	-2010
134	6	-7	8825	-2000
135	6	-9	7578	-2000
136	6	1	8194	-2010
137	6	1486	8186	-1910
138	6	1982	7691	-1910
139	6	2489	8193	-1910
140	6	1992	8697	-1910
141	7	487	-9699	-2010
142	7	1517	-10203	-2000
143	7	2598	-10208	-2000
144	7	1987	-10193	-2010
145	7	3502	-9694	-2010
146	7	3993	-8799	-2010
147	7	3991	-7582	-2010
148	7	4000	-8201	-2010
149	7	3502	-6697	-2010
150	7	2639	-6191	-2000
151	7	1386	-6202	-2010
152	7	1990	-6217	-2010
153	7	494	-6721	-2010
154	7	-7	-8766	-2000
155	7	-5	-7565	-2000
156	7	15	-8203	-2010
157	7	1483	-8214	-1910
158	7	1994	-8698	-1910
