ClassID	Division	PosX	PosY	PosZ
1	0	-6508	-17574	10
2	0	-6514	-16306	0
3	0	-6007	-15524	0
4	0	-3861	-15510	0
5	0	-1622	-16136	0
6	0	-1589	-14890	0
7	0	175	-15520	0
8	0	1323	-16166	0
9	0	1434	-14873	0
10	0	2243	-15504	0
11	0	3974	-15496	0
12	0	5429	-15510	0
13	0	6492	-14669	0
14	0	6498	-12641	0
15	0	6502	-11114	0
16	0	4860	-10540	0
17	0	3185	-10500	0
18	0	1036	-10511	0
19	0	-1173	-10486	0
20	0	-2534	-9904	0
21	0	-2407	-11305	0
22	0	-3313	-10567	0
23	0	-6488	-10514	0
24	0	-7498	-8794	0
25	0	-7495	-6964	0
26	0	-7498	-4875	0
27	0	-7198	-3541	0
28	0	-5507	-3492	0
29	0	-3787	-3972	0
30	0	-1137	-3892	0
31	0	509	-5811	0
32	0	357	-2152	0
33	0	1350	-4061	0
34	0	2350	-4072	0
35	0	4191	-4311	0
36	0	4402	-3634	0
37	0	6705	-3494	0
38	0	7484	-2292	0
39	0	7485	-426	0
40	0	7505	1357	0
41	0	7251	2401	0
42	0	6099	2456	0
43	0	4750	2472	0
44	0	640	2463	0
45	0	1671	3250	0
46	0	1795	1701	0
47	0	2664	2440	0
48	0	-1551	2463	0
49	0	-3952	2567	0
50	0	-5391	2580	0
51	0	-6543	3295	0
52	0	-6513	5267	0
53	0	-6481	6504	0
54	0	-5905	7515	0
55	0	-4866	7523	0
56	0	-3702	7579	0
57	0	-1651	7235	0
58	0	-1687	8208	0
59	0	241	7112	0
60	0	289	8088	0
61	0	1773	6829	0
62	0	1708	8133	0
63	0	2489	7478	0
64	0	4793	7497	0
65	0	6478	7927	0
66	0	6459	10208	0
67	0	6248	11999	0
68	0	5115	12209	-20
69	0	5104	13502	-20
70	0	5028	14833	-20
71	0	6384	15005	0
72	0	7875	14688	-20
73	0	7810	13294	-20
74	0	7474	12103	-20
