ClassID	Division	PosX	PosY	PosZ
1	3	-4828	-10461	-285
2	3	-4632	-9084	-285
3	3	-5656	-10262	-297
4	3	-5998	-10194	-298
5	3	-4762	-9870	-288
6	3	-5976	-8760	-286
7	3	-5261	-8323	-263
8	3	-5179	-8961	-296
9	3	-4827	-8595	-290
10	3	-4521	-9575	-284
11	3	-5151	-10212	-290
12	3	-5662	-9174	-297
13	3	-5279	-9761	-296
14	3	-5997	-9185	-297
15	3	-5743	-8421	-263
16	3	-5186	-9316	-295
17	3	-1367	-13273	-4
18	3	-1054	-13435	18
19	3	-1648	-13224	-42
20	3	-1552	-12848	-69
21	3	-1031	-13105	2
22	3	-1327	-12569	-66
23	3	-651	-12844	-25
24	3	-1156	-12803	-35
25	3	1760	-13985	316
26	3	1988	-13778	306
27	3	1369	-13729	241
28	3	1552	-13135	203
29	3	1774	-13475	264
30	3	3457	-14223	512
31	3	3243	-14624	534
32	3	3707	-14542	560
33	3	3402	-14497	532
34	3	3312	-14932	572
35	3	3036	-14937	548
36	3	3830	-17728	886
37	3	4626	-17427	873
38	3	3378	-17477	894
39	3	3532	-17748	905
40	3	3794	-17484	851
41	3	3608	-17279	836
42	3	3927	-17185	818
43	3	4272	-17026	812
44	3	4408	-17211	837
45	3	4586	-17027	816
46	3	4890	-17046	819
47	3	4867	-17308	857
48	3	5151	-17309	863
49	4	4235	-17572	859
50	3	4061	-20566	1426
51	3	4338	-20797	1422
52	3	4872	-20663	1434
53	3	4340	-20418	1372
54	3	4728	-20384	1342
55	3	4352	-21050	1446
56	3	3984	-20810	1442
57	3	4656	-20877	1431
58	3	4917	-21068	1490
