ClassID	Division	PosX	PosY	PosZ
26	0	3566	-2426	4
27	0	4806	-2318	67
28	0	6295	-2404	19
29	0	9267	-2620	0
30	0	11678	-2090	-14
31	0	9429	2258	0
32	0	8178	2588	0
33	0	6752	2200	0
34	0	4915	2283	77
35	0	3244	2357	0
36	0	1567	2335	0
37	0	2393	-2177	7
38	0	1249	-1287	12
39	0	1305	1190	0
40	0	1505	20	9
41	0	2342	-1062	30
42	0	2647	988	12
43	0	2417	-42	111
44	0	3662	-1267	72
45	0	3909	804	23
46	0	3642	-193	67
47	0	4910	-1192	44
48	0	4915	-264	38
49	0	5350	645	0
50	0	6540	590	0
51	0	6304	-439	0
52	0	6388	-1229	0
53	0	7681	-1338	0
54	0	7617	-382	0
55	0	8103	379	21
56	0	8745	-284	0
57	0	8800	-1246	0
58	0	10003	-1134	0
59	0	10046	-83	0
60	0	10089	1137	0
61	0	11153	-999	0
62	0	11223	135	0
63	0	11314	1214	0
64	0	12665	1328	0
65	0	12539	-1291	0
66	0	12539	-18	0
