ClassID	Division	PosX	PosY	PosZ
1	0	687	-1842	0
2	0	1995	22	0
3	0	711	1892	0
4	0	-1553	1232	0
5	0	-1526	-1244	0
6	0	-1559	22	0
7	0	-402	-1510	0
8	0	1320	-862	0
9	0	-428	1584	0
10	0	1309	938	0
11	0	851	40	0
12	0	306	-792	0
13	0	-652	-527	0
14	0	-662	516	0
15	0	311	785	0
16	0	-491	-2985	11
17	0	468	-2997	12
18	0	1388	-2727	16
19	0	2150	-2155	14
20	0	2696	-1377	11
21	0	2974	-483	9
22	0	2970	479	8
23	0	2690	1362	9
24	0	2142	2136	11
25	0	1383	2694	11
26	0	488	2998	13
27	0	-460	2992	11
28	0	-1369	2698	11
29	0	-2135	2148	11
30	0	-2682	1381	9
31	0	-2992	478	11
32	0	-2995	-464	11
33	0	-2696	-1363	10
34	0	-2150	-2118	9
35	0	-1383	-2686	10
