ClassID	Division	PosX	PosY	PosZ
1	0	2436	8237	51
2	0	1620	7557	157
3	0	516	6752	193
4	0	-785	6474	193
5	0	-1412	7525	175
6	0	-2399	8250	52
7	0	-6150	8592	0
8	0	-5100	8606	0
9	0	-4116	8586	0
15	0	-8069	5123	0
16	0	-7895	4353	56
18	0	7988	4849	0
25	0	1156	5328	-199
26	0	2026	5294	-199
27	0	2889	5284	-199
29	0	3472	8193	0
30	0	3368	7158	0
31	0	3469	6053	-101
32	0	3403	4252	-70
33	0	3407	4258	-71
34	0	3423	3228	100
35	0	3427	2222	86
37	0	4989	1929	0
38	0	4112	1159	0
39	0	3383	1107	0
41	0	967	1637	243
42	0	1424	147	300
43	0	2433	179	287
44	0	3334	148	253
45	0	4216	166	278
46	0	5212	81	299
47	0	7130	153	447
48	0	6166	-63	299
49	0	6159	-936	140
50	0	5613	-985	68
51	0	6497	-2365	122
52	0	5930	-2306	8
53	0	5094	-1885	0
54	0	4376	-1135	0
55	0	3530	-790	0
56	0	3450	-1744	60
57	0	3471	-2738	100
58	0	3480	-3618	8
59	0	3459	-4510	-160
60	0	1276	-5031	-200
61	0	2028	-4978	-200
62	0	2838	-5016	-200
63	0	3360	-5613	-154
64	0	3412	-6631	0
65	0	3372	-7622	1
66	0	6455	-8327	0
67	0	5600	-8303	0
68	0	4664	-8266	0
69	0	3757	-8401	0
70	0	2746	-8090	22
71	0	1964	-7597	114
73	0	188	-6527	185
74	0	-817	-6466	193
75	0	-1593	-7346	158
77	0	-6657	-8405	0
78	0	-5559	-8346	0
79	0	-4351	-8276	0
80	0	-3496	-8066	0
81	0	-3494	-7219	0
82	0	-3450	-6316	0
87	0	-8535	-5531	0
88	0	-8086	-4757	0
89	0	-7909	-3878	108
90	0	-1665	-5078	-199
91	0	-2666	-5083	-199
92	0	-3414	-5633	-149
93	0	-3370	-4411	-141
94	0	-3417	-3471	36
95	0	-3458	-2634	100
96	0	-3436	-1614	47
98	0	-5247	-1961	0
99	0	-6082	-2436	41
101	0	-6134	-1064	125
102	0	-7439	90	447
103	0	-1017	-1172	260
104	0	-1279	157	300
105	0	-1092	1557	281
106	0	-2393	47	286
107	0	-3744	95	255
108	0	-4939	69	299
109	0	-6009	156	299
110	0	-6108	1156	117
111	0	-5611	2407	0
112	0	-4764	1570	0
113	0	-3878	938	0
114	0	-3448	1568	21
115	0	-3329	2652	99
116	0	-3412	3655	42
117	0	-3383	4394	-97
119	0	-3424	7692	0
120	0	-3391	6654	0
121	0	-3399	5916	-133
123	0	-2614	5251	-199
124	0	-1649	5272	-199
125	0	-2	-3892	-187
126	0	1	-2860	-120
127	0	16	-1891	-58
128	0	60	4013	-181
129	0	27	2858	-106
130	0	-11	1745	-30
