ClassID	Division	PosX	PosY	PosZ
1	2	1714	764	-12375
2	2	1437	2255	-11559
3	2	-734	4513	-10055
4	2	-3207	4321	-9012
5	2	-4885	2584	-7991
6	2	-5366	-8	-6903
7	2	-4723	-2587	-5828
8	2	-2650	-4488	-4617
9	2	-1601	-4819	-4004
10	2	155	-4924	-3372
11	2	1103	-4646	-2959
12	2	2239	-3743	-2419
13	2	3233	-2743	-1902
14	2	3965	-1393	-1223
15	2	4413	-34	-523
16	2	4522	1232	1
17	1	9023	1499	0
18	1	8100	3076	0
19	1	8475	3851	0
20	1	7415	4014	0
21	1	7749	5112	0
22	1	6545	4969	0
23	1	6805	6263	0
24	1	5927	6289	0
25	1	4927	6861	0
26	1	5156	7868	0
27	1	3944	7666	0
28	1	2612	9336	0
29	1	2250	7949	0
30	1	1624	8598	0
31	1	312	9382	0
32	1	-1039	8900	0
33	1	-1814	7915	0
34	1	-2462	8615	0
35	1	-4302	8545	0
36	1	-3540	7881	0
37	1	-4822	7365	0
38	1	-5629	6855	0
39	1	-5543	6199	0
40	1	-6867	5535	0
41	1	-7872	4513	0
42	1	-8535	3224	0
43	1	-8661	2095	0
44	1	-8059	76	0
45	1	-8663	1036	0
46	1	-8784	-185	0
47	1	-8004	-1054	0
48	1	-7903	-2156	0
49	1	-8696	-1396	0
50	1	-8784	-2873	0
51	1	-8083	-3329	0
52	1	-8297	-4354	0
53	1	-7079	-4372	0
54	1	-7224	-5282	0
55	1	-6022	-5433	0
56	1	-6195	-6252	0
57	1	-5502	-7470	0
58	1	-4112	-6939	0
59	1	-4588	-7499	0
60	1	-4093	-8522	0
62	1	-2713	-9049	0
63	1	-1528	-8654	0
64	1	-984	-7911	0
65	1	304	-7750	0
66	1	929	-9067	0
67	1	1490	-8181	0
68	1	2322	-8820	0
69	1	2780	-8109	0
70	1	3882	-8640	0
71	1	4041	-7372	0
72	1	4945	-7472	0
73	1	5980	-6473	0
74	1	5890	-5674	0
75	1	7120	-5864	0
76	1	6717	-4724	0
77	1	8093	-4805	0
78	1	7694	-3721	0
79	1	8875	-3262	0
80	1	8258	-2316	0
81	1	8848	-1478	0
82	1	8126	-497	0
83	1	8822	86	0
84	0	8342	1089	0
85	1	8977	2198	0
86	0	7996	2571	0
87	0	8828	3077	0
88	0	7887	3611	0
89	0	8264	4640	0
90	0	6955	4563	0
91	0	7206	5705	0
92	0	6060	5647	0
93	0	6264	6751	0
94	0	5177	6302	0
95	0	5319	7319	0
96	0	4238	7091	0
97	0	4386	8096	0
99	0	3391	8743	0
100	0	2232	8648	0
101	0	1335	8065	0
102	0	1245	9172	0
103	0	680	8437	0
104	0	-2	7926	0
105	0	-490	9298	0
106	0	-1232	8062	0
107	0	-1799	8995	0
108	0	-2683	9187	0
109	0	-2658	7970	0
110	0	-3673	8432	0
111	0	-4832	8072	0
112	0	-4137	7354	0
113	0	-5044	6501	0
114	0	-5680	7401	0
115	0	-6161	6370	0
116	0	-5565	5530	0
117	0	-7135	5963	0
118	0	-6608	5030	0
119	0	-7810	5219	0
120	0	-7385	4088	0
121	0	-8475	4131	0
123	0	-9028	2838	0
124	0	-8069	1893	0
125	0	-9153	1604	0
126	0	-8107	664	0
127	0	-9193	290	0
128	0	-8150	-470	0
129	0	-9200	-888	0
130	0	-8189	-1721	0
131	0	-9135	-2316	0
132	0	-7959	-2760	0
133	0	-8578	-3753	0
134	0	-7538	-3871	0
135	0	-7851	-4968	0
136	0	-6588	-4825	0
137	0	-6766	-5996	0
138	0	-5529	-6104	0
139	0	-6102	-6917	0
140	0	-4804	-6860	0
141	0	-4768	-8142	0
142	0	-3899	-7775	0
143	0	-3326	-8649	0
144	0	-2523	-8206	0
145	0	-1978	-9060	0
146	0	-1593	-7994	0
147	0	-865	-8707	0
148	0	-303	-7921	0
149	0	249	-9334	0
150	0	885	-8072	0
151	0	1568	-9089	0
152	0	2180	-8118	0
153	0	2981	-8910	0
154	0	3501	-7923	0
155	0	4620	-8077	0
156	0	4583	-6843	0
157	0	5803	-7145	0
158	0	5519	-6156	0
159	0	6608	-6253	0
160	0	6439	-5229	0
161	0	7502	-5203	0
162	0	7366	-4269	0
163	0	8403	-4214	0
164	0	8107	-3022	0
165	0	9155	-2350	0
166	0	8110	-1479	0
167	0	9218	-745	0
168	0	8133	489	0
169	0	8088	1512	0
170	0	8863	862	0
