ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	135	35	0	22511	Monster_Demoniac _RustyMusescargotA_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
2	FALSE	0	135	35	0	22512	Monster_Demoniac _TwinHeaded_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
3	FALSE	0	135	35	0	22513	Monster_Demoniac _Jabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
4	FALSE	0	135	35	0	22514	Monster_Demoniac _RustyJabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
5	FALSE	0	135	35	0	22515	Monster_Demoniac _GhostlyFather_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
6	FALSE	0	135	35	0	22516	Monster_Demoniac _Ironmaiden_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
7	FALSE	0	135	35	0	22511	Monster_Demoniac _RustyMusescargotA_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
8	FALSE	0	135	35	0	22512	Monster_Demoniac _TwinHeaded_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
9	FALSE	0	135	35	0	22513	Monster_Demoniac _Jabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
10	FALSE	0	135	35	0	22514	Monster_Demoniac _RustyJabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
11	FALSE	1	135	35	0	22515	Monster_Demoniac _GhostlyFather_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
12	FALSE	1	135	30	0	22516	Monster_Demoniac _Ironmaiden_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
13	FALSE	1	135	30	0	22511	Monster_Demoniac _RustyMusescargotA_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
14	FALSE	1	135	30	0	22512	Monster_Demoniac _TwinHeaded_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
15	FALSE	1	135	30	0	22513	Monster_Demoniac _Jabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
16	FALSE	1	135	30	0	22514	Monster_Demoniac _RustyJabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
17	FALSE	1	135	30	0	22515	Monster_Demoniac _GhostlyFather_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
18	FALSE	1	135	30	0	22516	Monster_Demoniac _Ironmaiden_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
19	FALSE	1	135	30	0	22511	Monster_Demoniac _RustyMusescargotA_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
20	FALSE	1	135	30	0	22512	Monster_Demoniac _TwinHeaded_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
21	FALSE	2	135	30	0	22513	Monster_Demoniac _Jabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
22	FALSE	2	135	35	0	22514	Monster_Demoniac _RustyJabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
23	FALSE	2	135	35	0	22515	Monster_Demoniac _GhostlyFather_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
24	FALSE	2	135	35	0	22516	Monster_Demoniac _Ironmaiden_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
25	FALSE	2	135	35	0	22511	Monster_Demoniac _RustyMusescargotA_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
26	FALSE	2	135	35	0	22512	Monster_Demoniac _TwinHeaded_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
27	FALSE	2	135	35	0	22513	Monster_Demoniac _Jabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
28	FALSE	2	135	35	0	22514	Monster_Demoniac _RustyJabberwock_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
29	FALSE	2	135	35	0	22515	Monster_Demoniac _GhostlyFather_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
30	FALSE	2	135	35	0	22516	Monster_Demoniac _Ironmaiden_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
