ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	135	10	0	22538	Monster_Demoniac_Bearworker2	500	5000	MON_MISSION_MASUNG_HARD_NOR
2	FALSE	0	135	10	0	22539	Monster_Demoniac_Tcapyranger2	500	5000	MON_MISSION_MASUNG_HARD_NOR
3	FALSE	0	135	10	0	22540	Monster_Demoniac_Tcapycruel	500	5000	MON_MISSION_MASUNG_HARD_NOR
4	FALSE	0	135	10	0	22541	Monster_Demoniac_Tcapyleader3	500	5000	MON_MISSION_MASUNG_HARD_NOR
5	FALSE	0	135	10	0	22542	Monster_Demoniac_Tcapywarrior2	500	5000	MON_MISSION_MASUNG_HARD_NOR
6	FALSE	0	135	10	0	22543	Monster_Demoniac_Dracobatelite	500	5000	MON_MISSION_MASUNG_HARD_NOR
7	FALSE	0	135	10	0	22544	Monster_Demoniac_Celegrimworm2	500	5000	MON_MISSION_MASUNG_HARD_NOR
8	FALSE	1	135	20	0	22538	Monster_Demoniac_Bearworker2	500	5000	MON_MISSION_MASUNG_HARD_NOR
9	FALSE	1	135	30	0	22539	Monster_Demoniac_Tcapyranger2	500	5000	MON_MISSION_MASUNG_HARD_NOR
10	FALSE	1	135	30	0	22540	Monster_Demoniac_Tcapycruel	500	5000	MON_MISSION_MASUNG_HARD_NOR
11	FALSE	1	135	30	0	22541	Monster_Demoniac_Tcapyleader3	500	5000	MON_MISSION_MASUNG_HARD_NOR
12	FALSE	1	135	30	0	22542	Monster_Demoniac_Tcapywarrior2	500	5000	MON_MISSION_MASUNG_HARD_NOR
13	FALSE	1	135	10	0	22543	Monster_Demoniac_Dracobatelite	500	5000	MON_MISSION_MASUNG_HARD_NOR
14	FALSE	1	135	10	0	22544	Monster_Demoniac_Celegrimworm2	500	5000	MON_MISSION_MASUNG_HARD_NOR
15	FALSE	2	135	20	0	22538	Monster_Demoniac_Bearworker2	500	5000	MON_MISSION_MASUNG_HARD_NOR
16	FALSE	2	135	25	0	22539	Monster_Demoniac_Tcapyranger2	500	5000	MON_MISSION_MASUNG_HARD_NOR
17	FALSE	2	135	25	0	22540	Monster_Demoniac_Tcapycruel	500	5000	MON_MISSION_MASUNG_HARD_NOR
18	FALSE	2	135	25	0	22541	Monster_Demoniac_Tcapyleader3	500	5000	MON_MISSION_MASUNG_HARD_NOR
19	FALSE	2	135	25	0	22542	Monster_Demoniac_Tcapywarrior2	500	5000	MON_MISSION_MASUNG_HARD_NOR
20	FALSE	2	135	25	0	22543	Monster_Demoniac_Dracobatelite	500	5000	MON_MISSION_MASUNG_HARD_NOR
21	FALSE	2	135	25	0	22544	Monster_Demoniac_Celegrimworm2	500	5000	MON_MISSION_MASUNG_HARD_NOR
