ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	83	86	77	10153	Monster_Demonische	500	5000	None
2	TRUE	0	82	58	52	11465	Monster_Lightskeletonbg	500	5000	None
3	TRUE	0	81	58	52	10035	Monster_LightZebraEater	500	5000	None
4	TRUE	0	80	58	52	10685	Monster_GaviDiLight	500	5000	None
5	TRUE	0	77	14	13	11161	Monster_DoggyPanzer	500	5000	None
6	TRUE	0	78	14	13	11171	Monster_DoggyBomber	500	5000	None
7	FALSE	0	77	1	0	60120	Trigger_Largestone	50	20000	None
8	FALSE	1	78	1	0	70332	Quest_Tree01	50	90000	None
9	FALSE	2	78	1	0	70332	Quest_Tree01	50	90000	None
10	FALSE	3	78	1	0	70332	Quest_Tree01	50	90000	None
11	FALSE	4	78	1	0	70332	Quest_Tree01	50	90000	None
12	FALSE	5	78	1	0	70332	Quest_Tree01	50	90000	None
13	FALSE	6	78	1	0	70332	Quest_Tree01	50	90000	None
14	FALSE	7	78	1	0	70332	Quest_Tree01	50	90000	None
15	FALSE	8	78	1	0	70332	Quest_Tree01	50	90000	None
16	FALSE	9	78	1	0	70332	Quest_Tree01	50	90000	None
17	FALSE	0	85	1	0	20521	Monster_Demonischem	1000	1800000	MON_FIELD_SBOSS
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
