ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	134	60	30	16700	Monster_buffalo_illier	650	12000	MON_BTL_BEDEL01_NORMAL
2	TRUE	0	134	60	30	16704	Monster_stripesaberboar_illier	650	12000	MON_BTL_BEDEL01_NORMAL
3	TRUE	1	132	60	30	16703	Monster_leafingcroc_illier	650	12000	MON_BTL_BEDEL01_NORMAL
4	TRUE	1	132	60	30	16703	Monster_leafingcroc_illier	650	12000	MON_BTL_BEDEL01_NORMAL
5	TRUE	2	132	60	30	16701	Monster_greathornet_illier	650	12000	MON_BTL_BEDEL01_NORMAL
6	TRUE	2	132	60	30	16702	Monster_jacquinbear_illier	650	12000	MON_BTL_BEDEL01_NORMAL
7	TRUE	3	132	40	20	16704	Monster_stripesaberboar_illier	650	12000	MON_BTL_BEDEL01_NORMAL
8	TRUE	3	132	40	20	16702	Monster_jacquinbear_illier	650	12000	MON_BTL_BEDEL01_NORMAL
9	TRUE	4	134	40	20	16700	Monster_buffalo_illier	650	12000	MON_BTL_BEDEL01_NORMAL
10	TRUE	4	134	40	20	16702	Monster_jacquinbear_illier	650	12000	MON_BTL_BEDEL01_NORMAL
1100	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
