ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	118	67	67	16240	Monster_bristia_thiefF1	500	6000	MON_BTL_BST01
2	TRUE	0	118	67	67	16241	Monster_bristia_thiefF2	500	6000	MON_BTL_BST01
3	TRUE	0	118	67	67	16242	Monster_bristia_thiefF3	500	6000	MON_BTL_BST01
4	TRUE	0	118	67	67	16243	Monster_bristia_thiefF4	500	6000	MON_BTL_BST01
5	TRUE	0	118	67	67	16244	Monster_bristia_thiefF5	500	6000	MON_BTL_BST01
6	TRUE	0	118	67	67	16245	Monster_bristia_thiefF6	500	6000	MON_BTL_BST01
7	TRUE	0	118	67	67	16246	Monster_bristia_thiefF7	500	6000	MON_BTL_BST01
8	TRUE	0	118	67	67	16247	Monster_bristia_thiefF8	500	6000	MON_BTL_BST01
10	TRUE	1	120	23	23	16240	Monster_bristia_thiefF1	500	8000	MON_BTL_BST01
20	TRUE	1	120	23	23	16241	Monster_bristia_thiefF2	500	8000	MON_BTL_BST01
30	TRUE	1	120	23	23	16242	Monster_bristia_thiefF3	500	8000	MON_BTL_BST01
40	TRUE	1	120	23	23	16243	Monster_bristia_thiefF4	500	8000	MON_BTL_BST01
50	TRUE	1	120	23	23	16244	Monster_bristia_thiefF5	500	8000	MON_BTL_BST01
60	TRUE	1	120	23	23	16245	Monster_bristia_thiefF6	500	8000	MON_BTL_BST01
70	TRUE	1	120	23	23	16246	Monster_bristia_thiefF7	500	8000	MON_BTL_BST01
80	TRUE	1	120	23	23	16247	Monster_bristia_thiefF8	500	8000	MON_BTL_BST01
100	TRUE	2	119	23	23	16240	Monster_bristia_thiefF1	500	7000	MON_BTL_BST01
200	TRUE	2	119	23	23	16241	Monster_bristia_thiefF2	500	7000	MON_BTL_BST01
300	TRUE	2	119	23	23	16242	Monster_bristia_thiefF3	500	7000	MON_BTL_BST01
400	TRUE	2	119	23	23	16243	Monster_bristia_thiefF4	500	7000	MON_BTL_BST01
500	TRUE	2	119	23	23	16244	Monster_bristia_thiefF5	500	7000	MON_BTL_BST01
600	TRUE	2	119	23	23	16245	Monster_bristia_thiefF6	500	7000	MON_BTL_BST01
700	TRUE	2	119	23	23	16246	Monster_bristia_thiefF7	500	7000	MON_BTL_BST01
800	TRUE	2	119	23	23	16247	Monster_bristia_thiefF8	500	7000	MON_BTL_BST01
1000	FALSE	3	1000	1	1	70190	Mission_CatherineEvent2	500	5000	NPC_BTL_BST01
1100	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
