ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
2	TRUE	0	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
3	TRUE	0	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
4	TRUE	0	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
5	TRUE	0	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
6	TRUE	0	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
7	TRUE	1	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
8	TRUE	1	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
9	TRUE	1	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
10	TRUE	1	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
11	TRUE	1	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
12	TRUE	1	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
13	TRUE	2	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
14	TRUE	2	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
15	TRUE	2	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
16	TRUE	2	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
17	TRUE	2	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
18	TRUE	2	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
19	TRUE	3	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
20	TRUE	3	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
21	TRUE	3	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
22	TRUE	3	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
23	TRUE	3	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
24	TRUE	3	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
25	TRUE	4	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
26	TRUE	4	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
27	TRUE	4	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
28	TRUE	4	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
29	TRUE	4	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
30	TRUE	4	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
31	TRUE	5	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
32	TRUE	5	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
33	TRUE	5	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
34	TRUE	5	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
35	TRUE	5	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
36	TRUE	5	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
37	TRUE	6	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
38	TRUE	6	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
39	TRUE	6	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
40	TRUE	6	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
41	TRUE	6	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
42	TRUE	6	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
43	TRUE	7	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
44	TRUE	7	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
45	TRUE	7	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
46	TRUE	7	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
47	TRUE	7	118	10	5	28052	Monster_Soulofancientfighter_Cas	500	5000	None
48	TRUE	7	118	10	5	28051	Monster_Soulancientfighter2_Cas	500	5000	None
49	TRUE	8	115	10	5	28056	Monster_Soulancientfighter4_CasM	500	5000	None
50	TRUE	8	116	10	5	28055	Monster_Soulancientfighter4_CasF	500	5000	None
51	TRUE	8	116	10	5	28053	Monster_Soulancientfighter3_CasM	500	5000	None
52	TRUE	8	117	10	5	28054	Monster_Soulancientfighter3_CasF	500	5000	None
