ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	66	30	27	12961	Monster_KingCrab	500	5000	None
2	TRUE	0	68	27	24	13001	Monster_GiantSeastar	500	5000	None
3	TRUE	0	70	18	16	12981	Monster_PamlTreeKingCrab	500	5000	None
4	TRUE	0	70	1	0	13011	monster_beachball_jackolantern	500	1285714	None
5	TRUE	1	78	1	0	13011	monster_beachball_jackolantern	500	1285714	None
6	TRUE	1	72	16	14	12961	Monster_KingCrab	500	5000	None
7	TRUE	1	74	14	12	13001	Monster_GiantSeastar	500	5000	None
8	TRUE	1	76	10	9	12981	Monster_PamlTreeKingCrab	500	5000	None
9	TRUE	2	105	30	27	13003	Monster_KingCrab2	500	5000	None
10	TRUE	2	106	26	23	13004	Monster_GiantSeastar2	500	5000	None
11	TRUE	2	107	18	16	13005	Monster_PamlTreeKingCrab2	500	5000	None
12	TRUE	3	108	26	23	13003	Monster_KingCrab2	500	5000	None
13	TRUE	3	109	23	20	13004	Monster_GiantSeastar2	500	5000	None
14	TRUE	3	110	16	14	13005	Monster_PamlTreeKingCrab2	500	5000	None
15	TRUE	4	105	21	18	13003	Monster_KingCrab2	500	5000	None
16	TRUE	4	106	18	16	13004	Monster_GiantSeastar2	500	5000	None
17	TRUE	4	107	13	11	13005	Monster_PamlTreeKingCrab2	500	5000	None
18	TRUE	5	108	33	29	13003	Monster_KingCrab2	500	5000	None
19	TRUE	5	109	29	26	13004	Monster_GiantSeastar2	500	5000	None
20	TRUE	5	110	20	18	13005	Monster_PamlTreeKingCrab2	500	5000	None
21	TRUE	6	108	12	10	15111	monster_cerberus_mini	500	5000	None
22	TRUE	6	107	15	12	15112	monster_cerberus2_mini	500	5000	None
23	TRUE	6	107	15	12	15113	monster_cerberus3_mini	500	5000	None
24	TRUE	6	107	15	12	15114	monster_cerberus4_mini	500	5000	None
25	TRUE	7	110	12	10	15111	monster_cerberus_mini	500	5000	None
26	TRUE	7	109	15	12	15112	monster_cerberus2_mini	500	5000	None
27	TRUE	7	109	15	12	15113	monster_cerberus3_mini	500	5000	None
28	TRUE	7	109	15	12	15114	monster_cerberus4_mini	500	5000	None
29	TRUE	8	111	12	10	15111	monster_cerberus_mini	500	5000	None
30	TRUE	8	110	15	12	15112	monster_cerberus2_mini	500	5000	None
31	TRUE	8	110	15	12	15113	monster_cerberus3_mini	500	5000	None
32	TRUE	8	110	15	12	15114	monster_cerberus4_mini	500	5000	None
33	FALSE	9	115	1	0	70852	Monster_Underghost13	50	1000	MON_SUMMON_GIG
34	FALSE	10	117	1	0	70853	Monster_Underghost14	50	1000	MON_SUMMON_GIG
35	FALSE	11	119	1	0	70854	Monster_Underghost15	50	1000	MON_SUMMON_GIG
36	FALSE	12	121	1	0	70855	Monster_Underghost16	50	1000	MON_SUMMON_GIG
37	FALSE	0	60	1	0	53071	Monster_Turrydog_farm	500	14400000	MON_AGGRESSIVE3
38	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
